start
e004	"bladeeffect_32.dds"
mlf1	"effect_lamp_fire_01.dds"
nfar	"flarewhite.dds"
aclv	"action_lava.dds"
nzlg	"lamp_Glow.dds"
pt01	"portal1.dds"
pcas	"Particle_ash01.dds"
pclf	"Particle_leaf01.dds"
nf10	"white_fog.dds"
nf11	"white_fog2.dds"
ng01	"action_snow.dds"
ng02	"action_snow2.dds"
ng03	"action_snow3.dds"
nwt1	"Water_ripple.dds"
m001	"magiczone_bg.dds"
m002	"t_treemagic.dds"
m003	"triger_lock-column.dds"
m004	"map03_F03.dds"
pcsn	"Particle_snow01.dds"
efmt	"Effect_moth.dds"
mlfb	"effect_lamp_fireB_01.dds"
mlfg	"effect_lamp_fireG_01.dds"
f001	"lighting.dds"
f002	"smoke02.dds"
f003	"ring_lighting01.dds"
f004	"bat.dds"
f005	"lightning002.dds"
f006	"lightning004.dds"
f007	"ring_lighting02.dds"
f008	"dust03.dds"
f009	"star.dds"
f010	"fi02.dds"
z001	"z001.dds"
z002	"z005.dds"
z003	"z006.dds"
z004	"z007_z.dds"
z005	"z008_z.dds"
z006	"z009_z.dds"
z007	"z010_z.dds"
z008	"z012_z.dds"
z009	"z009.dds"
z010	"magicshild1_z.dds" 
z011	"z013_z.dds" 
z012	"z012.dds"
z013	"z013.dds"
z014	"z014.dds"
z015	"z015.dds"
z016	"z016.dds"
z017	"z017.dds"
z018	"z018.dds"
z019	"z019.dds"
z020	"z020.dds"
z021	"z021.dds"
z022	"z022.dds"
z023	"z023.dds"
z024	"z024.dds"
z025	"z025.dds"
z026	"z026.dds"
z027	"z027.dds"
z028	"z028.dds"
z029	"z029.dds"
z030	"z030.dds"
z031	"z031.dds"
z032	"z032.dds"
ewrn	"rain_01.dds"
z033	"z033.dds"
z034	"z034.dds"
z035	"z035.dds"
z036	"z036.dds"
z037	"z037.dds"
z038	"z038.dds"
z039	"z039.dds"
z040	"z040.dds"
z041	"z041.dds"
z042	"z042.dds"
z043	"z043.dds"
z044	"z044.dds"
z045	"z045.dds"
z046	"z046.dds"
z048	"z048.dds"
z049	"z049.dds"
z050	"z050.dds"
z051	"z051.dds"
z052	"z007_m01_Z.dds"
z053	"z052.dds"
z054	"z054.dds"
z055	"z055.dds"
z056	"z056.dds"
z057	"z057.dds"
z058	"z058.dds"
z060	"z060.dds"
z061	"z061.dds"
z062	"z062.dds"
z063	"z063.dds"
z064	"z064.dds"
z065	"z065.dds"
z066	"z066.dds"
z067	"z067.dds"
z068	"z068.dds"
z069	"z069.dds"
z070	"z070.dds"
z071	"z071.dds"
z072	"z072.dds"
z073	"z073.dds"
z074	"z074.dds"
z075	"z075.dds"
z076	"z076.dds"
z077	"z077.dds"
z078	"z078.dds"
z079	"z079_z.dds"
z080	"z080.dds"//땅크랙
z081	"z081.dds"//문양
z082	"z081m_z.dds"//문양
z083	"z083m_z.dds"//문양
z084	"z082.dds"//갈라진땅
//z085	"z084.dds"//엘리트2용 불텍스쳐
//z086	"z085.dds"//엘리트2용 실
z087	"z086.dds"//쉴드용방어막
z088	"z087.dds"//엘리용텍스쳐
z090	"z089.dds"//섀도우실텍스쳐
z092	"z091.dds"//수정식별
z093	"z092.dds"//타워입구문양
z094	"z093.dds"//길드버프문양
z095	"z094_z.dds"//각인문양
z096	"z095.dds"//각인문양
z097	"z097.dds"//버서커체인
z099	"z099.dds"//사탕
z100	"z100.dds"//사탕
z101	"z101.dds"//사탕
z102	"z102.dds"//사탕
z103	"z103.dds"//사탕
z104	"z104.dds"//드래곤_디바인엠블렘
z105	"z105_z.dds"//길마문양
z106	"z106_z.dds"//길마 회전링
z107	"z107.dds"//길마 성갯수
z108	"z108.dds"//버서커표창
z109	"z109.dds"//땅크랙알파
z110	"z110.dds"//땅크랙라이트
z111	"z111.dds"//연기시퀀스
//z112	"z112.dds"//중국3주년
z113	"z113.dds"//한국 4주년기념
z114	"z114.dds"//갈라진땅 알파
z115	"z115.dds"//갈라진땅 하이
z116	"z116.dds"//16강이벤트알파채널
z117	"z117.dds"//16강이벤트
z118	"z118.dds"//연기텍스쳐
z119	"z119.dds"//8강이벤트알파채널
z120	"z120.dds"//8강이벤트
z121	"z121_z.dds"//중국버전_vip용그림
z122	"z122.dds"//중국버전_vip문양
z123	"z123.dds"//주황부리남_창
z124	"z124.dds"//길마원이펙트
z125	"z125.dds"//성문외각글로우
z126	"z126.dds"//마법봉인석마법진
z127	"z127_Z.dds"//드래곤추가스킬
z128	"z128_Z.dds"//엘리트2무기 이펙트(중국버전)
z129	"z129.dds"//리미티드뺏지알파
z130	"z130_z.dds"//리미티드뺏지add
z131	"z131_z.dds"//리미티드뺏지light
z132	"z132_z.dds"//버서커_워크라이문양
z133	"z133_z.dds"//스킬포인트 레벨업(날개모양)
z134	"z134_z.dds"//폭발시 빛줄기
z135	"z135_z.dds"//화살표
z136	"z136_z.dds"//성별체인지문양
z137	"z137_z.dds"//화살표글로우
z138	"z138.dds"//기적세계alpha
z139	"z139_z.dds"//기적세계add
z140	"z140.dds"//버서커 위방향 빛줄기
z141	"z141.dds"//버서커 360도 빛줄기
z142	"z142.dds"//vip 꽃줄기
z143	"z143.dds"//vip 꽃줄기시퀀스
z144	"z144.dds"//별1
z145	"z145.dds"//별2
z146	"z146.dds"//별3
z147	"z147.dds"//별4
z148	"z148.dds"//별5
z149	"z149.dds"//vip text
z150	"z150.dds"//sun text
z151	"z151.dds"//특악문양
z152	"z152.dds"//백색원형
z153	"z153.dds"//sun text add
z154	"z154.dds"//다이아몬드 보조광원
z155	"z155.dds"//연기
z156	"z156.dds"//코스튬무기
z157	"z157.dds"//코스튬무기
z158	"z158.dds"//코스튬무기
z159	"z159.dds"//코스튬무기
z160	"z160.dds"//코스튬무기
z161	"z161.dds"//글로벌뺏지(글로벌버전)
z162	"z162.dds"//글로벌뺏지(글로벌버전)
z163	"z163.dds"//코스튬무기
z164	"z164.dds"//코스튬무기
z165	"z165.dds"//코스튬무기
z166	"z166.dds"//코스튬무기
z167	"z167.dds"//코스튬무기
z168	"z168.dds"//코스튬무기
z169	"z169.dds"//코스튬무기
z170	"z170.dds"//데스윔흙무덤
z171	"z171.dds"//만드라고라_파동
z172	"z172.dds"//회오리원형
z173	"z173.dds"//사람형태
z174	"z174.dds"//문양
z175	"z175.dds"//섀도우스킬문양
z176	"z176.dds"//섀도우스킬문양
z177	"z177.dds"//시퀀스연기
z178	"z178.dds"//구름
z179	"z179.dds"//점핑크러쉬문양
z180	"z180.dds"//분화구돌
z181	"z181.dds"//전기스파크
z182	"z182.dds"//미오-에너지볼트
z183	"z183.dds"//순간광원
z184	"z184.dds"//칼잔상
z185	"z185.dds"//땅갈라진빛줄기
z186	"z186.dds"//eye
z187	"z187.dds"//eye문양
z188	"z188.dds"//eye문양
z192	"z192.dds"//체인용
z193	"z193.dds"//버프문양
z194	"z194.dds"//버프문자
z195	"z195.dds"//버프1문양
z196	"z196.dds"//칼날일자형잔상
z197	"z197.dds"//포레스트레인 갈라진 지형
z198	"z198.dds"//피닉스버스트_지형ah
z199	"z199.dds"//피닉스버스트_지형sp
z200	"z200.dds"//전장거점오브젝트마법진
z201	"z201.dds"//전기스파크
z202	"z202.dds"//미오엘리트_아지랑이
z203	"z203.dds"//아지랑이
z204	"z204.dds"//미오엘리트2_아지랑이
z205	"z205.dds"//배경문양_시퀀스
z206	"z206.dds"//배경문양
z207	"z207.dds"//배경문양
z208	"z208.dds"//배경문양_사라질때
z209	"z209.dds"//볼시퀀스
z210	"z210.dds"//트리거식별
z211	"z211.dds"//메달_라이팅
z212	"z212.dds"//금_미션랭킹
z213	"z213.dds"//은_미션랭킹
z214	"z214.dds"//동_미션랭킹
z215	"z215.dds"//금_월드랭킹
z216	"z216.dds"//은_월드랭킹
z217	"z217.dds"//동_월드랭킹
//z218	"z218.dds"//똥
z219	"z219.dds"//미정
z220	"z220.dds"//엘리_엘리트3_체인
z221	"z221.dds"//엘리_엘리트3_물방울
z222	"z222.dds"//보스방소환마법진
z223	"z223.dds"//일퀘초기화문양
z224	"z224.dds"//드래곤_엘리트3_체인
z225	"z225.dds"//드래곤레이_삼각
z226	"z226.dds"//비밀의방블럭1
z227	"z227.dds"//비밀의방블럭1
z228	"z228.dds"//비밀의방블럭2
z229	"z229.dds"//비밀의방블럭2
z230	"z230.dds"//비밀의방블럭3
z231	"z231.dds"//비밀의방블럭3
z232	"z232.dds"//비밀의방블럭4
z233	"z233.dds"//비밀의방블럭4
z234	"z234.dds"//비밀의방블럭5
z235	"z235.dds"//비밀의방블럭5
z236	"z236.dds"//발키리엘3
z237	"z237.dds"//발키리엘3
z238	"z238.dds"//버서커엘3
z239	"z239.dds"//새도우엘3
z240	"z240.dds"//미스틱엘3
z241	"z241.dds"//미스틱엘3
z242	"z242.dds"//드래곤엘3
z243	"z243.dds"//미스틱엘3
z244	"z244.dds"//일퀘바늘
z245	"z245.dds"//일퀘바늘
z246	"z246.dds"//버서커3칼
z247	"z247.dds"//드래곤3칼
z248	"z248.dds"//미스틱3낫
z249	"z249.dds"//섀도우3대거
z250	"z250.dds"//타격
z251	"z251.dds"//리바이브문양
z252	"z252.dds"//포지션체인지
z253	"test02_z.dds"//보호막용그라데이션
z254	"z254_z.dds"//폭발용
z255	"z255_z.dds"//헬로이드빔삼각
z256	"z256_z.dds"//헬로이드풀셋체인
z257	"z257_z.dds"//헬로이드풀셋1차
z258	"z258.dds"//배경바닥문양
z259	"z259_z.dds"//runner_시퀀스
z260	"z260_z.dds"//runner
z261	"z261_z.dds"//runner그림자
z262	"z262_z.dds"//s
z263	"z263_z.dds"//s_시퀀스
z264	"z264_z.dds"//일본6주년뱃지
z265	"z265_z.dds"//일본6주년뱃지글로우
z266	"z266_z.dds"//중국청마기본
z267	"z267_z.dds"//몬트샤인길마문양
z268	"z268_z.dds"//몬트샤인길원문양
z269	"z269_z.dds"//골드러쉬뱃지(green)
z270	"z270_z.dds"//골드러쉬뱃지(blue)
z271	"z271_z.dds"//골드러쉬뱃지(brown)
z272	"z272_z.dds"//몬샤길마(screen)
z273	"z273_z.dds"//몬샤길마(screen)
z274	"z274_z.dds"//시퀀스라이팅
z275	"z275_z.dds"//칼
z276	"z276_z.dds"//퓨리포메이션 라이팅
z277	"z277_z.dds"//1
z278	"z278_z.dds"//2
z279	"z279_z.dds"//3
z280	"z280_z.dds"//4
z281	"z281_z.dds"//5
z282	"z282_z.dds"//스컬제이크마법진
z283	"z283_z.dds"//연기
z284	"z284_z.dds"//직선형체인
z285	"z285_z.dds"//씨엘리스문양
z286	"z286_z.dds"//티타니아문양
z287	"z287_z.dds"//3빛줄기
z288	"z288_z.dds"//날개
z289	"z289_z.dds"//연기시퀀스
z290	"z290_z.dds"//위블엘리트시퀀스
z291	"z291_z.dds"//보스레이드지형
z292	"z292_z.dds"//위블엘3무기_긴것
z293	"z293_z.dds"//위블엘3무기_짧은것
z294	"z294_z.dds"//위블소환수문양
z295	"z295_z.dds"//위블소환수문양2
z296	"z296_z.dds"//황금코스튬문양
z297	"z297_z.dds"//하얀색구
z298	"z298_z.dds"//7주년
z299	"z299_z.dds"//7주년블러
z300	"z300_z.dds"//피닉스red
z301	"z301_z.dds"//번개
z302	"z302_z.dds"//방패모양
z303	"z303_z.dds"//바닥갈라짐모양
z304	"z304_z.dds"//버서커4차무기
z305	"z305_z.dds"//드래곤창4차무기
z306	"z306_z.dds"//드래곤칼4차무기
z307	"z307_z.dds"//발키리4차무기
z308	"z308_z.dds"//섀도우단검4차무기
z309	"z309_z.dds"//위블긴것
z310	"z310_z.dds"//위블짧은것
z311	"z311_z.dds"//미스틱낫
z312	"z312.dds"//beta text
z313	"z313.dds"//reborn text
z314	"z314.dds"//reborn text shine
end	
