start
A675	"A_ExpUP_effect1.ewz"									
A784	"A_VIP_Badge4_ch.ewz"
A785	"A_VIP_Badge5_ch.ewz"
O275	"EP2\O_Ep2_mission4_triger1_effect1.ewz"
O276	"EP2\O_Ep2_mission4_triger1_effect2.ewz"
O277	"EP2\O_Ep2_mission4_triger1_effect3.ewz"
O280	"EP2\O_Ep2_mission4_triger2_effect1.ewz"
A786	"EP2\A_Bronze_diamond_effect1.ewz"
A791	"EP2\A_Silver_diamond_effect1.ewz"
A796	"EP2\A_Gold_diamond_effect1.ewz"
A801	"EP2\A_Platinum_diamond_effect1.ewz"
O281	"EP2\O_Ep2_mission4_triger2_effect2.ewz"
O282	"EP2\O_Ep2_mission4_triger2_effect3.ewz"
O283	"EP2\O_Ep2_mission4_triger2_effect4.ewz"
A811	"EP2\A_Global_badge_effect1.ewz"
I735	"EP2\I_BattleField_Occ_effect1.ewz"
I736	"EP2\I_BattleField_Occ_effect2.ewz"
I737	"EP2\I_BattleField_Occ_effect3.ewz"
I738	"EP2\I_BattleField_Occ_effect4.ewz"
I739	"EP2\I_BattleField_Occ_effect5.ewz"
I742	"EP2\I_BattleField_Occ_effect6.ewz"
I743	"EP2\I_BattleField_Occ_effect7.ewz"
I740	"EP2\I_BattleField_Occ_Flag_effect1.ewz"
I741	"EP2\I_BattleField_Occ_Flag_effect2.ewz"
I745	"EP2\I_Ancients_Refuge_CrossingGate_blue_effect1.ewz"
I746	"EP2\I_Ancients_Refuge_CrossingGate_blue_effect2.ewz"
I750	"EP2\I_Ancients_Refuge_CrossingGate_green_effect1.ewz"
I751	"EP2\I_Ancients_Refuge_CrossingGate_green_effect2.ewz"
I755	"EP2\I_Ancients_Refuge_CrossingGate_red_effect1.ewz"
I756	"EP2\I_Ancients_Refuge_CrossingGate_red_effect2.ewz"
I765	"EP2\I_Ancients_Refuge_BossZone_wind_effect1.ewz"
I770	"EP2\I_Ancients_Refuge_BossZone_fire_effect1.ewz"
I775	"EP2\I_Ancients_Refuge_BossZone_water_effect1.ewz"
I780	"EP2\I_Ancients_Refuge_BossZone_earth_effect1.ewz"
A916	"EP2\A_Controller_effect1.ewz"
B219	"eCHAR_STATE_HOLDING.ewz"
A921	"EP2\A_MissionRanking_Badge_effect1.ewz"
A922	"EP2\A_MissionRanking_Badge_effect2.ewz"
A923	"EP2\A_MissionRanking_Badge_effect3.ewz"
A926	"EP2\A_WorldRanking_Badge_effect1.ewz"
A927	"EP2\A_WorldRanking_Badge_effect2.ewz"
A928	"EP2\A_WorldRanking_Badge_effect3.ewz"
A917	"EP2\map03_z02_icetree_snow01.ewz"
A931	"EP2\A_ValentineDay_Tree_effect1.ewz"
A932	"EP2\A_ValentineDay_Tree_effect2.ewz"
I791	"EP2\I_Ancients_Refuge_Desert_DustDevil_effect2.ewz"
I796	"EP2\I_Ancients_Refuge_Ice_snowstorm_effect2.ewz"
A936	"EP2\A_BattleGround_SpecialAcc_effect1.ewz"
A937	"EP2\A_BattleGround_SpecialAcc_effect2.ewz"
A938	"EP2\A_BattleGround_SpecialAcc_effect3.ewz"
A939	"EP2\A_BattleGround_SpecialAcc_effect4.ewz"
A940	"EP2\A_BattleGround_SpecialAcc_effect5.ewz"
I531	"I_Berserk_revenge_effect_2.ewz"
I471	"I_Berserk_damage_recovey_effect_2.ewz"
K391	"K_Elemental_frozon_field_effect2.ewz"
I846	"EP2\I_Chamber_of_Secrets_Trap2_effect2.ewz"
I854	"EP2\I_Chamber_of_Secrets_Boss1_effect5.ewz"
I863	"EP2\I_Chamber_of_Secrets_ForeMan_effect4.ewz"
A896	"EP2\A_DailyQuest_SetBack_effect1.ewz"
AA00	"EP2\A_JapanEvent_Baton_effect1.ewz"
AA01	"EP2\A_JapanEvent_Baton_effect2.ewz"
AA02	"EP2\A_JapanEvent_Baton_effect3.ewz"
AA05	"EP2\A_JapanEvent_Oden_effect1.ewz"
AA10	"A_6years_Badge.effect1.ewz"
O055	"O_Domination1_effect1.ewz"	
O056	"O_Domination1_effect2.ewz"	
O060	"O_Domination2_effect1.ewz"	
O061	"O_Domination2_effect2.ewz"	
O062	"O_Domination2_effect3.ewz"	
O065	"O_Domination3_effect1.ewz"	
O070	"O_Domination4_effect1.ewz"
O071	"O_Domination4_effect2.ewz"
O072	"O_Domination4_effect3.ewz"	
O073	"O_Domination4_effect4.ewz"	
O074	"O_Domination4_effect5.ewz"
O075	"O_Domination4_effect6.ewz"	
O076	"O_Domination5_effect1.ewz"	
O077	"O_Domination5_effect2.ewz"	
O078	"O_Domination6_effect1.ewz"	
O081	"O_Domination6_effect4.ewz"	
O083	"O_Domination6_effect6.ewz"	
O084	"O_Domination6_effect7.ewz"	
O094	"O_Domination7_effect1.ewz"	
O095	"O_Domination7_effect2.ewz"	
O096	"O_Domination7_effect3.ewz"	
O098	"O_Domination7_effect5.ewz"	
O099	"O_Domination7_effect6.ewz"	
O100	"O_Domination8_effect1.ewz"	
I715	"I_Occ_MainCristal_effect1.ewz"
I720	"I_Occ_SubCristal_effect1.ewz"
I725	"I_Occ_QuartzWarp_effect1.ewz"
I730	"I_Occ_ExWall_effect1.ewz"
A721	"A_Domination1_effect1.ewz"
A722	"A_Domination1_effect2.ewz"
A731	"A_Domination3_effect1.ewz"
A732	"A_Domination3_effect2.ewz"
A771	"A_Carve_a_Seal_effect1.ewz"
I885	"I_Mont_Guild_effect1.ewz"
I886	"I_Mont_Guild_effect2.ewz"
I890	"EP2\I_WarBadge1_effect1.ewz"
I895	"EP2\I_WarBadge2_effect1.ewz"
I900	"EP2\I_WarBadge3_effect1.ewz"
B303	"H_Dragon_rapid_attack_effect_4.ewz"
KF60	"EP2\K_Valkyrie_AirBlow_effect1.ewz"
LF00	"EP2\L_Yapvan_skill1_effect1.ewz"
LF05	"EP2\L_Yapvan_skill2_effect1.ewz"
LF46	"EP2\L_Judas_skill4_effect2.ewz"
LF55	"EP2\L_RevivedVictim_skill2_effect1.ewz"
O287	"EP2\O_Ep2_Mysticfire_triger2_effect1.ewz"
O291	"EP2\O_Ep2_Mysticfire_triger3_effect2.ewz"
O293	"EP2\O_Ep2_Mysticfire_triger4_effect1.ewz"
Q301	"EP2\A_Trigger_BG_effect6.ewz"
Q302	"EP2\A_Trigger_BG_effect7.ewz"
Q303	"EP2\A_Trigger_BG_effect8.ewz"
Q304	"EP2\A_Trigger_BG_effect9.ewz"
Q305	"EP2\A_Trigger_BG_effect10.ewz"
Q306	"EP2\A_Trigger_BG_effect11.ewz"
Q307	"EP2\A_Trigger_BG_effect12.ewz"
Q308	"EP2\A_Trigger_BG_effect13.ewz"
Q309	"EP2\A_Trigger_BG_effect14.ewz"
Q310	"EP2\A_Trigger_BG_effect15.ewz"
AB25	"EP2\A_7years_Badge.effect1.ewz"
AB30	"EP2\A_Ranking_GoldDragon_effect1.ewz"
AB35	"EP2\A_Ranking_BlueBird_effect1.ewz"
AB40	"EP2\A_Ranking_RedBird_effect1.ewz"
O296	"EP2\A_Trigger_BG_effect16.ewz"
K700	"K_Berserker_ChangeUp_IronBody_effect1.ewz"
I945	"EP2\I_Map210_Frozen_IgnisEye_effect1.ewz"
I946	"EP2\I_Map210_Frozen_IgnisEye_effect2.ewz"
I947	"EP2\I_Map210_Frozen_IgnisEye_effect3.ewz"
I948	"EP2\I_Map210_Frozen_IgnisEye_effect4.ewz"
I949	"EP2\I_Map210_Frozen_IgnisEye_effect5.ewz"
I950	"EP2\I_Map210_Forgotten_Tree_effect1.ewz"
I951	"EP2\I_Map210_Forgotten_Tree_effect2.ewz"
I955	"EP2\I_Map210_Dimension_Door_effect1.ewz"
I956	"EP2\I_Map210_Dimension_Door_effect2.ewz"
A990	"A_Beta_Badge_effect1.ewz"
A988	"Reborn_Badge_effect1.ewz"
A989	"A_AutoHunt_Badge_effect1.ewz"
End

