start
AAAA     "fire1.WZU"
ABCM	 "x061.wzu" //하늘길언덕-에테르방출장치_글로우
ABCN	 "x062.wzu" //하늘길언덕-에테르방출장치_텍스쳐흐르는구
ABCO	 "x063.wzu" //흐르는 원형링
ABCP	 "x064.wzu" //검은칼잔상
ABCQ	 "x065.wzu" //블레이드커튼-당김
ABCR	 "x066.wzu" //토네이도
ABCS	 "x067.wzu" //토네이도2
ABCT	 "x068.wzu" //디바인어썰트-ston
ABCU	 "x069.wzu" //맨딩마인드-문양
ABCV	 "x070.wzu" //루튼포인트-지형
ABCW	 "x071.wzu" //티타니아-흐르는문양
ABCX	 "x072.wzu" //씨엘리스-흐르는문양
ABCY	 "x073.wzu" //밴쉬_티타니아-흐르는문양
ABCZ	 "x074.wzu" //거미_타격라이팅
ABDA	 "x075.wzu" //엘리트4
ABDB	 "x076.wzu" //미션식별
ABDC	 "x077.wzu" //미션식별2
ABDD	 "x078.wzu" //토템방어막
ABDF	 "x080.wzu" //십자방패
ABDG	 "x081.wzu" //나무글로우
ABDH	 "x082.wzu" //보스칼잔상
ABDI	 "x083.wzu" //헬로이드엘4무기
end
