StrCode	Str
13	<COLOR=FFE36C0A>[Quest Start- Eimon]<RETURN=1/></COLOR>I will then test your ability to search for objects! <RETURN=1/>Now! I have hidden a  <ITEMNAME=40307/>/*Key to the Spirit Woods*/ somewhere in our town. Try to find it! Once you do, take it to <NPCNAME=65108/>! How do you do that? <RETURN=1/>Haha, try reading the [TIP]. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>This quest involves collecting an item. <RETURN=1/>Accept the quest and click on objects under red exclamation marks! <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/>Obtain a </COLOR><ITEMNAME=40307/>/*Key to the Spirit Woods*/.
14	Where's the key? Can't find it?
15	<COLOR=FFE36C0A>[Quest End- Raymond]<RETURN=1/></COLOR>You found the key? You're doing well!
16	<COLOR=FFE36C0A>[Quest Start- Raymond]<RETURN=1/></COLOR>You've passed all available tests in Esod. It's time for your final examination. <RETURN=1/>Take the portal in front of me and meet <NPCNAME=65109/>/*Scout at the Southern Forest*/ at Spirit Woods. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Use the portal and move to Spirit Woods. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=65109/>/*Scout at the Southern Forest*/.
17	You no longer have any business here, so take the portal and find <RETURN=1/><NPCNAME=65109/>/*Scout at the Southern Forest*/!
18	<COLOR=FFE36C0A>[Quest End- Scout at the Southern Forest]<RETURN=1/></COLOR>Welcome to Spirit Woods. 
19	<COLOR=FFE36C0A>[Quest Start- Scout at the Southern Forest]<RETURN=1/></COLOR>You completed the first portion of the test? Congratulations. Now for the final test. <RETURN=1/>Go find <NPCNAME=63860/>/*Leon*/ in the middle of the forest. He will give you the final test. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Use the Navigation to find <NPCNAME=63860/>/*Leon*/. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=63860/>/*Leon*/.
20	Go find <NPCNAME=63860/>/*Leon*/ in the middle of the forest. He will give you the final test.
21	<COLOR=FFE36C0A>[Quest End- Leon]<RETURN=1/></COLOR>Are you ready for your final test?
22	<COLOR=FFE36C0A>[Quest Start- Scout at the Northern Forest]<RETURN=1/></COLOR>Hey, you! I'm taking the test for the Liberation Army, too, and... I'd like some help. <RETURN=1/>To be honest, I'm more of a paper pusher than a swordsman. Please help! <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Use the Navigation and eliminate 3 <NPCNAME=403/>/*Beast Sentries*/. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate 3 <NPCNAME=403/>/*Beast Sentries*/.
23	They told me to kill three <NPCNAME=403/>/*Beast sentries*/!
24	<COLOR=FFE36C0A>[Quest End- Scout at the Northern Forest]<RETURN=1/></COLOR>Thanks a bunch! Good luck on your test!
25	<COLOR=FFE36C0A>[Quest Start- Leon]<RETURN=1/></COLOR>Welcome. I'm Leon, the keeper of Spirit Woods. <RETURN=1/>I also happen to be the examiner of the final test of the Liberation Army. I will then start the final test. First, I will test basic combat skills. Come back after killing three <NPCNAME=403/>/*Beast Sentries*/. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Use the Navigation and eliminate 3 <NPCNAME=403/>/*Beast Sentries*/. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate 3 <NPCNAME=403/>/*Beast Sentries*/.
26	First, I will test basic combat skills. Come back after killing three <NPCNAME=403/>/*Beast Sentries*/.
27	<COLOR=FFE36C0A>[Quest End- Leon]<RETURN=1/></COLOR>I'd say you're above average. Shall we move on to the next part of the test?
28	<COLOR=FFE36C0A>[Quest Start- Leon]<RETURN=1/></COLOR>This time, you will be tested on your gathering skills. Spirit Woods is one of few untainted forests, so you can easily find natural Ether throughout. Please find five <ITEMNAME=40308/>. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Click on objects under red exclamation marks. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Obtain 5 <ITEMNAME=40308/>.
29	Obtain 5 <ITEMNAME=40308/>.
30	<COLOR=FFE36C0A>[Quest End- Leon]<RETURN=1/></COLOR>You're doing well. Ether is very important to us. It allows us to live. The Empire has lately been draining our world's Ether and bringing a crisis upon itself. It is important to fight the Empire, but it is equally important to protect our precious Ether.
31	<COLOR=FFE36C0A>[Quest Start- Leon]<RETURN=1/></COLOR>The test will have to wait. I received a report that a soldier from the Liberation Army was captured here. Please go rescue him. This will be the final portion of your examination. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Use the Navigation and locate <NPCNAME=65111/>/*Captured Liberator*/. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Find <NPCNAME=65111/>/*Captured Liberator*/.
32	This will be the final portion of your examination.
33	<COLOR=FFE36C0A>[Quest End- Captured Liberator]<RETURN=1/></COLOR>Th... Thanks... But we're still in big trouble... What should we do?
34	<COLOR=FFE36C0A>[Quest Start- Captured Liberator]<RETURN=1/></COLOR>I'm the only surviving soldier... Some Empire soldiers are headed for Esod Town! We have to hurry back there... Please go ahead and tell <NPCNAME=63860/>! <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Use the Navigation and locate <NPCNAME=63860/>/*Leon*/. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=63860/>/*Leon*/.
35	We must hurry back to town! Please go ahead and tell <NPCNAME=63860/>!
36	<COLOR=FFE36C0A>[Quest End- Leon]<RETURN=1/></COLOR>We thought we were safe from the Empire here... That was an oversight on our part.
37	<COLOR=FFE36C0A>[Quest Start- Leon]<RETURN=1/></COLOR>You're now officially a member of the Liberation Army. I will now open up the way to Esod. Hurry back and help <NPCNAME=63853/>/*Lucid*/ defend the town! <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>A portal to Esod will open after accepting the quest. <RETURN=1/>Take the portal to Esod. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Return to Esod Town and talk to <NPCNAME=63853/>/*Lucid*/.
38	Hurry back and help <NPCNAME=63853/>/*Lucid*/ defend the town!
39	<COLOR=FFE36C0A>[Quest End- Lucid]<RETURN=1/></COLOR>A raid from the enemy! We must drive them off!
40	<COLOR=FFE36C0A>[Quest Start- Lucid]<RETURN=1/></COLOR>Are you the volunteer? Perhaps the situation may have been different if you were here. <RETURN=1/>But as you can see, it's all over. Allow me some time to think. <RETURN=1/>Please wait. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=63853/> again.
41	Allow me some time to think. Please wait.
42	<COLOR=FFE36C0A>[Quest End- Lucid]<RETURN=1/></COLOR>I would like you to be our legacy. I will use my powers to help you escape.
43	<COLOR=FFE36C0A>[Quest Start- Lucid]<RETURN=1/></COLOR>It may be no easier to survive outside of this place. Even so, I will help you escape this town. I know it's hard for you, but I would like to think of this as an investment for our own future, as well. Go meet <NPCNAME=63844/>/*Eyd*/ on the outskirts of the town. I wish you luck! <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Killing all monsters within the town will reveal the way out. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=63844/>/*Eyd*/.
44	Go meet <NPCNAME=63844/>/*Eyd*/. I wish you luck! 
45	<COLOR=FFE36C0A>[Quest End- Eyd]<RETURN=1/></COLOR>You managed to get this far. Now let's leave this place!
46	<COLOR=FFE36C0A>[Quest Start- Eyd]<RETURN=1/></COLOR>I will send you to Waldchen, another Liberation Army outpost. Don't you forget about Lucid, who gave all to save you. Once you reach Waldchen, find <NPCNAME=63816/>. May the glory of the Liberation Army be with you! Click on the stone in front of you! <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>The portal to Waldchen will open once you accept the quest and click on the stone. <RETURN=1/>Use the portal to get to Waldchen. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Meet <NPCNAME=63816/>/*Irhanna*/ at Waldchen.
47	Once you reach Waldchen, find <NPCNAME=63816/>. May the glory of the Liberation Army be with you!
48	<COLOR=FFE36C0A>[Quest End- Irhanna]<RETURN=1/></COLOR>Esod Town was destroyed? And you're the only survivor? Why only you? <RETURN=1/>Please wait a bit. I will decide what to do with you after discussing this with the Senate.
85	<COLOR=FFE36C0A>[Quest Start - Mondschein Combat Recruitor]<RETURN=1/></COLOR>Hello! I'm recruiting fighters to enter the battle in Mondschein Castle!<RETURN=1/>You look skilled. Why don't you enter the battle?<RETURN=1/>Of course I¨ll pay for your work. Bring me <ITEMNAME=40246/>, loot from the Battle of Mondschein, and I'll give you useful rewards!<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>You can get a ticket for Mondschein Castle from <NPCNAME= 63907/> in front of the Combat Recruiter.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Collect 10 <ITEMNAME=40246/> from monsters in the Mondschein Castle.
86	Have you collected <ITEMNAME=40246/> yet? What took you so long for just 10 items!<RETURN=1/>You may not be as good as I think.
87	<COLOR=FFE36C0A>[Quest Start - Mondschein Combat Messenger]<RETURN=1/></COLOR>Hello. I'm a Combat Messenger from the Mondschein Castle.<RETURN=1/>To enter the castle, you need <ITEMNAME=40245/>.<RETURN=1/>Collect 20 <ITEMNAME=40244/> and I'll make you a map.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>You can get <ITEMNAME=40244/> from monsters in the Battle Zone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Bring me 20 <ITEMNAME=40244/>.
88	You can get <ITEMNAME=40244/> from monsters in the Battle Zone.
92	Collect 10 <ITEMNAME=40246/> from monsters in Mondschein Castle.
93	Collect 20 <ITEMNAME=40244/>.
95	<COLOR=FFE36C0A>[Quest End - Mondschein Combat Recruitor]<RETURN=1/></COLOR>I knew you could pull it off!! Good work!!<RETURN=1/>Here, this is <ITEMNAME=40247/>. If you gather this and bring them to the Craft Merchant, you will receive various rewards!!
96	<COLOR=FFE36C0A>[Quest End - Mondschein Combat Messenger]<RETURN=1/></COLOR>You collected all <ITEMNAME=40244/>. Here, take this <ITEMNAME=40245/>.<RETURN=1/>Enemies in Mondschein Castle are very tough. Be careful out there.
102	Go introduce yourself to <NPCNAME=62154/>. Don't want to? Then I'll make sure your stay here is anything but comfortable!
103	<COLOR=FFE36C0A>[Quest End- Luz]<RETURN=1/></COLOR>Ahaha! Irhanna sent you here? Ahaha! As if she isn't a puny newcomer herself! 
104	<COLOR=FFE36C0A>[Quest Start- Luz]<RETURN=1/></COLOR>You! I'll give you something to do, too! Ahaha. <RETURN=1/>Go buy a <ITEMNAME=4001/> from that merchant over there and take it to <NPCNAME=62152/>. What's wrong? Money? Ahaha! Yeah, right. Go on! <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Locate the general goods merchant on the Map. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Buy one <ITEMNAME=4001/> from the store and take it to <NPCNAME=62152/>.
105	Go buy one <ITEMNAME=4001/> from that merchant over there and take it to <NPCNAME=62152/>. What's wrong? Money? Yeah, right. Go on!
106	<COLOR=FFE36C0A>[Quest End- Enas]<RETURN=1/></COLOR>Did Luz send you? Sigh... How immature...
107	<COLOR=FFE36C0A>[Quest Start- Enas]<RETURN=1/></COLOR>Um... I'm not trying to use you or anything, but... I want you to give this to someone. <RETURN=1/>It's called <ITEMNAME=6501/>, and it is used in enchantments to strengthen equipment. Please take these to <NPCNAME=62193/>/*Hobin*/. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>5 <ITEMNAME=6501/>/*Maxi Stone Fragments*/ will be automatically obtained after accepting the quest. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Take 5 <ITEMNAME=6501/>/*Maxi Stone Fragments*/ to <NPCNAME=62193/>/*Hobin*/.
108	Please take them to <NPCNAME=62193/>/*Hobin*/.
109	<COLOR=FFE36C0A>[Quest End- Hobin]<RETURN=1/></COLOR>Wow... <ITEMNAME=6501/>/*Maxi Stone Fragments*/. With five of these, you can make a <ITEMNAME=4201/>/*Maxi Stone*/. A <ITEMNAME=4201/>/*Maxi Stone*/ can be used in enchantments.
110	<COLOR=FFE36C0A>[Quest Start- Hobin]<RETURN=1/></COLOR>That's people's way of saying hello around here, so don't feel bad. What happened to you is nothing. For me... ugh... The thought of it makes me queasy. Anyway, that's that, so go back to <NPCNAME=63816/>/*Irhanna*/. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=63816/>.
111	Go to <NPCNAME=63816/>/*Irhanna*/.
112	<COLOR=FFE36C0A>[Quest End- Irhanna]<RETURN=1/></COLOR>What the... Why are you back? Done already? Did I miss a note? Why are people so nice today? <RETURN=1/>But you're not through with me! Come back once you're done with this!  
113	<COLOR=FFE36C0A>[Quest Start- Irhanna]<RETURN=1/></COLOR>Haha! Surprised? <RETURN=1/>You should be able to deal with these! Hurry up! Get rid of them! <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Monsters have been summoned after accepting the quest. <RETURN=1/>Eliminate the monsters and complete the quest. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate the summoned monsters.
114	Haha! Surprised?
115	<COLOR=FFE36C0A>[Quest End- Irhanna]<RETURN=1/></COLOR>Well... Let's leave it at that! Congratulations! You're now our friend!
116	<COLOR=FFE36C0A>[Quest Start- Rante]<RETURN=1/></COLOR>We received a report that there is an Empire spy in our town. <RETURN=1/>I wouldn't doubt that, either. Go to <NPCNAME=63816/>/*Irhanna*/ and think of a plan to oust him. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=63816/>.
117	There is an Empire spy in our town. Go to <NPCNAME=63816/>/*Irhanna*/ and think of a plan to oust him.
118	<COLOR=FFE36C0A>[Quest End- Irhanna]<RETURN=1/></COLOR>I wouldn't have thought our town's security was this loose. You aren't the spy, are you?
119	<COLOR=FFE36C0A>[Quest Start- Irhanna]<RETURN=1/></COLOR>A spy in our town? I'm shocked. What should we do with such a blatant security breach? <RETURN=1/>Find <NPCNAME=62196/>/*Dibdin*/. He used to work for the Imperial Herald, an intelligence organization. Ask for his input. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=62196/>.
120	Find <NPCNAME=62196/>/*Dibdin*/. He used to work for the Imperial Herald, an intelligence organization. Ask for his input. 
121	<COLOR=FFE36C0A>[Quest End- Dibdin]<RETURN=1/></COLOR>...A spy... Hm...
122	<COLOR=FFE36C0A>[Quest Start- Dibdin]<RETURN=1/></COLOR>Since when did the Imperial Army ask for our help? They've never trusted us to begin with. <RETURN=1/>Well... Fine... A spy... Look around the town. He should be fairly obvious. <RETURN=1/>Go on... He was overtly suspicious in my eyes, but to think no one noticed him... The Army's got some competent people working for them. <RETURN=1/>If you find the spy, go talk to <NPCNAME=63816/>/*Irhanna*/. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Finding the spy in the town will complete the quest. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Find the spy 3.
123	Look around town. He should be fairly obvious. <RETURN=1/>Go on... He was overtly suspicious in my eyes, but to think no one noticed him... The Army's got some competent people working for them.
124	<COLOR=FFE36C0A>[Quest Start- Irhanna]<RETURN=1/></COLOR>He was right under our noses. That's embarrassing... 
126	I won't say a word! Do your worst!
127	<COLOR=FFE36C0A>[Quest End- Suspicious Guard]<RETURN=1/></COLOR>I won't say a word! Do your worst!
128	<COLOR=FFE36C0A>[Quest Start- Irhanna]<RETURN=1/></COLOR>We've interrogated the spy, and it turns out he was sent by the Iron Beast Tribe. At first it seemed like he wouldn't own up, but he confessed everything when we scared him a little. We're still unclear about their motives, but tell <NPCNAME=63809/>/*Bachen*/ at Zapir Lake not to let his guard down. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Go to <MAPNAME=20004/> and meet <NPCNAME=63809/>.
129	Go to <MAPNAME=20004/>/*Zapir Lake*/ and relay the message to <NPCNAME=63809/>/*Bachen*/.
130	<COLOR=FFE36C0A>[Quest End- Bachen]<RETURN=1/></COLOR>Hmph! Now I'm the one responsible for the infiltration? Don't let my guard down? Why don't you go tell her that I said yes?
137	<COLOR=FFE36C0A>[Quest Start- Irhanna]<RETURN=1/></COLOR>Go see <NPCNAME=63815/>/*Rante*/. Report what happened at Esod. You managed to come here alone. I'll warn you that <NPCNAME=63815/>/*Rante*/ does not forgive cowardice. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Talk to <NPCNAME=63815/>.
138	Go see <NPCNAME=63815/>/*Rante*/.
140	<COLOR=FFE36C0A>[Quest Start- Rante]<RETURN=1/></COLOR>Now... I will give you your first official mission. Take these <ITEMNAME=40311/>/*Orders*/ to <NPCNAME=63811/>. I expect to hear great things from you. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Take the <ITEMNAME=40311/> to <NPCNAME=63811/>.
141	I expect to hear great things from you.
142	<COLOR=FFE36C0A>[Quest End- Guard Captain Von Carloan]<RETURN=1/></COLOR>The orders have been received. Please wait.
143	<COLOR=FFE36C0A>[Quest Start- Guard Captain Von Carloan]<RETURN=1/></COLOR>You will undertake some tasks at Zapir Lake. <RETURN=1/>Follow this way and listen to <NPCNAME=63809/>'s instructions. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Go to <MAPNAME=20004/> and meet <NPCNAME=63809/>.
144	Follow this way and listen to <NPCNAME=63809/>/*Bachen*/'s instructions.
145	<COLOR=FFE36C0A>[Quest End- Sentry Captain Bachen]<RETURN=1/></COLOR>What's this? What do they think they're doing, sending this kid here? Are they out of their minds? What are you looking at? Stay where you are!
146	<COLOR=FFE36C0A>[Quest Start- Sentry Captain Bachen]<RETURN=1/></COLOR>I'm Bachen. I don't know where you're from, nor do I care. Since you are working under me, you must follow my orders without question. Zapir Lake is a key stronghold. Loss of this lake will mean the loss of the Army's supply route, so we must do everything to protect this place. I will give you your first mission. Kill three <NPCNAME=1/> and come back. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate 3 <NPCNAME=1/> .
147	Have you done what I told you to? Get a move on!
148	<COLOR=FFE36C0A>[Quest End- Sentry Captain Bachen]<RETURN=1/></COLOR>At least you're worth the gruel they serve you.
150	Have you found any evidence of contamination?
151	<COLOR=FFE36C0A>[Quest End- Sentry Captain Bachen]<RETURN=1/></COLOR>So far so good. We still have much to do.
153	Get me some <ITEMNAME=40313/>.
154	<COLOR=FFE36C0A>[Quest End- Sentry Captain Bachen]<RETURN=1/></COLOR>It seems we have sufficient evidence.
155	<COLOR=FFE36C0A>[Quest Start- Sentry Captain Bachen]<RETURN=1/></COLOR>You are to take this <ITEMNAME=40314/>/*Proof of Contamination*/ and take it to <NPCNAME=63771/>/*Dietrich*/. You are now under his direct command. <NPCNAME=63771/>/*Dietrich*/ has been working on this issue himself, so we should now be able to get to the bottom of this rumor. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Take <ITEMNAME=40314/> to <NPCNAME=63771/>.
156	Go on.
157	<COLOR=FFE36C0A>[Quest End- Patrol Captain Dietrich]<RETURN=1/></COLOR>I will take this to the Army Command. 
159	I shall discuss with <NPCNAME=63821/>/*Heinrich*/ and plan our next move.
161	<COLOR=FFE36C0A>[Mission Sinister Rumor - Guard Captain Heinrich]<RETURN=1/></COLOR>Wild creatures have been mutating throughout the forest due to Ether contamination. There appears to be a giant mutated creature contaminating its surroundings. Confirm this sighting and kill the threat if you do find it. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Take the eastern portal and and proceed to Mission Sinister Rumor. <RETURN=1/>If in a Party, players will be admitted individually, while those not admitted will be disconnected from their Party members after 10 minutes. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=38301/> in Mission Sinister Rumor.
162	Take the eastern portal and proceed to the Mission.
163	<COLOR=FFE36C0A>[Quest End- Guard Captain Heinrich]<RETURN=1/></COLOR>A giant creature contaminating our Ether... That is unheard of... <RETURN=1/>Anyway, doubtless it was a tough task. You've done well.
164	<COLOR=FFE36C0A>[Mission Sinister Rumor - Guard Captain Heinrich]<RETURN=1/></COLOR>Wild creatures have been mutating throughout the forest due to Ether contamination. There appears to be a giant mutated creature contaminating its surroundings. Confirm this sighting and kill the threat if you do find it. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>When you accept this quest, a portal to the Mission Sinister Rumor will appear. <RETURN=1/>If in a Party, players will be admitted individually, while those not admitted will be disconnected from their Party members after 10 minutes. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=38301/> in Mission Sinister Rumor.
165	Check the information closely and prepare for the mission.
166	<COLOR=FFE36C0A>[Quest End- Guard Captain Heinrich]<RETURN=1/></COLOR>A giant creature contaminating our Ether... That is unheard of... <RETURN=1/>Anyway, doubtless it was a tough task. You've done well.
167	<COLOR=FFE36C0A>[Mission Sinister Rumor Retry - Guard Captain Heinrich]<RETURN=1/></COLOR>Wild creatures have been mutating throughout the forest due to Ether contamination. There appears to be a giant mutated creature contaminating its surroundings. Confirm this sighting and kill the threat if you do find it. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[TIP]<RETURN=1/></COLOR>Take the eastern portal and and proceed to Mission Sinister Rumor. <RETURN=1/>If in a Party, players will be admitted individually, while those not admitted will be disconnected from their Party members after 10 minutes. <RETURN=1/> <RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME=38301/> in Mission Sinister Rumor.
168	Take the eastern portal and proceed to the Mission.
169	<COLOR=FFE36C0A>[Quest End- Guard Captain Heinrich]<RETURN=1/></COLOR>A giant creature contaminating our Ether... That is unheard of... <RETURN=1/>Anyway, doubtless it was a tough task. You've done well.
