StrCode	Str	FieldEnd
26	You have accepted a <COLOR=FFE46D0A>quest</COLOR>.<RETURN=1/>Shall we learn a little more about quests?<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
27	You have gained <COLOR=FFE46D0A>experience</COLOR>.<RETURN=1/>Shall we learn a little more about experience?<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
28	Are quests still unfamiliar to you?<RETURN=1/>There is more information about quests ready for you.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
29	Wondering where you should get items?<RETURN=1/>If you would like to know how items are obtained, press the '<COLOR=FF0070C0>View Info</COLOR>' button.	
30	Equipment you receive as a reward is useless unless you wear it.<RETURN=1/>You can equip it by <COLOR=FF0070C0>right-clicking</COLOR> it in your <COLOR=FF0070C0>Inventory (I)</COLOR>.	
32	<COLOR=FF0070C0>Mount a Zard</COLOR> and defeat the <COLOR=FFE46D0A>summoned monsters</COLOR>!<RETURN=1/><COLOR=FFFF0000>If you failed to complete the quest, </COLOR>you can <COLOR=FF0070C0>abandon it and accept it again</COLOR> to try once more.	
33	This world is governed by a law known as the '<COLOR=FFE46D0A>affinity of the elements</COLOR>'.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
35	Not sure how to <COLOR=FFE46D0A>gather</COLOR>?<RETURN=1/>Press the '<COLOR=FF0070C0>View Info</COLOR>' button below and I will explain gathering in detail.	
36	<COLOR=FFE46D0A>Passive skills</COLOR> let you strengthen the abilities you want.<RETURN=1/>For details about <COLOR=FFE46D0A>Custom Passives</COLOR>, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
37	To travel to another place or another dimension you must use a <COLOR=FFE46D0A>portal</COLOR>.<RETURN=1/>For details about portals, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
38	Have you tried the <COLOR=FFE46D0A>elixirs</COLOR> we supplied you with?<RETURN=1/>Drinking an elixir grants you a <COLOR=FFE46D0A>temporary enhancement</COLOR>.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
39	In mission areas you can <COLOR=FFE46D0A>operate the objects around you</COLOR> to work your way through the task.<RETURN=1/>For details about these devices, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
40	<COLOR=FFE46D0A>Consumables</COLOR> such as potions are far handier once you <COLOR=FF0070C0>register them on a quick slot</COLOR>.<RETURN=1/>Only <COLOR=FFE46D0A>skills </COLOR>and <COLOR=FFE46D0A>items that can be used or worn</COLOR> can be registered on quick slots.	
41	To open a door or operate a device, <COLOR=FF0070C0>left-click the target </COLOR>with your mouse.	
43	If you are not sure <COLOR=FFE46D0A>how to travel to Waldchen</COLOR>, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
44	Every town has a <COLOR=FFE46D0A>Crystal Pillar</COLOR> that casts helpful spells on warriors.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
45	Defeat the <COLOR=FFE46D0A>summoned monsters</COLOR>!<RETURN=1/><COLOR=FFFF0000>If you failed to complete the quest, </COLOR>you can <COLOR=FF0070C0>abandon it and accept it again</COLOR> to try once more.	
46	In town you can use the many services NPCs provide, such as the <COLOR=FFE46D0A>shop</COLOR>, the <COLOR=FFE46D0A>warehouse</COLOR>, <COLOR=FFE46D0A>crafting </COLOR>and <COLOR=FFE46D0A>enhancement</COLOR>.<RETURN=1/><COLOR=FFE46D0A>Equipment repairs</COLOR> can be done by any merchant.	
47	Now and then you will be asked to find <COLOR=FFE46D0A>something hidden that is not marked</COLOR>.<RETURN=1/>If you are not sure how to handle that, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
48	The <COLOR=FFE46D0A>continent map</COLOR> shows you the whole continent and which faction holds what.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
49	A place where many enemies live packed close together is called a <COLOR=FFE46D0A>monster camp</COLOR>.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
50	Using a '<COLOR=FFE46D0A>Recall Scroll</COLOR>'<COLOR=FF0070C0> </COLOR>takes you straight back to <COLOR=FFE46D0A>the last town you visited</COLOR>.<RETURN=1/>Try the <COLOR=FF0070C0>Recall Scroll</COLOR> in your <COLOR=FF0070C0>Inventory (I)</COLOR>.	
51	To continue your task you must enter through the <COLOR=FFE46D0A>mission portal</COLOR> next to Heinrich.<RETURN=1/><COLOR=FFFF0000>The enemies inside mission areas are very aggressive, so take care!</COLOR>	
53	With a <COLOR=FFE46D0A>Cube</COLOR> you can <COLOR=FFE46D0A>combine</COLOR> items.<RETURN=1/>For details about Cube combining, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
54	You can also use a <COLOR=FFE46D0A>Cube</COLOR> to <COLOR=FFE46D0A>break down</COLOR> items.<RETURN=1/>For details about Cube disassembly, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
55	If you are not sure what to do during a mission, the '<COLOR=FFE46D0A>Mission Progress Info</COLOR>' can help you.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
56	If you have a long way to travel, make good use of the <COLOR=FFE46D0A>waypoints</COLOR>.<RETURN=1/>For details about waypoints, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
57	Wait, <heroname/>. You are heading into a <COLOR=FFE46D0A>conflict zone</COLOR>?<RETURN=1/>Conflict zones are dangerous places, so please hear the full explanation before you go.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
58	There is a saying: '<COLOR=FFE46D0A>many hands make light work</COLOR>'.<RETURN=1/>Problems you cannot solve alone, or things you simply cannot find, are often settled surprisingly easily once you ask someone else. When that happens, do not hesitate to borrow the knowledge of more experienced warriors.	
59	Have you ever formed a <COLOR=FFE46D0A>party</COLOR> with your comrades, <heroname/>?<RETURN=1/>Missions that are too hard to handle alone can be taken on together as a party.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
60	You can <COLOR=FFE46D0A>crystallize</COLOR> items with the <COLOR=FF0070C0>[Crystallize] action on the Action/Emotion tab of the Skill window (K)</COLOR>.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
61	You can <COLOR=FFE46D0A>craft</COLOR> items by giving a crafting NPC the materials and a fee.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
62	This is Etherain, the heart of the Rochel Republic.<RETURN=1/>For details about the <COLOR=FFE46D0A>jump portals</COLOR> that Etherain is known for, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
63	You have obtained a fine warhorse. Congratulations.<RETURN=1/>Besides warhorses there are many other <COLOR=FFE46D0A>mounts</COLOR> as well.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
64	Let me explain <COLOR=FFE46D0A>how to board a Flying Vessel</COLOR>.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
65	Let me explain <COLOR=FFE46D0A>how to travel by Flying Vessel</COLOR>.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
66	So you are going to the <COLOR=FFE46D0A>Corrupted Temple</COLOR>, the battlefield where everyone is an enemy.<RETURN=1/>Let me tell you what kind of place it is.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
67	The compass is pointing toward <COLOR=FFE46D0A>Etherain</COLOR>.<RETURN=1/>The <COLOR=FFE46D0A>treasure of Rochel</COLOR> must be hidden somewhere in Etherain.	
68	Are you <COLOR=FFE36C0A>ready for battle</COLOR>, <heroname/>?<RETURN=1/>Let us go over wearing your gear and targeting.<RETURN=1/>For details, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
69	Using <COLOR=FFE46D0A>skills</COLOR> makes battle far easier and turns the fight in your favor.<RETURN=1/>For details about skills, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
70	Many other warriors besides <heroname/> live in this world.<RETURN=1/>Have you ever spoken with them?<RETURN=1/>For the many ways to <COLOR=FFE46D0A>talk with your fellow warriors</COLOR>, press the '<COLOR=FF0070C0>View Info</COLOR>' button below.	
9999	New information has been added.<RETURN=1/>Check the list in the <COLOR=FF0070C0>Information Room (H)</COLOR>.	
10009	Information Room	
10010	Basic Information	
10020	Practical Information (Beginner)	
10030	Practical Information (General)	
10100	Area Information	
10200	Faction Information	
10300	Character Information	
10400	Monster Encyclopedia	
15000	Rotnem's Private Lessons (1)	
15001	Portals	
15002	Devices	
15003	To Waldchen...	
15004	Character Death	
15005	Quest Basics (1)	
15006	Experience	
15007	Quest Basics (2)	
15008	Stat Points	
15009	Loot	
15010	Item Gathering	
15011	Quest Basics (3)	
15012	Continent Map	
15013	Waypoints	
15014	Party Play	
15015	HP Recovery	
15016	Online Points	
15017	Sockets	
15018	Elements	
15019	Custom Passives	
15020	Enhancement Elixirs	
15021	Crystal Pillar	
15022	Monster Camps	
15023	Battle Zone	
15024	Battle Zone	
15025	Cube (1)	
15026	Cube (2)	
15027	Mission Progress Info	
15028	Conflict Zones and PK	
15029	Crystallization	
15030	Crafting	
15031	Jump Portals	
15032	Mounts	
15033	Flying Vessel (1)	
15034	Flying Vessel (2)	
15035	Esod	
15036	Вальдхен	
15037	Лес зверей	
15038	Трингель	
15039	Стоки Этерейна	
15040	Этерейн	
15041	Дворец ледяных кристаллов	
15042	Долина драконьего рода	
15043	Кладбище Айорт	
15044	Aukra	
15045	Castle Helron	
15046	Cursed Tower	
15047	Corrupted Temple	
15048	Castle Montshine	
15049	Temple of Blood	
15050	Flying Vessel	
15051	Kortoq	
15052	Green Earth	
15053	Guidance Liberation Army	
15054	Geist Empire	
15055	Rochel Republic	
15056	Ardor Expedition	
15057	Karnatus Army	
15058	Игнис	
15059	Schwertz Prammes	
15060	Otto von Roshfelt	
15061	Лес зверей	
15062	Стоки Этерейна	
15063	Дворец ледяных кристаллов	
15064	Долина драконьего рода	
15065	Кладбище Айорт	
15066	Castle Helron	
15067	Green Earth	
15068	Greetings	
15069	Basic Shortcut Keys	
15070	Rotnem's Private Lessons (2)	
15071	Rotnem's Private Lessons (3)	
15072	Rotnem's Private Lessons (4)	
20000	Basic Controls of SUN	
20001	Basic Controls - Movement (Keyboard)	
20002	Basic Controls - Movement (Mouse)	
20003	Basic Controls - Camera	
20004	Basic Controls - Inventory	
20005	Basic Controls - Skills	
20006	Basic Controls - Quick Slots	
20007	Basic Controls - Talking (Players)	
20008	Normal Chat	
20009	Shout	
20010	Party Chat	
20011	Guild Chat	
20012	Channel Chat	
20013	Basic Controls - Talking (NPCs)	
20015	What is a Portal?	
20016	Types of Portal	
20017	To Spirit Woods	
20018	Devices in Missions	
20019	Entering Spirit Woods	
20020	Stone of Dimensional Travel	
20021	How to Revive	
20022	No Blessing of the Goddess?	
20023	What is a Quest?	
20024	What is Experience?	
20025	Extra Info Tooltips	
20026	Quest Navigation	
20027	Stat Points	
20028	Obtaining Loot	
20029	Item Gathering	
20030	Invisible Quests	
20031	Continent Map	
20032	Area Occupation Info	
20033	Quest Location Info	
20034	What is a Waypoint?	
20035	What is a Party?	
20036	Inviting	
20037	Leaving a Party	
20038	Damage and Recovery	
20039	What are Online Points?	
20040	What is a Socket?	
20041	How to Mount	
20042	Zard Points and Socket Options	
20043	Socket Limits	
20044	Zard Extraction Stone	
20045	What are Elements?	
20046	What is a Passive Skill?	
20047	How to Register	
20048	How to Remove	
20049	Passive Experience	
20050	The Fifth Skill	
20051	Elixir Effects	
20052	Need More Elixirs?	
20053	The Crystal Pillar in Town	
20054	Monster Camps	
20055	What is the Battle Zone?	
20056	Prerequisite Quest	
20057	Free Pass Level	
20058	What is the Battle Zone?	
20059	Prerequisite Quest	
20060	Free Pass Level	
20061	What is a Cube?	
20062	Combining	
20063	Disassembly	
20064	Hidden Recipes	
20065	Mission Progress Info	
20066	What is a Conflict Zone?	
20067	PK - Self Defense	
20068	PK - Pre-Murderer	
20069	PK - Murderer	
20070	Conflict Zone	
20071	Free Conflict Zone	
20072	Safe Zone	
20073	Crystallization	
20074	Item Crafting	
20075	Jump Portals of Etherain	
20076	Convenient Transport	
20077	Harness - Mount Equipment	
20078	Wax	
20079	Boarding a Flying Vessel	
20080	Traveling by Flying Vessel	
20081	Western Continent, the Ancient Temple	
20082	Soulless Fighters, an Endless Battle	
20083	Earthquakes and Collapse	
20084	Lightning	
20085	The Central Barrier	
20086	Memoirs of the Federal Council Chairman	
20087	Strife within the Guidance Liberation Army	
20088	Building of the Temple	
20089	The Crystal and the Three Rings	
20090	The Imprint Ritual	
20091	Temple Passage	
20092	Information Room	
20093	Shortcut Key Info	
20094	Hiding the Mini Info Window	
20095	Basic Controls - Targeting	
20096	Basic Controls - Attacking	
25000	Press the I key to open your inventory.	
25001	Press the K key to open the Skill window.	
25002	Press the Enter key to open the chat input box.	
25003	Press the C key to open the Character window.	
25004	Double-click the Cube to open the Cube window.	
25005	Press the K key to open the Skill window, then click the Custom Passive tab.	
30000	Welcome.<RETURN=1/>This is the library of knowledge, the '<COLOR=FFE46D0A>Information Room</COLOR>'.<RETURN=1/>Here you can browse all sorts of practical information gathered from the advice of adventurers and scholars across the continent, as well as records such as the history of the continent.	
30001	The default shortcut keys are shown in the picture above.	
30003	You can move your character with the keyboard.<RETURN=1/>Use the <COLOR=FF0070C0>W key</COLOR> and the <COLOR=FF0070C0>S key</COLOR> to move forward and backward.	
30005	You can move your character with the keyboard.<RETURN=1/>Use the <COLOR=FF0070C0>Q key</COLOR> and the <COLOR=FF0070C0>E key</COLOR> to strafe left and right.	
30006	Press the <COLOR=FF0070C0>Space Bar </COLOR>to make your character <COLOR=FFE46D0A>jump</COLOR>.<RETURN=1/>Some terrain can only be crossed by jumping.	
30007	<COLOR=FFE46D0A>Press </COLOR><COLOR=FF0070C0>Q, W, E or S </COLOR>together with the <COLOR=FF0070C0>Space Bar</COLOR> to jump in that direction.	
30010	<COLOR=FF0070C0>Hold the left or right mouse button and drag</COLOR> on empty background, where there is no UI or usable object, to <COLOR=FFE46D0A>turn your character</COLOR> or <COLOR=FFE46D0A>turn only the camera</COLOR>.	
30012	You can check what your character is carrying by opening the <COLOR=FF0070C0>Inventory (I)</COLOR>.<RETURN=1/>Open the <COLOR=FF0070C0>Inventory (I)</COLOR> and press the '<COLOR=FF0070C0>Next Page (>)</COLOR>' button.	
30013	<COLOR=FFE46D0A>Equipment</COLOR> items can be worn by <COLOR=FF0070C0>right-clicking</COLOR> them.<RETURN=1/><COLOR=FFE46D0A>Equip the weapon </COLOR>that is in your inventory.<RETURN=1/>However mighty a hero may be, <COLOR=FFFF0000>bare hands will not bring an enemy down!</COLOR>	
30014	You can learn and strengthen skills in the <COLOR=FF0070C0>Skill window (K)</COLOR>.<RETURN=1/>Open the <COLOR=FF0070C0>Skill window (K)</COLOR> and press the '<COLOR=FF0070C0>Next Page (>)</COLOR>' button.	
30018	Press the <COLOR=FF0070C0>` key</COLOR> to <COLOR=FFE46D0A>switch</COLOR> to the second quick slot bar.<RETURN=1/>Press the <COLOR=FF0070C0>- key</COLOR> to use <COLOR=FFE46D0A>two rows of quick slots</COLOR> at once. In that case the <COLOR=FFE46D0A>shortcut keys apply to the lower bar</COLOR>.	
30019	To gather a party, trade items or simply ask a question, you need to <COLOR=FFE46D0A>talk with other players</COLOR>.<RETURN=1/>Things you could never manage alone can be solved when many people work together.	
30020	Press the <COLOR=FF0070C0>Enter key</COLOR> to open the <COLOR=FFE46D0A>chat input box</COLOR>.<RETURN=1/>Open the <COLOR=FF0070C0>chat input box (Enter)</COLOR> and press the '<COLOR=FF0070C0>Next Page (>)</COLOR>' button.	
30021	Type your message and press the <COLOR=FF0070C0>Enter key</COLOR> to <COLOR=FFE46D0A>send it</COLOR> to other players.<RETURN=1/>By <COLOR=FF0070C0>putting a special character in front of your message</COLOR> you can easily send it to <COLOR=FFE46D0A>a different chat group</COLOR>.	
30022	Normal chat: (message)<RETURN=1/>The message reaches players close to your character.	
30023	There are two kinds of shout.<RETURN=1/><RETURN=1/>Normal shout: <COLOR=FF0070C0>(@message)<RETURN=1/></COLOR>The message reaches players in the same area.<RETURN=1/><RETURN=1/>World shout: <COLOR=FFFFCC00>(@@message)<RETURN=1/></COLOR>The message reaches every player on the same server.<RETURN=1/>It requires a <COLOR=FFE46D0A>Proclamation of the Liberation Army </COLOR>item.	
30024	Party chat: <COLOR=FF00B050>(#message)<RETURN=1/></COLOR>The message reaches your party members.	
30025	Guild chat: <COLOR=FF9966FF>($message)<RETURN=1/></COLOR>The message reaches your guild members.	
30027	When you move the mouse over an NPC a speech bubble appears, and <COLOR=FF0070C0>left-clicking</COLOR> starts a <COLOR=FFE46D0A>conversation</COLOR>.	
30028	Now go ahead and speak to <COLOR=FFE46D0A>'Lucid'</COLOR> in front of you.	
30030	A <COLOR=FFE46D0A>portal</COLOR> is a passage through space and time that lets you <COLOR=FFE46D0A>travel to another place or dimension</COLOR>.<RETURN=1/>There are several kinds, from the basic <COLOR=FFE46D0A>portal</COLOR> that carries you to a neighboring area, to the <COLOR=FFE46D0A>mission portal</COLOR> that leads into a particular mission area.	
30031	The portal above is a <COLOR=FFE46D0A>mission portal</COLOR>, which takes you into a particular mission area. The one on the left leads to a <COLOR=FFE46D0A>sub mission</COLOR>, the one on the right to a <COLOR=FFE46D0A>main mission</COLOR>.	
30032	The portal above is a <COLOR=FFE46D0A>field portal</COLOR>, which takes you to a neighboring area.	
30033	Now please <COLOR=FF0070C0>travel to Spirit Woods</COLOR> through the mission portal.	
30034	In a mission area, when you <COLOR=FF0070C0>place the mouse pointer </COLOR>over <COLOR=FFE46D0A>an object you can operate</COLOR> the cursor changes into a <COLOR=FFE46D0A>padlock</COLOR>.<RETURN=1/>At that point you can <COLOR=FF0070C0>left-click</COLOR> to operate the object.<RETURN=1/><COLOR=FFFF0000>If you get stuck during a mission, look around for an object you can operate.</COLOR>	
30035	First, operate the <COLOR=FFE46D0A>lever</COLOR> in front of you to connect the bridge.	
30036	<COLOR=FF0070C0>Press the W key and the Space Bar together </COLOR>to jump forward.<RETURN=1/>Narrow gaps in cliffs can be crossed by jumping.	
30037	First, as '<COLOR=FFE46D0A>Id</COLOR>' told you, operate the <COLOR=FFE46D0A>stone monument in front of you</COLOR>.<RETURN=1/>Then <COLOR=FF0070C0>click the portal </COLOR>the monument creates to leave this place.	
30038	If your character dies, an <COLOR=FFE46D0A>Elementalist</COLOR> can bring you back with a <COLOR=FF0070C0>resurrection skill</COLOR>.<RETURN=1/>Ask an Elementalist nearby or in your party for help.	
30039	You can also use a '<COLOR=FF0070C0>Blessing of the Goddess</COLOR>' to revive <COLOR=FFE46D0A>every party member around you</COLOR>.<RETURN=1/>Try the <COLOR=FF0070C0>Blessing of the Goddess</COLOR> in your <COLOR=FF0070C0>Inventory (I)</COLOR>.	
30040	Do you need more of the <COLOR=FFE46D0A>Blessing of the Goddess</COLOR>?<RETURN=1/>You can <COLOR=FF0070C0>buy</COLOR> it at the <COLOR=FF0070C0>Cash Shop (\)</COLOR>.<RETURN=1/>To <COLOR=FFE46D0A>charge cash</COLOR>, please visit the <COLOR=FFE46D0A>website</COLOR>.	
30046	You gain <COLOR=FFE46D0A>experience</COLOR> from <COLOR=FFE46D0A>quests</COLOR> and from <COLOR=FFE46D0A>fighting</COLOR> monsters.<RETURN=1/>In most cases quests give far more experience.	
30049	The edge of the minimap shows where you have to go to carry out your quest.<RETURN=1/><COLOR=FFE46D0A>Move</COLOR> your character in the <COLOR=FFE46D0A>direction the arrow points</COLOR>.	
30050	<COLOR=FFE46D0A>Stat points</COLOR> are your character's <COLOR=FFE46D0A>Strength, Agility, Vitality, Intelligence and Spirit</COLOR> values.<RETURN=1/>To check your stat points, open the <COLOR=FF0070C0>Character window (C)</COLOR> and press the '<COLOR=FF0070C0>Next Page (>)</COLOR>' button.	
30053	Items such as loot are normally obtained by <COLOR=FFE46D0A>defeating monsters</COLOR>.<RETURN=1/>Monsters drop what they carry on the ground nearby as they die.	
30054	While carrying out quests you will often need to <COLOR=FFE46D0A>gather</COLOR> items.<RETURN=1/>Items you can gather are marked with a <COLOR=FFE46D0A>red exclamation mark</COLOR>, and <COLOR=FF0070C0>left-clicking</COLOR> begins the gathering.	
30055	<COLOR=FFFF0000>Gathering is interrupted if you move or are attacked while it is in progress.<RETURN=1/></COLOR>Gathering is delicate work. Get into the habit of concentrating somewhere safe.	
30056	Sometimes a quest has <COLOR=FFE46D0A>no scroll marker shown at all</COLOR> and stays hidden.<RETURN=1/>In that case you can advance the quest by <COLOR=FFE46D0A>clicking the object or NPC that is your objective</COLOR>.<RETURN=1/>Try <COLOR=FF0070C0>clicking the suspicious guard</COLOR> standing in front of <COLOR=FFE46D0A>Irhanna (Clan member) </COLOR>.	
30057	The <COLOR=FFE46D0A>continent map</COLOR> shows the whole of the Brakion continent or the Serient continent.<RETURN=1/>Press the <COLOR=FF0070C0>B key</COLOR> to open the continent map.	
30058	The <COLOR=FFE46D0A>slot</COLOR> on each area shows <COLOR=FFE46D0A>the mark of the guild currently holding that area</COLOR>.<RETURN=1/>When no guild holds the area, an empty slot like the one above is shown.	
30059	While you are on a quest, <COLOR=FFE46D0A>the areas where you must carry out or complete it are marked with arrows</COLOR>.<RETURN=1/><COLOR=FF0070C0>Place the mouse pointer </COLOR>over a quest navigation arrow to see the quest information.	
30060	For a small amount of Heim you can use a <COLOR=FF0070C0>waypoint</COLOR> to travel quickly and comfortably to a distant area.<RETURN=1/>To protect apprentice warriors, <COLOR=FFFF0000>travel to dangerous high level areas is restricted</COLOR>. We ask for your understanding.	
30061	A <COLOR=FFE46D0A>party</COLOR> is a <COLOR=FFE46D0A>group of comrades</COLOR> that can hold <COLOR=FFE46D0A>up to 10 members</COLOR>.<RETURN=1/>In a party you can handle hard work that you could never manage on your own.<RETURN=1/>The <COLOR=FFE46D0A>mission areas</COLOR> you enter through a <COLOR=FF0070C0>mission portal</COLOR> are the prime example.	
30063	Once the <COLOR=FF0070C0>player you invited accepts</COLOR>, the party is formed.<RETURN=1/>Party member information appears below your own information at the top left of the screen.	
