//Version	0.0.0.1				
//Ж®ё®°Е ёЮЅГБц і»їл					
//±ЗѕЖїµ					
		
		
		
//ёЮЅГБц ID	і»їл				
StrCode	Str	FieldEnd			
1	Миссия пройдена.
526	Этот столп защищён силой эфирного столпа, укоренившегося в лесу.#Чтобы избавиться от него, сначала придётся уничтожить другой эфирный столп.
//ѕЯјцЅЈSM3:АЅёрАЗєРјв	
527	Не двигается.
528	Похоже, устройство сработало как надо.
529	Звучит рог! Скоро враги узнают об этом месте.
//ѕЯјцЅЈSM3:ѕЯјцЅЈАФ±ёёЮЅГБц	
530	Это кости тех, кто стал добычей волков.
531	Поклажа разбросана повсюду. Ничего полезного не видно.
532	Вы сорвали замысел Империи захватить деревню, подчинив племена Леса зверей.#Миссия выполнена.
//БцЗПјц·ОSM3:ГЯ°ЎёЮЅГБц	
533	Портал не работает.
534	Раздаётся шум, и портал внезапно открывается.
535	Печать снята. Издалека доносится звук открывающейся двери.
536	Снятие печати позволило рыцарям Сигеля избавиться от проклятия и обрести вечный мирный сон. #Миссия выполнена.
//БцИчјц·ОSM2:АМ»зє§°ъАЗБў°Я	
537	Не открывается. Дверь защищает некая мощная сила.
538	Элементалистка полностью зачарована.# Говорить ей что-либо бесполезно.
539	Запечатано мощной силой.
540	За дверью чувствуется опасность.
541	Миссия выполнена.
//ГЯ°Ў	
542	Барьер чёрного эфира расползается вокруг и перекрывает дорогу!
543	Волчий вой становится громче.
544	У ваших ног собирается ядовитое синее облако. Это отравляющий газ!
545	Ловушка с ядовитым облаком обезврежена.
546	Похоже, колдун племени Железного зверя создаёт магическое силовое поле с помощью корня чёрного эфира.
547	Корень окутан мощным заклинанием.#Сначала нужно снять его, чтобы убрать магический барьер.
548	Вы дёргаете дверь, и из щели вырывается тёмная злая сила.#Дверь не открыть силой.
549	Труп оживает у вас на глазах!
//060413ГЯ°Ў	
550	Крышка каменной статуи открывается, и из неё исходит странная энергия.
551	Из каменной статуи вырвался воин племени Лассар!#Он в упор смотрит на вас и явно готов драться.
552	Волки, заражённые чёрным эфиром, вырвались на волю!
553	Маг племени Звериного леса вырвался и смотрит на вас с безумной ухмылкой.
554	Каменная статуя раскалывается, магическая энергия выплёскивается и устремляется в одну сторону —#к земле за дверью!
555	Портал открылся.
556	Это логово Омы, заместителя вождя племени Железного зверя!
557	Тотем чёрного эфира у входа начинает гудеть.# Если его не уничтожить, он призовёт силы Омы ему на защиту.
558	Тотем чёрного эфира уничтожен, и тревога смолкла.
559	Невидимая сила перекрывает вход в пещеру!
560	Вход наглухо запечатан. Этим путём дальше не пройти.
561	Дверь не поддаётся.
562	От прикосновения к двери слышен щелчок отпущенной пружины.
563	Камера открыта.
564	Силы чёрного эфира рассеиваются, и дверь за столпом рушится.
//060415ГЯ°Ў	
565	Взметнулись чёрные корни и перекрыли дорогу!#Слышно, как племя Звериного леса ищет добычу!
566	Корень, преграждавший дорогу, исчез.
567	Дверь руин закрылась! Похоже, вы попали в ловушку племени Звериного леса.
568	Дверь открылась!
569	Не тот рычаг.
570	Штабель брёвен рушится!
571	Сила чёрного эфира преграждает вам путь!
572	Похоже, колдун племени Железного зверя создаёт магический барьер с помощью чёрного эфира.
573	Это засада племени Железного зверя! Они мстят за гибель своего вожака!
//060416ГЯ°Ў	
574	Дверь открывается сама с жутким звуком.#Словно приглашает войти.
575	Запертая дверь вдруг распахивается, и воздух вокруг густеет от тёмного зловещего присутствия.
576	Едва маг повержен, слышится монотонный напев заклинания.#Воздух будто изменился.
577	Это ложный портал! От входа доносится странный гомон голосов!
578	У входа возник портал.
579	Как только маг уничтожен, магическая энергия, сковывавшая элементалистку, исчезает.
580	Дверь открывается!
581	Дверь закрывается!
582	Дверь закреплена.
//060502ГЯ°Ў	
583	От прикосновения к каменной статуе шар эфира начинает светиться, а соседние статуи издают волчий вой.#Больше ничего вроде бы не меняется.
//060507єёЅє·лјцБ¤	
//їНАМµе ї¬Гвїл(АМєҐЖ® Ж®ё®°Е »зїл)	
301	Мага Байона прислали демоны Хелрона с востока.#Чтобы открыть путь в лесу, злого мага нужно одолеть.
302	"Цербер — Король зверей Руфус, обретший невероятную разрушительную силу в опытах демонов, явил себя. #Скоро вы доберётесь до края леса.#Мятежная армия вновь воспряла духом."
303	"Вы наконец достигли края Леса зверей. Места Отчаяния.#Мятежная армия решает принести в жертву Ледяного дракона Нивалита ради первой победы.#Теперь для мятежников есть лишь путь вперёд и победа."
304	В подземном проходе таятся тёмные твари, жаждущие человеческих жизней.#Во главе их — Первый капитан Конус в Кровавой броне.#Мятежная армия вновь идёт к свободе.
305	"Некогда пышный и славный пиршественный зал#ныне стал гнездом тёмных тварей.#Чтобы вновь обрести славный свет, нужно одолеть Второго капитана, Тёмного рыцаря Кирша."
306	"Давно забытое место, где некогда стоял великолепный Король.#Ради истории, которую напишут в будущем.#Имперский рыцарь Отто падёт жертвой второй победы славной Мятежной армии."
307	Первый страж Замёрзшего дворца — капитан Харк.#Его нужно одолеть, чтобы открыть путь к победе.
308	Белый замок, утративший своё достоинство и красоту,#жаждет жизни каждого, кто в него входит.#Мятежной армии нужно пройти снежный замок,#который охраняет жрец Барон, отрёкшийся от своего бога.
309	"Некогда добрый владыка Снежных равнин был пленён силой эфира#и стал рабом замка и эфира.#Мятежная армия пробилась сквозь лютый холод и добралась до владыки замка.#И вновь они глядят в лицо смерти во имя победы."
//06519ГЯ°Ў	
584	Слышен низкий угрожающий голос.#[Ты из Империи? Дальше ты не пройдёшь!]
585	Заблудший дух Эрмунта появляется и преграждает путь!
586	Эрмунт повержен, но, похоже, это ещё не конец.#Его тело должно быть где-то в подземелье.
//060521јіїшMF1ГЯ°Ў	
51	От столпа чёрного эфира звучит тревога!#Имперские солдаты поблизости услышат её и скоро явятся!
52	Печать Дровосека защищает рычаг.#Похоже, чтобы сдвинуть рычаг, нужно одолеть Дровосека.
53	Ледяная тропа у обрыва обрушивается!#Нужно искать другой путь.
54	Дровосек повержен.#Рычаг под бревном начинает подрагивать. Похоже, теперь его можно сдвинуть.
55	Бревно падает и образует мост.#Выглядит опасно, но другого пути нет.
56	Мост приходит в движение.
57	Мост снова поднимается!
58	Скрип блока, двигающего мост, выдал ваше положение имперской армии.#Враг приближается к снежному проходу!
59	От столпа чёрного эфира звучит имперская тревога!
60	Столп чёрного эфира уничтожен, тревога смолкла.#Теперь меньше врагов заметит ваше продвижение.
61	Всё покрыто крепким льдом.#Лёд кажется неестественным. Должен быть другой способ, кроме как растопить его.
62	Стоит снова коснуться льда, как с той стороны моста доносится гулкий отзвук.
63	"Когда вы подходите к ледяному столпу, слышны странные, похожие на напев голоса.#[Кто ищет встречи с Королём, должен встретить дыхание холодного духа. Теплокровным к Залу Короля не приблизиться]."
64	В холодном воздухе виднеется движущийся силуэт!#Это дух льда!
65	С исчезновением духа льда неестественный холод отступает.#Теперь рычагом ворот замка можно управлять.
66	Видно, как из ворот замка выбегает имперский демон-офицер!#Его нужно одолеть, чтобы войти в замок!
67	Наконец внутренние ворота замка открыты.
68	Хранитель повержен, и портал в сад замка открылся.
//060602јіїшMF2ГЯ°Ў	
69	Узкий проход лабиринта перекрыт стеной! Похоже, вы угодили в ловушку Империи!
70	Если приложить ухо к стене, слышен слабый звук механизма.#Где-то должно быть устройство, которое её двигает.
71	Рычаг заперт, сдвинуть его нельзя.
72	Откуда-то доносится звук движущегося камня.
73	Из земли вырывается ледяной столп и преграждает путь!
74	Каменные врата открываются, и всё окутывает холод.#Появился снежный дух!
75	Не двигается. Сначала нужно привести в действие другой блок.
76	Слышен звук движущихся железных цепей.#Похоже, второй блок теперь работает.
77	Звук железных цепей смолк. Чтобы сдвинуть мост, сначала нужно привести в действие левый блок.
78	Блоки по обе стороны моста пришли в движение.
79	Мост приходит в движение.
80	Когда вы подходите к внутренним воротам, голову наполняют гневные голоса.#[Что за мразь смеет ступать на земли Барона! Я, Бехилит, не потерплю такой дерзости!]
81	Заклинание Бехилита преграждает ворота.#Чтобы идти дальше, его нужно найти и одолеть.
82	Силой это не открыть. Должен быть другой способ.
83	Перед дверью чувствуется искажение энергии.#Появился двойник Бехилита! Его нужно одолеть, чтобы добраться до настоящего.
84	Когда двойник Бехилита гибнет, издалека доносится скрип открывающейся ржавой двери.
85	Со вторым уничтоженным двойником в центре сада взвивается вихрь энергии.#Лучше приготовиться к бою.
86	Дверь запечатана мощной магией.#Чтобы сломать печать, нужно одолеть жреца Барона и его последователей.
87	Печать сломана!
//060607јіїшMF3ГЯ°Ў	
88	"Как ни толкай, она не поддаётся.#Нужно искать другой путь."
89	Когда вы подходите к двери, вас пробирает резкий холод.#Похоже, дверь защищает магическое устройство. Сначала нужно его отключить.
90	Слышен звук открывающейся двери.
91	В центре зала в холодном воздухе виднеется возникающий силуэт!
92	Вас заметили управитель Страуген и камергер Элронсаве.
93	Завод Эфира, оплётший тело Эрихи, разрушен вместе с его гибелью.#Миссия выполнена.
94	"Стоит шагнуть вперёд, как в зале раскатывается низкий глубокий голос!#[Это Зал Хранителей. Ты не встретишься со мной, пока не разбудишь и не одолеешь хранителей в статуях.]"
95	Засада имперской армии!
96	Появились хранители Шутцвальта! Их нужно одолеть, чтобы войти в Сад внутреннего замка.
97	Последователи являются на защиту жреца Барона!
98	Когда Барон и его последователи повержены, печать на двери спадает.
99	Ощущается странная сила, будто в зале возникло могучее присутствие.#Лучше приготовиться к бою.
1001	Дверь в Зал Короля открылась!#Наконец-то можно встретиться с Королём Замёрзшего дворца!
1002	С дерева падают острые сосульки!
//060615јіїшMГЯ°Ў	
1003	Вы повалили дерево. По нему можно перебраться через обрыв.
1004	Вы благополучно перебрались через обрыв. Теперь нужно помочь перебраться друзьям.
//060703јіїшM3	
2001	Сторожевые башни охраняются часовыми.
2002	Границы наблюдательного поста защищены сторожевыми башнями.
2003	Сторожевые башни рухнули, тревога отключена.
2004	[Стражник моста Замёрзшего дворца: Здесь никто не пройдёт!]
2005	Мост, который охраняли стражники моста Замёрзшего дворца, рухнул.#Устройство тревоги сломано!
2006	Границы сада защищают стражники моста Замёрзшего дворца.
2007	До включения сторожевой башней автоматической тревоги осталось 3 секунды.
2008	До включения сторожевой башней автоматической тревоги осталось 2 секунды.
2009	До включения сторожевой башней автоматической тревоги осталась 1 секунда.
2010	[Последователь эфира: Мразь! Живым отсюда не выйдешь!!]
2011	Теперь мост можно разрушить.
2012	До включения сторожевой башней автоматической тревоги осталось 15 секунд.
2013	До включения сторожевой башней автоматической тревоги осталось 10 секунд.
2014	До включения сторожевой башней автоматической тревоги осталось 5 секунд.
2015	До включения тревоги мостом с энергией эфира осталось 3 секунды.
2016	[Страж завода Эфира: Мы убьём вас всех!]
2017	"[Хранитель завода Эфира: Кто меня разбудит, тот пожалеет!]"
2018	Сила эфира ослабла.
2019	[Привратник Западного сада: Брат мой близнец! Пора просыпаться!]
2020	[Командир Замёрзшего дворца Мися: Глупцы! Вы даже с таким слабаком не справились?]
2021	Возник портал.
2022	[Командир разрушения: Те, кто нам мешает......]
2023	[Командир разрушения: Вы ещё оплачете собственную глупость...]
2024	[Командир защиты: Я не дам гибели друга пропасть даром!]
2025	[Командир лучников: От моих стрел вам не уйти!]
2026	[Командир магии: Я покажу, что такое настоящая зимняя стужа.]
2027	[Командир копейщиков: Вот вам и конец!]
2028	Магическую печать защищает Хранитель завода Эфира.#Пробиться невозможно.
2029	Сила эфира ослабла, и магическая печать, которую охранял Хранитель завода Эфира, сломана!
2030	Поддельный завод Эфира уничтожен.
2031	Эфир вокруг соединился и создал новый магический барьер!
2032	На статуе близнецов появились трещины.
2033	Сторожевая башня включилась. Разрушьте её, пока не сработала тревога!
2034	[Братья-близнецы: Если нас не освободят, вы почувствуете ту же боль, что и мы!]
2035	[Братья-близнецы: Ух ты! Спасибо, что спасли нас от эфира!]
2036	[Страж завода Эфира: Не думайте, что всё кончено, раз вы нас одолели!]
2037	[Страж завода Эфира: Неплохо! В этот раз я не буду сдерживаться!]
2038	Сила эфира окружает статуи близнецов.
2039	Тревога включена.
2040	Мост, несущий энергию эфира, включён.#Если вы не одолеете стражников моста Замёрзшего дворца, сработает тревога!
2041	Эфир, окружавший статуи близнецов, просачивается в замок.
2042	Стражи завода Эфира вновь обрели силу.
2043	На вас обрушился вихрь.
2044	До включения тревоги мостом с энергией эфира осталось 2 секунды.
2045	До включения тревоги мостом с энергией эфира осталась 1 секунда.
2046	Защищено привратником.
2047	На дереве начинают появляться трещины.
2048	[Frozen Palace Priest: Those who chase the Ether PlantЎ¦ Such foolishness... I'll show you the Ether's power!]
2049	Статуя начинает таять.
2050	До включения сторожевой башней тревоги осталось 5 секунд.
//061020_јіїшSM1_F1_јцБ¤	
1005	Вас окружает ледяной сквозняк!
1006	Когда маг Кайла повержен, портальное устройство озаряется и открывает куда-то проход!
1007	Появился портал неизвестно куда!
1008	Это временное портальное устройство магов Этерейна, но другие маги его повредили.
1009	Это одно из устройств, открывающих портал к Снежным равнинам.#Оно заработает, только если убить всех, связанных [Печатью жизни] Империи.
1010	Когда все штурмовики повержены, устройство озаряется.#[Устройство создания портала] включено.
1011	Похоже, устройство получает силу переноса.#Устройство включено.
1012	[Временный портал] магов Этерейна включён!#Теперь можно отправиться на [Снежные равнины].
1013	Вход во [Временный портал] заперт жизнью [Капитана штурмового отряда]!
1014	Путь перекрыт деревянной оградой и замёрзшими камнями.
