//	스킬 설명 스크립트																																																																																								
//				1 : Ability1SuccessRate		6 : Ability2SuccessRate		11 : Ability3SuccessRate		16 : Ability4SuccessRate		21 : Ability5SuccessRate					1 : Ability1SuccessRate		6 : Ability2SuccessRate		11 : Ability3SuccessRate		16 : Ability4SuccessRate		21 : Ability5SuccessRate																																																																
//				2 : Ability1Option1		7 : Ability2Option1		12 : Ability3Option1		17 : Ability4Option1		22 : Ability5Option1					2 : Ability1Option1		7 : Ability2Option1		12 : Ability3Option1		17 : Ability4Option1		22 : Ability5Option1																																																																
//				3 : Ability1Option2		8 : Ability2Option2		13 : Ability3Option2		18 : Ability4Option2		23 : Ability5Option2					3 : Ability1Option2		8 : Ability2Option2		13 : Ability3Option2		18 : Ability4Option2		23 : Ability5Option2																																																																
//				4 : Ability1Parameter1		9 : Ability2Parameter1		14 : Ability3Parameter1		19 : Ability4Parameter1		24 : Ability5Parameter1					4 : AbilityParameter1		9 : Ability2Parameter1		14 : Ability3Parameter1		19 : Ability4Parameter1		24 : Ability5Parameter1																																																																
//				5 : Ability1Parameter2		10 : Ability2Parameter2		15 : Ability3Parameter2		20 : Ability4Parameter2		25 : Ability5Parameter2					5 : AbilityParameter2		10 : Ability2Parameter2		15 : Ability3Parameter2		20 : Ability4Parameter2		25 : Ability5Parameter2																																																																
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//	설명인덱스	스킬이름	스킬설명코드	어빌리티코드1	파라미터1표시방식	파라미터타입번호1	어빌리티코드2	파라미터2표시방식	파라미터타입번호2	어빌리티코드3	파라미터3표시방식	파라미터타입번호3	어빌리티코드4	파라미터4표시방식	파라미터타입번호4	어빌리티코드5	파라미터5표시방식	파라미터타입번호5	어빌리티코드6	파라미터6표시방식	파라미터타입번호6	어빌리티코드7	파라미터7표시방식	파라미터타입번호7	어빌리티코드8	파라미터8표시방식	파라미터타입번호8																																																														
	Index	SkillName	Scode	AbilityIDCode1	Type1	AbilityParameterNo1	AbilityIDCode2	Type2	AbilityParameterNo2	AbilityIDCode3	Type3	AbilityParameterNo3	AbilityIDCode4	Type4	AbilityParameterNo4	AbilityIDCode5	Type5	AbilityParameterNo5	AbilityIDCode6	Type6	AbilityParameterNo6	AbilityIDCode7	Type7	AbilityParameterNo7	AbilityIDCode8	Type8	AbilityParameterNo8	FieldEnd																																																													
	105	스피릿리차지	28306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	117	대쉬	26007	1	1	9	27	1	15	100	2	1	208	1	19	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	111	더블어택	28312	1	1	4	1	1	9	208	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	113	웨폰쓰로잉	28314	1	1	4	20	2	11	20	2	15	27	1	10	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	118	블러드헤이즈	29003	26	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	57	웨픈브레이크	28208	1	1	4	11	2	10	208	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	104	스피닝크러쉬	28305	19	1	5	1	1	9	208	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	109	소닉블로우	28310	1	1	9	210	1	5	208	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	102	버서크모드	28303	11	2	5	21	2	10	20	2	20	109	2	15	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	107	소닉익스플로전	28308	1	1	4	208	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	116	샤우트(체인지업)	26012	100	2	1	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	119	모탈블러드	29004	26	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	115	워크라이(체인지업)	26011	1	1	4	112	2	6	20	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	61	바이탈앰플리파이	28212	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	62	와일드스피릿	28213	17	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	103	태클	28304	1	1	14	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	112	퓨리스트라이크	28313	4	2	5	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	114	포스	28315	17	1	5	17	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	201	소드댄싱	28702	1	1	4	21	2	6	21	2	10	333	1	14	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	205	소울오브드래곤	28706	1	1	14	4	2	10	107	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	206	바이퍼블레이드	28707	1	1	4	20	2	6	20	2	10	333	1	14	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	212	아케인블레이드	28713	1	1	4	1	1	9	11	2	11	11	2	15	333	1	19	0	0	0	0	0	0	0	0	0																																																														
	213	슬러터	28714	1	1	4	14	2	6	14	2	10	333	1	14	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	251	스터닝블로우	28802	1	1	4	21	2	6	21	2	10	333	1	14	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	202	소닉블레이드	28703	1	1	4	20	2	6	20	2	10	333	1	14	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	204	마하슬래쉬	28705	1	1	14	100	2	6	333	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	218	커리지오브나이츠	29005	25	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	210	데스디바이드	28711	1	1	4	11	2	6	11	2	10	333	1	14	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	263	에본블레이드	28814	1	1	4	14	2	6	14	2	10	333	1	14	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	203	일루전댄스	28704	1	1	9	210	1	5	333	1	14	100	2	16	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	262	익스플로전어택	28813	1	1	14	210	1	5	333	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	215	차지어택(체인지업)	26015	1	1	14	210	1	5	333	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	219	피버오브나이츠	29006	25	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	275	드래곤게일(체인지업)	26018	100	2	1	1	1	9	20	2	15	333	1	24	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	150	소드마스터리	28501	205	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	151	스피어마스터리	28502	205	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	152	블록트레이닝	28503	19	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	153	어택트레이닝	28504	18	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	154	럭키힛트	28505	25	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	155	드래고닉포스	28506	16	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	259	아머브레이크	28810	14	2	1	14	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	250	어썰트	28801	1	1	4	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	200	트리플피어스	28701	1	1	4	20	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	217	드래곤비드	26008	1	1	9	27	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	264	암드래곤랜스폼	28725	213	1	4	27	2	20	216	2	12	216	2	13	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	267	드래곤클러	28718	1	1	9	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	265	아크틱블래스트	28716	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	276	드래고닉포스	29007	225	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	266	파이어블래스트	28717	1	1	9	1	1	20	11	2	1	11	2	5	100	2	11	0	0	0	0	0	0	0	0	0																																																														
	214	블레이드퓨리	28715	1	1	4	11	2	6	11	2	10	20	2	11	20	2	15	0	0	0	0	0	0	0	0	0																																																														
	268	피스트오브파이어	28719	1	1	4	27	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	252	피어	28803	101	2	1	20	2	6	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	258	디바인엠블렘	28809	106	2	1	106	2	5	225	2	6	225	2	10	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	216	스피릿슬러그(체인지업)	26016	4	2	5	343	2	10	100	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	277	드래고닉블레스	29008	225	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	274	드래곤레이(체인지업)	26017	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	207	디바인포스	28708	26	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	208	마크오브첸스	28709	25	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	209	래피드어택	28710	21	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	211	스피리쳐아이	28712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	253	마크오브리커버	28804	9	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	254	드래곤아이	28805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	255	드래곤트랜스폼	28806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	256	스톰웨이브	28807	1	1	4	1	1	9	1	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	257	라이트닝랜스	28808	1	1	9	1	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	260	파이어썬더	28811	1	1	9	1	2	10	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	261	마크오브스피릿파워	28812	17	1	5	17	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	269	스피어드래곤스폼	28726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	270	와이드스윙	28720	1	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	271	쉐도우마하슬래쉬	28721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	272	쉐도우피어	28722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	273	라이트닝챠지드	28723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	611	페인	26051	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	652	포이즌대거	26072	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	613	커스스파크	26053	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	618	인첸트포이즌	26058	101	2	6	101	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	617	바이탈석션	26057	305	2	3	305	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	615	소울컨트롤	26055	304	2	5	304	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	619	에너지석션	26059	307	1	4	307	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	616	임포턴트	26056	20	2	1	20	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	627	헬론즈소울	29009	343	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	622	커스페인	26062	2	1	5	333	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	612	커스파이어	26052	1	1	4	2	1	10	100	2	16	333	1	14	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	623	버프캔슬	26063	312	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	625	데몬	26065	1	1	4	333	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	624	컨퓨즈	26064	301	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	626	커스포스	26066	2	1	5	100	2	11	333	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	628	데몬즈소울	29010	343	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	621	커스인크리즈	26061	303	2	3	303	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	620	MP석션	26060	307	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	614	아머인크리즈	26054	14	1	5	302	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	601	대거마스터리	26041	205	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	602	휩소드마스터리	26042	205	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	603	섀도우포스	26043	311	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	604	커스트레이닝	26044	26	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	605	다크트레이닝	26045	28	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	653	더블위드	26073	1	1	4	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	657	섀도우스피어	26077	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	662	패스트블로우	26082	1	1	4	206	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	655	하이드	26075	309	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	661	다크더스트	26081	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	656	데스블로우	26076	1	1	9	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	654	다크스턴	26074	1	1	14	100	2	1	210	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	668	다크트레이스	29011	19	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	659	러쉬	26079	20	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	663	다크슬래쉬	26083	1	1	9	100	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	660	서든스트라이크	26080	1	1	9	313	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	658	캔슬레이션	26078	312	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	665	휠윈드블로우	26085	1	1	9	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	666	다운슬래쉬	26086	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	667	다크브레이크	26087	345	1	5	1	1	14	210	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	669	다크슈라우드	29012	19	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	664	소울스크림	26084	112	2	1	20	2	6	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
//	651	휩어택	26071	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	354	프로즌애로우	29405	1	1	4	20	2	10	21	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	350	패스트샷	29401	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	353	쇼크웨이브	29404	1	1	4	20	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	355	더블스핀킥	29406	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	361	스피닝웨이브	29412	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	351	스나이핑	29402	1	1	9	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	365	와일드샷	29416	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	356	블러드레인	29407	1	1	9	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	368	오버스피릿	29013	24	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	362	피어스애로우	29413	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	357	에테르블레이즈	29408	1	1	9	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	359	에어블로우	29410	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	360	헤비샷	29411	1	1	14	101	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	364	마나드레인	29415	1	1	4	8	2	10	20	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	366	럭키챈스(체인지업)	26019	28	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	369	스피릿아이	29014	24	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	367	체이스샷(체인지업)	26020	1	1	4	100	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	300	듀얼석궁마스터리	29301	205	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	301	에테르웨폰마스터리	29302	205	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	302	애큐러시트레이닝	29303	18	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	303	닷지트레이닝	29304	19	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	304	레인지	29305	24	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	305	피어스	29306	223	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	403	생명의정령	29504	221	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	352	문어썰트	29403	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	363	오버리미트	29414	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	405	힐	29506	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	407	워배틀러	29508	221	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	409	배틀러혼	29510	1	1	4	1	1	9	101	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	410	디스트로이어	29511	221	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	406	부활	29507	204	2	4	204	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	422	인크리즈뉴런	29015	21	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	412	보일오버	29513	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	419	레인지힐	28520	4	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
