//최초작성자 : 송영덕					0 : 사용안함																					0 : 사용안함																					0 : 사용안함																					
//최종수정자 : 송영덕					"1 : 일반텍스트, 강조이미지X"																					"1 : 일반텍스트, 강조이미지X"																					"1 : 일반텍스트, 강조이미지X"																					
//최종수정일					"2 : 붉은텍스트, 강조이미지X"																					"2 : 붉은텍스트, 강조이미지X"																					"2 : 붉은텍스트, 강조이미지X"																					
//			0 : 달력형		"3 : 일반텍스트, 강조이미지O"																					"3 : 일반텍스트, 강조이미지O"																					"3 : 일반텍스트, 강조이미지O"																					
//			1 : 누적형		"1 : 붉은텍스트, 강조이미지O"																					"1 : 붉은텍스트, 강조이미지O"																					"4 : 붉은텍스트, 강조이미지O"																					
//	진행연도	진행월	체크타입	제목	설명	강조여부1	보상코드1	강조여부2	보상코드2	강조여부3	보상코드3	강조여부4	보상코드4	강조여부5	보상코드5	강조여부6	보상코드6	강조여부7	보상코드7	강조여부8	보상코드8	강조여부9	보상코드9	강조여부10	보상코드10	강조여부11	보상코드11	강조여부12	보상코드12	강조여부13	보상코드13	강조여부14	보상코드14	강조여부15	보상코드15	강조여부16	보상코드16	강조여부17	보상코드17	강조여부18	보상코드18	강조여부19	보상코드19	강조여부20	보상코드20	강조여부21	보상코드21	강조여부22	보상코드22	강조여부23	보상코드23	강조여부24	보상코드24	강조여부25	보상코드25	강조여부26	보상코드26	강조여부27	보상코드27	강조여부28	보상코드28	강조여부29	보상코드29	강조여부30	보상코드30	강조여부31	보상코드31	
	Index1	Index2	Type	TitleString	ExplanationString	Emphasis1	RewardCode1	Emphasis2	RewardCode2	Emphasis3	RewardCode3	Emphasis4	RewardCode4	Emphasis5	RewardCode5	Emphasis6	RewardCode6	Emphasis7	RewardCode7	Emphasis8	RewardCode8	Emphasis9	RewardCode9	Emphasis10	RewardCode10	Emphasis11	RewardCode11	Emphasis12	RewardCode12	Emphasis13	RewardCode13	Emphasis14	RewardCode14	Emphasis15	RewardCode15	Emphasis16	RewardCode16	Emphasis17	RewardCode17	Emphasis18	RewardCode18	Emphasis19	RewardCode19	Emphasis20	RewardCode20	Emphasis21	RewardCode21	Emphasis22	RewardCode22	Emphasis23	RewardCode23	Emphasis24	RewardCode24	Emphasis25	RewardCode25	Emphasis26	RewardCode26	Emphasis27	RewardCode27	Emphasis28	RewardCode28	Emphasis29	RewardCode29	Emphasis30	RewardCode30	Emphasis31	RewardCode31	FieldEnd
	2027	3	1	2419	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	4	1	2446	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	5	1	2447	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	6	1	2466	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	7	1	2797	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	8	1	2806	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	9	1	2947	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	10	1	2992	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	11	1	2993	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2027	12	1	2994	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	1	1	1940	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	2	1	2400	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	3	1	2419	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	4	1	2446	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	5	1	2447	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	6	1	2466	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	7	1	2797	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	8	1	2806	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	9	1	2947	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	10	1	2992	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	11	1	2993	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2028	12	1	2994	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	1	1	1940	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	2	1	2400	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	3	1	2419	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	4	1	2446	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	5	1	2447	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	6	1	2466	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	7	1	2797	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	8	1	2806	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	9	1	2947	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	10	1	2992	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	11	1	2993	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2029	12	1	2994	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	1	1	1940	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	2	1	2400	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	3	1	2419	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	4	1	2446	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	5	1	2447	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	6	1	2466	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	7	1	2797	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	8	1	2806	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	9	1	2947	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	10	1	2992	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	11	1	2993	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
	2030	12	1	2994	2398	1	65272	1	65273	1	65274	1	65276	1	65277	2	65278	3	65516	1	65279	1	65280	1	65281	1	65282	1	65283	2	65284	3	65517	1	65285	1	65286	1	65287	1	65288	1	65289	2	65290	3	65518	1	65291	1	65292	1	65293	1	65294	1	65295	2	65296	3	65519	2	65275	4	65520	4	65521	
//	2015	3	1	2419	2398	1	65327	1	65328	1	65329	3	65330	1	65331	1	65332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
//	2015	4	1	2446	2398	1	65333	1	65334	1	65335	1	65336	3	65337	1	65338	1	65339	1	65340	1	65341	1	65342	1	65343	3	65344	1	65345	1	65346	1	65347	1	65348	1	65349	1	65350	3	65351	1	65352	1	65353	1	65354	1	65355	1	65356	1	65357	3	65358	1	65359	3	65360	1	65361	3	65362	0	0	
//	2015	5	1	2447	2398	1	65363	1	65364	3	65365	1	65366	1	65367	1	65368	1	65369	1	65370	1	65371	3	65372	1	65373	1	65374	1	65375	1	65376	1	65377	1	65378	3	65379	1	65380	1	65381	1	65382	1	65383	1	65384	1	65385	3	65386	1	65387	1	65388	1	65389	3	65390	1	65391	3	65392	3	65393	
//	2015	6	1	2466	2398	1	65394	1	65395	1	65396	1	65397	1	65398	1	65399	3	65400	1	65401	1	65402	1	65403	1	65404	1	65405	1	65406	3	65407	1	65408	1	65409	1	65410	1	65411	1	65412	1	65413	3	65414	1	65415	1	65416	1	65417	1	65418	1	65419	1	65420	3	65421	1	65422	1	65423	0	0	
//	2015	7	1	2797	2398	1	65424	1	65425	1	65426	1	65427	2	65428	1	65429	2	65430	1	65431	1	65432	1	65433	1	65434	2	65435	1	65436	1	65437	1	65438	1	65439	1	65440	1	65441	2	65442	1	65443	1	65444	1	65445	1	65446	1	65447	1	65448	2	65449	1	65450	3	65451	3	65452	3	65453	3	65454	
//	2015	8	1	2806	2398	1	65455	2	65456	1	65457	1	65458	1	65459	1	65460	1	65461	1	65462	2	65463	1	65464	1	65465	1	65466	1	65467	1	65468	2	65469	2	65470	1	65471	1	65472	1	65473	1	65474	1	65475	1	65476	2	65477	1	65478	1	65479	1	65480	1	65481	3	65482	3	65483	3	65484	3	65485	
//	2015	9	1	2947	2398	1	65486	1	65487	1	65488	1	65489	1	65490	2	65491	1	65492	1	65493	1	65494	1	65495	1	65496	1	65497	2	65498	1	65499	1	65500	1	65501	1	65502	1	65503	1	65504	2	65505	1	65506	1	65507	1	65508	1	65509	1	65510	1	65511	4	65512	3	65513	3	65514	3	65515	0	0	
//	2015	10	1	2992	2398	1	30001	1	30002	2	30003	2	30004	1	30005	1	30006	1	30007	1	30008	2	30009	1	30010	2	30011	1	30012	1	30013	1	30014	1	30015	1	30016	1	30017	2	30018	1	30019	1	30020	1	30021	1	30022	1	30023	1	30024	2	30025	1	30026	1	30027	3	30028	3	30029	3	30030	3	30031	
//	2015	11	1	2993	2398	2	30032	1	30033	1	30034	1	30035	1	30036	1	30037	2	30038	2	30039	1	30040	1	30041	1	30042	1	30043	1	30044	2	30045	2	30046	1	30047	1	30048	1	30049	1	30050	1	30051	2	30052	2	30053	1	30054	1	30055	1	30056	1	30057	3	30058	4	30059	4	30060	3	30061	0	0	
//	2015	12	1	2994	2398	1	30062	1	30063	1	30064	1	30065	2	30066	2	30067	1	30068	1	30069	1	30070	1	30071	1	30072	2	30073	2	30074	1	30075	1	30076	1	30077	1	30078	1	30079	2	30080	2	30081	1	30082	1	30083	1	30084	1	30085	2	30086	2	30087	2	30088	3	30089	3	30090	3	30091	3	30092	
//테스트서버																																																																				
//	2015	1	1	1940	2398	1	65206	2	65207	3	65208	4	65209	1	65210	2	65211	3	65212	4	65213	1	65214	2	65215	3	65216	4	65217	1	65218	2	65219	3	65220	4	65221	1	65222	2	65223	3	65224	4	65225	1	65226	2	65227	3	65228	4	65229	1	65230	2	65231	3	65232	4	65233	1	65234	2	65235	3	65236	
//	2015	2	1	2400	2398	1	65206	2	65207	3	65208	4	65209	1	65210	2	65211	3	65212	4	65213	1	65214	2	65215	3	65216	4	65217	1	65218	2	65219	3	65220	4	65221	1	65222	2	65223	3	65224	4	65225	1	65226	2	65227	3	65228	4	65229	1	65230	2	65231	3	65232	4	65233	0	65234	0	65235	0	65236	
//	2015	3	1	2419	2398	1	65327	1	65328	1	65329	3	65330	1	65331	1	65332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
