//스타일																클래스제한	무기제한	공격타입								528 	700 								3타범위형태	3타범위																							
//																										533 	533 																																
//																										500 	567 																																
//																																										814																	
//스킬ID	스킬종류ID	스타일이름	네임코드	스타일설명코드	스타일종류	이미지코드	요구레벨	스타일레벨	최고레벨	오버가능레벨	오버스탯1종류	오버스탯1요구치/스타일요구스탯	오버스탯1종류	오버스탯2요구치/스타일요구스탯	요구스킬포인트	클래스제한	무기제한	공격타입	사정거리	이동공격여부	스타일여부	1타코드	2타코드	3타코드	복귀코드	1타시간	2타시간	3타시간	1타추가데미지	1타추가데미지%	2타추가데미지	2타추가데미지%	3타추가데미지	3타추가데미지%	3타범위형태	3타범위	3타발동시간	공격성공증가	블록성공증가	공격속도증가	방어력증가	마법방어력증가	크리티컬보너스	3타방어력무시확률	3타관통발생확률	3타관통거리	3타스턴발생확률	3타스턴시간	3타녹백발생확률	3타녹백거리	3타다운발생확률	딜레이발생확률감소	3타딜레이발생확률	HP흡수	HP%흡수	MP흡수	MP%흡수	최대마리적용수	
StyleCode	StyleClassCode	StyleName	StyleNCode	StyleDescCode	SkillAttribute	StyleImage	RequireLV	StyleLV	MaxLV	OverLV	OverStat1Class	OverStat1	OverStat2Class	OverStat2	RequireSkillPoint	ClassDefine	WeaponDefine	AttType	AttRange	MoveAttack	StyleCheck	CodeFirst	CodeSecond	CodeThird	CodeBack	TimeFirst	TimeSecond	TimeThird	AddDamage1	DamagePercent1	AddDamage2	DamagePercent2	AddDamage3	DamagePercent3	AttRangeform	StyleArea	ThirdDelay	AttackRate	AvoidRate	AttSpeedIncrease	DefenceAdd	MagicDefenceAdd	CriticalBonus	DefenceIgnore	PierceRate	PierceRange	StunRate	StunTime	KnockBackRate	KnockBackRange	DownRate	DelayReduce	DelayOccur	HPAbsorb	HPAbsorbPer	MPAbsorb	MPAbsorbPer	MaxTargetNo	FieldEnd
60801	60801	지팡이노멀	26607	0	0	63009	0	0	0	0	0	0	0	0	0	5	10	1	2.5 	1 	0 	A101	A103	zzzz	zzzz	310 	476 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60901	60901	오브노멀	26608	0	0	63009	0	0	0	0	0	0	0	0	0	5	11	1	12.0 	1 	0 	A201	A203	zzzz	zzzz	405 	405 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
61001	61001	드래곤변신1차	26609	0	0	0	0	0	0	0	0	0	0	0	0	100	-1	3	2.5 	1 	0 	A001	A002	A003	zzzz	528	528.00 	700	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
61002	61002	드래곤변신2차	26610	0	0	0	0	0	0	0	0	0	0	0	0	101	-1	3	5.0 	1 	0 	A001	A002	A003	zzzz	533	533.00 	700	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60400	60400	주먹질	25154	0	0	0	0	0	0	0	0	0	0	0	0	3	13	3	2.5 	1 	0 	A001	A002	zzzz	zzzz	528 	700 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60401	60401	대거노멀	25031	0	0	35600	0	0	0	0	0	0	0	0	0	3	5	1	2.5 	1 	0 	A201	A203	zzzz	zzzz	480 	530 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60402	60402	채찍검노멀	25032	0	0	35650	0	0	0	0	0	0	0	0	0	3	6	1	2.5 	1 	0 	A301	A303	zzzz	zzzz	520 	520 	0 	0	0.00 	0	0.00 	0	0.00 	2	1	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	3	
60403	60403	주먹질	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	3	2.5 	1 	0 	A001	A002	zzzz	zzzz	528 	700 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60404	60404	건틀렛노멀	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	3	2.5 	1 	1 	S207	S209	S211	zzzz	400 	467 	800 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60405	60405	에테르사이드노멀	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	3	2.5 	1 	1 	S307	S309	S311	zzzz	500 	500 	800 	0	0.00 	0	0.05 	0	0.10 	2	1	0.68	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	3	
60406	60406	주먹질	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	3	2.5 	1 	0 	A001	A002	zzzz	zzzz	528 	700 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60407	60407	에테르블래스터노멀	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16	3	2.5 	1 	1 	A201	A202	A203	zzzz	500 	500 	800 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60408	60409	주먹질	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	3	2.5 	1 	0 	A001	A002	zzzz	zzzz	528 	700 	0 	0	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	1	
60409	60410	아크블레이드노멀	0	0	0	0	0	0	0	0	0	0	0	0	0	8	17	2	2.5 	1 	1 	A201	A202	A203	zzzz	500 	500 	800 	0	0.00 	0	0.00 	0	0.00 	2	1.5	0.68	0	0	0 	0	0	0	0	0.00 	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	3	
60410	60410	팔라딘_주먹질	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	2	2.5 	1	0 	A001	A002	zzzz	zzzz	528	700.00 	0	0.00 	0	0	0	0	0	0.00 	0	0	0	0.00 	0	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	1	
60411	60411	팔라딘_랜스노멀	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	3	2.5 	1	1 	S207	S209	S211	zzzz	400	467.00 	800	0.00 	0	0	0	0	0.1	2.00 	1.5	0.68	0	0.00 	0	0	0	0	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0	0.00 	0	0	0	0	0	3	
