// PlayerAttributeInfo.txt -- Combat Power weights, one row per eATTR_TYPE.
//
// Combat Power is a single integer summarising a character's overall strength.
// For each attribute:  FP += value * FPValueRate  +  ratio * FPRatioRate
// where value is GetAttrValue(t) and ratio is GetAttrValue(t, eATTR_KIND_RATIO).
//
// PROVENANCE AND THE TRAP THIS AVOIDS
// Weights come from Arkadia's table of 2026-09-18, but the Index column is OURS.
// Their enum has no eATTR_EXPERTY1/2, so from index 6 up every one of their rows
// is shifted against ours -- their eATTR_CUR_HP is 6, ours is 8. Copying their
// file verbatim would have applied each weight to the wrong attribute, silently.
// This table was generated by joining on TypeName instead, so the index column
// is our own eATTR_TYPE value in every row.
//
// 125 of their 141 rows matched. The rest are attributes we do not have
// (eATTR_PIERCE_POWER, the eATTR_ADDED_DAMAGE_WHEN_THE_OPPONENT_IS_* family, and
// the two new 09-18 accuracy/evasion levels). Anything we carry that they do not
// weight is present with rate 0, so the table indexes cleanly 1..178.
Index	TypeName	FPValueRate	FPRatioRate	FieldEnd
23	eATTR_MAGICAL_WATER_ATTACK_POWER	0.68	0	
24	eATTR_MAGICAL_FIRE_ATTACK_POWER	0.68	0	
25	eATTR_MAGICAL_WIND_ATTACK_POWER	0.68	0	
26	eATTR_MAGICAL_EARTH_ATTACK_POWER	0.68	0	
27	eATTR_MAGICAL_DARKNESS_ATTACK_POWER	0.68	0	
28	eATTR_MAGICAL_DIVINE_ATTACK_POWER	0	0	
29	eATTR_MAGICAL_ALL_ATTACK_POWER	0	0	
30	eATTR_ADD_SKILL_ATTACK_POWER	0.2	0	
31	eATTR_ADD_SKILL_DAMAGE_RATIO	60	0	
32	eATTR_BASE_MELEE_DEFENSE_POWER	0.4	0	
33	eATTR_BASE_RANGE_DEFENSE_POWER	0	0	
34	eATTR_BASE_MAGICAL_DEFENSE_POWER	0	0	
35	eATTR_OPTION_PHYSICAL_DEFENSE_POWER	0.55	0	
36	eATTR_OPTION_MAGICAL_DEFENSE_POWER	0	0	
37	eATTR_OPTION_ALL_DEFENSE_POWER	0	0	
38	eATTR_MAGICAL_WATER_DEFENSE_POWER	0	0	
39	eATTR_MAGICAL_FIRE_DEFENSE_POWER	0	0	
40	eATTR_MAGICAL_WIND_DEFENSE_POWER	0	0	
41	eATTR_MAGICAL_EARTH_DEFENSE_POWER	0	0	
42	eATTR_MAGICAL_DARKNESS_DEFENSE_POWER	0	0	
43	eATTR_MAGICAL_DIVINE_DEFENSE_POWER	0	0	
44	eATTR_MAGICAL_ALL_DEFENSE_POWER	0	0	
45	eATTR_ADD_ALL_DEFENSE_POWER	0	0	
46	eATTR_ADD_MELEE_DEFENSE_POWER	0	0	
47	eATTR_ADD_RANGE_DEFENSE_POWER	0	0	
48	eATTR_ADD_WATER_DEFENSE_POWER	0	0	
49	eATTR_ADD_FIRE_DEFENSE_POWER	0	0	
50	eATTR_ADD_WIND_DEFENSE_POWER	0	0	
51	eATTR_ADD_EARTH_DEFENSE_POWER	0	0	
52	eATTR_ADD_DARKNESS_DEFENSE_POWER	0	0	
53	eATTR_ADD_DIVINE_DEFENSE_POWER	0	0	
54	eATTR_ADD_PHYSICAL_DEFENSE_POWER	0	0	
55	eATTR_ADD_MAGICAL_DEFENSE_POWER	0	0	
56	eATTR_ADD_MAGICAL_ALL_DEFENSE_POWER	0	0	
57	eATTR_DEL_ALL_TARGET_DEFENSE_RATIO	0	0	
58	eATTR_DEL_MELEE_TARGET_DEFENSE_RATIO	0	0	
59	eATTR_DEL_RANGE_TARGET_DEFENSE_RATIO	0	0	
60	eATTR_DEL_WATER_TARGET_DEFENSE_RATIO	54.07	0	
61	eATTR_DEL_FIRE_TARGET_DEFENSE_RATIO	54.07	0	
62	eATTR_DEL_WIND_TARGET_DEFENSE_RATIO	54.07	0	
63	eATTR_DEL_EARTH_TARGET_DEFENSE_RATIO	54.07	0	
64	eATTR_DEL_DARKNESS_TARGET_DEFENSE_RATIO	54.07	0	
65	eATTR_DEL_DIVINE_TARGET_DEFENSE_RATIO	0	0	
66	eATTR_DEL_PHYSICAL_TARGET_DEFENSE_RATIO	47.31	0	
67	eATTR_DEL_MAGICAL_TARGET_DEFENSE_RATIO	0	0	
68	eATTR_DEL_MAGICAL_ALL_TARGET_DEFENSE_RATIO	0	0	
69	eATTR_ADD_ARMOR_HARD_DAMAGE	0	0	
70	eATTR_ADD_ARMOR_MEDIUM_DAMAGE	0	0	
71	eATTR_ADD_ARMOR_SOFT_DAMAGE	0	0	
72	eATTR_ADD_ARMOR_SIEGE_DAMAGE	0	0	
73	eATTR_ADD_ARMOR_UNARMOR_DAMAGE	0	0	
74	eATTR_ADD_RATIO_ARMOR_HARD_DAMAGE	0	0	
75	eATTR_ADD_RATIO_ARMOR_MEDIUM_DAMAGE	0	0	
76	eATTR_ADD_RATIO_ARMOR_SOFT_DAMAGE	0	0	
77	eATTR_ADD_RATIO_ARMOR_SIEGE_DAMAGE	0	0	
78	eATTR_ADD_RATIO_ARMOR_UNARMOR_DAMAGE	0	0	
79	eATTR_DEL_ALL_DAMAGE	0	0	
80	eATTR_DEL_MELEE_DAMAGE	0	0	
81	eATTR_DEL_RANGE_DAMAGE	0	0	
82	eATTR_DEL_WATER_DAMAGE	2.73	0	
83	eATTR_DEL_FIRE_DAMAGE	2.73	0	
84	eATTR_DEL_WIND_DAMAGE	2.73	0	
85	eATTR_DEL_EARTH_DAMAGE	2.73	0	
86	eATTR_DEL_DARKNESS_DAMAGE	2.73	0	
87	eATTR_DEL_DIVINE_DAMAGE	0	0	
88	eATTR_DEL_PHYSICAL_DAMAGE	0	0	
89	eATTR_DEL_MAGICAL_DAMAGE	0	0	
90	eATTR_DEL_MAGICAL_ALL_DAMAGE	0	0	
91	eATTR_PHYSICAL_ATTACK_SUCCESS_RATIO	0.34	0	
92	eATTR_PHYSICAL_ATTACK_BLOCK_RATIO	16.89	0	
93	eATTR_PHYSICAL_ATTACK_BLOCK_BASE_ARMOR_RATIO	0	0	
94	eATTR_MOVE_SPEED	4	0	
95	eATTR_ATTACK_SPEED	4	0	
96	eATTR_ALL_ATTACK_RANGE	0	0	
97	eATTR_NORMAL_ATTACK_RANGE	0	0	
98	eATTR_SKILL_ATTACK_RANGE	0	0	
99	eATTR_SIGHT_RANGE	0	0	
100	eATTR_CRITICAL_RATIO_CHANGE	40.53	0	
101	eATTR_ADD_MAGICAL_CRITICAL_RATIO	0	0	
102	eATTR_ADD_ALL_CRITICAL_RATIO	0	0	
103	eATTR_CRITICAL_DAMAGE_CHANGE	0.36	65	
104	eATTR_ADD_ATTACK_INC_RATIO	0	0	
105	eATTR_ADD_DEFENSE_INC_RATIO	0	0	
106	eATTR_INCREASE_SKILL_LEVEL	0	0	
107	eATTR_INCREASE_STAT_POINT	0	0	
108	eATTR_DECREASE_LIMIT_STAT	0	0	
109	eATTR_MP_SPEND_INCREASE	0	0	
110	eATTR_ABSORB_HP	0	0	
111	eATTR_ABSORB_MP	0	0	
112	eATTR_REFLECT_DAMAGE_RATIO	40.5	0	
113	eATTR_BONUS_MONEY_RATIO	0	0	
114	eATTR_BONUS_EXP_RATIO	0	0	
115	eATTR_AREA_ATTACK_RATIO	60	0	
116	eATTR_BONUS_CASTING_TIME	0	0	
117	eATTR_BONUS_SKILL_COOL_TIME	0	-32.25	
118	eATTR_DECREASE_DAMAGE	0.5	25	
119	eATTR_RESURRECTION_RATIO	0	0	
120	eATTR_DOUBLE_DAMAGE_RATIO	0	0	
121	eATTR_LUCKMON_INC_DAMAGE	0.5	0	
122	eATTR_COPOSITE_INC_RATIO	0	0	
123	eATTR_BYPASS_DEFENCE_RATIO	0	0	
124	eATTR_INCREASE_MIN_DAMAGE	0	0	
125	eATTR_INCREASE_MAX_DAMAGE	0	0	
126	eATTR_DECREASE_ITEMDURA_RATIO	0	0	
127	eATTR_RESISTANCE_BADSTATUS_RATIO	101.34	0	
128	eATTR_INCREASE_SKILLDURATION	0.78	0	
129	eATTR_DECREASE_SKILL_SKILLDURATION	-2	0	
130	eATTR_OPTION_ETHER_DAMAGE_RATIO	0	0	
131	eATTR_OPTION_ETHER_PvE_DAMAGE_RATIO	0	0	
132	eATTR_INCREASE_RESERVE_HP	0	0	
133	eATTR_RESIST_HOLDING	6	0	
134	eATTR_RESIST_SLEEP	6	0	
135	eATTR_RESIST_POISON	6	0	
136	eATTR_RESIST_KNOCKBACK	6	0	
137	eATTR_RESIST_DOWN	6	0	
138	eATTR_RESIST_STUN	6	0	
139	eATTR_DECREASE_PVPDAMAGE	0.38	0.38	
140	eATTR_ADD_DAMAGE	0.34	0.34	
141	eATTR_AUTO_ITEM_PICK_UP	0	0	
142	eATTR_MAX_SD	0.16	0	
143	eATTR_RECOVERY_SD	0	0	
144	eATTR_CUR_SD	0	0	
145	eATTR_INCREASE_ENCHANT_RATIO	0	0	
146	eATTR_PREMIUMSERVICE_PCBANG	0	0	
147	eATTR_ENEMY_CRITICAL_RATIO_CHANGE	-40.53	0	
148	eATTR_ATTACK_DAMAGE_ABSORB_SD_RATIO	1000	0	
149	eATTR_ATTACK_DAMAGE_ABSORB_HP_RATIO	1000	0	
150	eATTR_ENEMY_CRITICAL_DAMAGE_CHANGE	-0.36	-65	
151	eATTR_CRAFT_COST_RATIO	0	0	
152	eATTR_CRAFT_PREVENT_EXTINCTION_MATERIAL_RATIO	0	0	
153	eATTR_ENCHANT_COST_RATIO	0	0	
154	eATTR_ENCHANT_PREVENT_DESTROY_N_DOWNGRADE_ITEM_RATIO	0	0	
155	eATTR_RECOVER_POTION_COOLTIME_RATIO	6	0	
156	eATTR_RECOVER_POTION_RECOVERY_RATIO	6	0	
157	eATTR_QUEST_REWARD_EXP_RATIO	0	0	
158	eATTR_MAX_DAMAGE_RATIO	51.6	0	
159	eATTR_DOMINATION_MAPOBJECT_DAMAGE_RATIO	13.06	0	
160	eATTR_SHOP_REPAIR_HEIM_RATIO	0	0	
161	eATTR_SHOP_BUY_HEIM_RATIO	0	0	
162	eATTR_MAX_FP	60	0	
163	eATTR_RECOVERY_FP	0	0	
164	eATTR_INCREASE_DAMAGE_RATIO	60	0	
165	eATTR_AWAKENING_PROBABILITY	0	0	
166	eATTR_DEBUFF_DURATION	1	0	
167	eATTR_DECREASE_DAMAGE_NPC	0.5	19.35	
168	eATTR_DECREASE_DAMAGE_BERSERKER	0.5	19.35	
169	eATTR_DECREASE_DAMAGE_DRAGONKNIGHT	0.5	19.35	
170	eATTR_DECREASE_DAMAGE_VALKYRIE	0.5	19.35	
171	eATTR_DECREASE_DAMAGE_ELEMENTALIST	0.5	19.35	
172	eATTR_DECREASE_DAMAGE_SHADOW	0.5	19.35	
173	eATTR_DECREASE_DAMAGE_MYSTIC	0.5	19.35	
174	eATTR_DECREASE_DAMAGE_HELLROID	0.5	19.35	
175	eATTR_DECREASE_DAMAGE_WITCHBLADE	0.5	19.35	
176	eATTR_DECREASE_DAMAGE_PALADIN	0.58	22.25	
177	eATTR_INCREASE_RARE_DROP_RATIO	0	0	
178	eATTR_HIGHEST_BASE_STAT_BONUS	0	0	
