//	"1.기능번호는 65535까지 가능함(그 이상의 값은 디버그 및 개발용이며, 해당 세팅은 UI에서 변경되지 않으며 서버에 저장되지 않음)"														
//	"2.기능키와 확장키의 조합으로 단축키가 세팅됨. 같은 정보가 세팅되면 앞선 것이 유효하며, 그 뒤는 무효화되어 해제상태가 됨"														
//	3.유저세팅지원 1:유저가변경할 수 있으며 서버에 저장됨  0:유저가변경할 수 없으며 서버에 저장되지 않음(UI를 통한 변경 안됨)														
//	"4.우측 시프트/컨트롤/알트, 윈도우키, 한영키 같은 국가별 확장키 지원안함"														
//	"5.일본의 경우 BackSlash 대신 Yen, ` (Grave, 숫자1 왼쪽키)대신 ^ (CIRCUMFLEX) 사용"														
//	6.아래와 같은 키를 지원함														
//	ESC	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12		
//	^														
//	~	1	2	3	4	5	6	7	8	9	0	-	=	Back Slash	Yen
//	Tab	Q	W	E	R	T	Y	U	I	O	P	[	]	Back Space	
//	Caps Lock	A	S	D	F	G	H	J	K	L	;	'	Enter		
//	Shift	Z	X	C	V	B	N	M	","	.	/				
//	Ctrt	Alt	Space Bar												
//					Num Lock	Num/	Num*	Num-		Wheel Up					
//	Prt Scr	Scroll Lock	Pause		Num7	Num8	Num9	Num+		Wheel Down					
//	Insert	Home	Page Up		Num4	Num5	Num6			Button3	Button5	Button7			
//	Delete	End	Page Down		Num1	Num2	Num3			Button4	Button6	Button8			
//		Up			Num0	Num.									
//	Left	Down	Right												
//															
//															
//					메인세팅				서브세팅						
//	기능번호	유저세팅지원	기능설명(개발용)	기능설명코드	기능키	조합확장키			기능키	조합확장키					
	Index	SupportUserSetting	Description	DescriptionCode	KeyCode1	ShiftKey1	CtrlKey1	AltKey1	KeyCode2	ShiftKey2	CtrlKey2	AltKey2	ActionCode		
	314	1	퀵슬롯12사용	10422	2	0	0	1	Null	0	0	0	0		
	315	1	퀵슬롯13사용	10423	3	0	0	1	Null	0	0	0	0		
	316	1	퀵슬롯14사용	10424	4	0	0	1	Null	0	0	0	0		
	317	1	퀵슬롯15사용	10425	5	0	0	1	Null	0	0	0	0		
	318	1	퀵슬롯16사용	10426	6	0	0	1	Null	0	0	0	0		
	319	1	퀵슬롯17사용	10427	7	0	0	1	Null	0	0	0	0		
	320	1	퀵슬롯18사용	10428	8	0	0	1	Null	0	0	0	0		
	321	1	퀵슬롯19사용	10429	9	0	0	1	Null	0	0	0	0		
	322	1	퀵슬롯20사용	10430	0	0	0	1	Null	0	0	0	0		
//															
	323	1	퀵슬롯21사용	10431	Null	0	0	0	Null	0	0	0	0		
	324	1	퀵슬롯22사용	10432	Null	0	0	0	Null	0	0	0	0		
	325	1	퀵슬롯23사용	10433	Null	0	0	0	Null	0	0	0	0		
	326	1	퀵슬롯24사용	10434	Null	0	0	0	Null	0	0	0	0		
	327	1	퀵슬롯25사용	10435	Null	0	0	0	Null	0	0	0	0		
	328	1	퀵슬롯26사용	10436	Null	0	0	0	Null	0	0	0	0		
	329	1	퀵슬롯27사용	10437	Null	0	0	0	Null	0	0	0	0		
	330	1	퀵슬롯28사용	10438	Null	0	0	0	Null	0	0	0	0		
	331	1	퀵슬롯29사용	10439	Null	0	0	0	Null	0	0	0	0		
	332	1	퀵슬롯30사용	10440	Null	0	0	0	Null	0	0	0	0		
	333	1	퀵슬롯31사용	10441	Null	0	0	0	Null	0	0	0	0		
	334	1	퀵슬롯32사용	10442	Null	0	0	0	Null	0	0	0	0		
	335	1	퀵슬롯33사용	10443	Null	0	0	0	Null	0	0	0	0		
	336	1	퀵슬롯34사용	10444	Null	0	0	0	Null	0	0	0	0		
	337	1	퀵슬롯35사용	10445	Null	0	0	0	Null	0	0	0	0		
	338	1	퀵슬롯36사용	10446	Null	0	0	0	Null	0	0	0	0		
	339	1	퀵슬롯37사용	10447	Null	0	0	0	Null	0	0	0	0		
	340	1	퀵슬롯38사용	10448	Null	0	0	0	Null	0	0	0	0		
	341	1	퀵슬롯39사용	10449	Null	0	0	0	Null	0	0	0	0		
	342	1	퀵슬롯40사용	10450	Null	0	0	0	Null	0	0	0	0		
//															
	401	1	소환수선택	10451	F1	1	0	0	Null	0	0	0	0		
	402	1	소환수스킬1사용	10452	1	1	0	0	Null	0	0	0	0		
	403	1	소환수스킬2사용	10453	2	1	0	0	Null	0	0	0	0		
	404	1	소환수스킬3사용	10454	3	1	0	0	Null	0	0	0	0		
	405	1	소환수스킬4사용	10455	4	1	0	0	Null	0	0	0	0		
	406	1	소환수스킬5사용	10456	Null	0	0	0	Null	0	0	0	0		
	407	1	소환수스킬6사용	10457	Null	0	0	0	Null	0	0	0	0		
	408	1	소환수스킬7사용	10458	Null	0	0	0	Null	0	0	0	0		
	409	1	소환수공격	10459	5	1	0	0	Null	0	0	0	0		
	410	1	소환수따르기	10460	6	1	0	0	Null	0	0	0	0		
	411	1	소환수공격모드	10461	7	1	0	0	Null	0	0	0	0		
	412	1	소환수방어모드	10462	8	1	0	0	Null	0	0	0	0		
	413	1	소환수소환해제	10463	9	1	0	0	Null	0	0	0	0		
	414	1	소환수Non-PK공격	10464	0	1	0	0	Null	0	0	0	0		
//															
	501	1	캐릭터정보창	10465	C	0	0	0	Null	0	0	0	0		
	502	1	인벤토리	10466	I	0	0	0	Null	0	0	0	0		
//	503	1	인벤토리확장토글	10467	U	0	0	0	Null	0	0	0	0		
	504	1	스킬창	10468	K	0	0	0	Null	0	0	0	0		
	505	1	퀘스트창	10469	L	0	0	0	Null	0	0	0	0		
	506	1	길드창	10470	G	0	0	0	Null	0	0	0	0		
	507	1	커뮤니티창	10471	F	0	0	0	Null	0	0	0	0		
	508	1	AC창	10472	J	0	0	0	Null	0	0	0	0		
	509	1	펫정보창	10473	P	0	0	0	Null	0	0	0	0		
	510	1	취소및시스템메뉴	10474	ESC	0	0	0	Null	0	0	0	0		
	511	1	시스템메뉴	10475	F12	0	0	0	Null	0	0	0	0		
	512	1	대륙맵	10476	B	0	0	0	Null	0	0	0	0		
	513	1	전투정보창	10477	Z	0	0	0	Null	0	0	0	0		
	514	1	레이더모드변경	10478	N	0	0	0	Null	0	0	0	0		
	515	1	전체맵모드변경	10479	M	0	0	0	Null	0	0	0	0		
	516	1	캐시샵	10480	Back Slash	0	0	0	Null	0	0	0	0		
//	516	1	캐시샵	10480	걦	0	0	0	Null	0	0	0	0	//일본	
	517	1	정보열람실	10481	H	0	0	0	Null	0	0	0	0		
//	518	1	미션정보창	10482	O	0	0	0	Null	0	0	0	0		
	519	1	배틀존창	10483	F11	0	0	0	Null	0	0	0	0		
	520	1	카오스존창	10488	F11	1	0	0	Null	0	0	0	0		
	521	1	개인웨이포인트창	10501	Y	0	0	0	Null	0	0	0	0		
	522	1	몬스터도감	2998	M	1	0	0	Null	0	0	0	0		
	523	1	출석체크	3242	D	1	0	0	Null	0	0	0	0		
	524	1	SUN랭킹	3599	R	1	0	0	Null	0	0	0	0		
	525	1	이벤트_미니게임	41864	E	1	0	0	Null	0	0	0	0		
	601	1	카메라줌인	10484	","	0	0	0	Wheel Up	0	0	0	0		
	602	1	카메라줌아웃	10485	.	0	0	0	Wheel Down	0	0	0	0		
	603	1	카메라좌측회전	10486	;	0	0	0	Null	0	0	0	0		
	604	1	카메라우측회전	10487	'	0	0	0	Null	0	0	0	0		
//	604	1	카메라우측회전	10487	갌	0	0	0	Null	0	0	0	0	//일본	
