//	캐릭터 상태					그래픽코드			아이콘 종류	삭제여부	분류	SD적용여부			부착위치																
//						status01.ds 파일에 위치로 배치			0. 이상상태	0. 사용안함	1. 상태이상	0: SD 적용 안 함			1. 머리위																
//						"그래픽코드는 필요 없음 ""38335""로 통일"			1. 강화	1. 사용함	2. 상태악화	1: SD 적용(SD:HP=99%:1%)			2. 몸통주위																
//							11393	강화	2. 캐시		3. 상태강화				3. 발밑																
//							11394	캐시	3. 특수상태		4. 특수				4. 손																
//							11395	특수	4. 중요						5.오른손																
//							11396	이상상태	5. 캐릭터스킬						6.무기																
//							11397	중요)							7.뼈대																
//							11400	스킬	아이콘 출력 순서 : 4 -> 2 -> 5 -> 1 -> 3 -> 0						8.왼손오른손																
//															9.바닥(지형충돌)																
//															10.타겟																
//															11.가슴																
//																															
//	806						1002	1002	816		806	904	905	806			1005														
//	NO	종류	영문이름	네임코드	설명 코드	그래픽 코드	행	열	아이콘 종류	삭제 여부	분류	SD적용여부	탈것적용여부	이펙트코드	부착위치	bStateGroup	본위치	x-축옵셋	y-축옵셋	z-축옵셋	부모회전방향적용	부모스케일적용			설명						
	Index	StateName	EnglishStateName	NameCode	DescriptionCode	IconCode	Row	Column	GKind	DelType	Type	SDApply	RidingApply	EffectCode	EffectPos	GroupCode	BoneIndex	OffsetX	OffsetY	OffsetZ	ApplyParentRotate	ApplyParentScale	FieldEnd								
	105	약체	eCHAR_STATE_WEAKENING	23106	24106	38335	1	16	0	0	2	0	1	B105	1	0	0	0	0	0	0	0		//	대상을 허약하게 만들어 방어력이 %s 만큼 감소한다.	// 약체(방어력 감소)					
	106	실패	eCHAR_STATE_ATTACK_FAIL	23107	24107	38335	1	17	0	0	2	0	1	B106	2	0	0	0	0	0	0	0		//	대상의 %s 만큼 공격성공율을 저하시켜 공격시 실패하게 만든다.	// 실패(공격성공률 저하)					
	107	좌절	eCHAR_STATE_FRUSTRATION	23108	24108	38335	1	18	0	0	2	0	1	B107	2	0	0	0	0	0	0	0		//	대상의 %s 만큼 블록 성공율을 저하시켜 적의 공격을 블록하기 힘들게 한다.	// 좌절(블록성공률 저하)					
	108	족쇄	eCHAR_STATE_FETTER	23109	24109	38335	2	1	0	0	2	0	1	B108	3	0	0	0	0	0	0	0		//	대상의 이동속도가 %s 만큼 느려진다.	// 족쇄(이동속도 저하)					
	109	둔화	eCHAR_STATE_SLOWDOWN	23110	24110	38335	2	2	0	0	2	0	1	B109	4	0	0	0	0	0	0	0		//	대상의 공격속도가 %s 만큼 느려진다.	// 둔화(공격속도 저하)					
	110	역류	eCHAR_STATE_HP_REDUCE	23111	24111	38335	2	3	0	0	2	0	1	B110	2	0	0	0	0	0	0	0		//	대상의 HP량이 %s 만큼 감소한다	// 역류(HP 감소)					
	111	감속	eCHAR_STATE_MP_REDUCE	23112	24112	38335	2	4	0	0	2	0	1	B111	2	0	0	0	0	0	0	0		//	대상의 MP/SP량이 %s 만큼 감소한다	// 감속(MP 감소)					
	112	체력저하	eCHAR_STATE_LOW_STRENGTH	23113	24113	38335	2	5	0	0	2	0	1	B112	2	0	0	0	0	0	0	0		//	대상의 HP회복량이 %s 만큼 감소한다	// 체력저하(HP 회복량 감소)					
	113	디클라인	eCHAR_STATE_DICLINE	23114	24114	38335	2	6	0	0	2	0	1	B113	2	0	0	0	0	0	0	0		//	대상의 MP/SP회복량이 %s 만큼 감소한다	// 디클라인(MP 회복량 감소)					
	114	마법노출	eCHAR_STATE_MAGIC_EXPOSE	23115	24115	38335	2	7	0	0	2	0	1	B114	4	0	0	0	0	0	0	0		//	대상의 마법 방어력이 %s 만큼 감소한다	// 마법노출(마법방어력 감소)					
	115	흡수	eCHAR_STATE_ABSORB	23116	24116	38335	2	8	5	0	3	0	1	B115	2	0	0	0	0	0	0	0		//	대상의 HP/MP/SP를 %s 만큼 흡수한다	"// 흡수(HP, MP 흡수)"					
	116	약점	eCHAR_STATE_HPRATE_REDUCE	23117	24117	38335	2	9	0	0	2	0	1	B116	2	0	0	0	0	0	0	0		//	대상의 HP회복률이 %s 만큼 감소한다	// 약점(HP 회복률 감소)					
	117	장애	eCHAR_STATE_MPRATE_REDUCE	23118	24118	38335	2	10	0	0	2	0	1	B117	2	0	0	0	0	0	0	0		//	대상의 MP/SP회복률이 %s 만큼 감소한다	// 장애(MP 회복률 감소)					
	118	피격족쇄	eCHAR_STATE_REFLECT_SLOW	23119	24119	38335	2	11	5	0	3	0	1	B118	2	0	0	0	0	0	0	0		//	타격을 한 대상은 %s 데미지를 입고 이동속도가 느려진다.	// 피격족쇄(데미지 + 이속저하)					
	119	피격프로즌	eCHAR_STATE_REFLECT_FROZEN	23120	24120	38335	2	12	5	0	3	0	1	B119	2	0	0	0	0	0	0	0		//	타격을 한 대상은 %s 데미지를 입고 얼어버린다.	// 피격프로즌(데미지 + 모든행동불능)					
	120	피격둔화	eCHAR_STATE_REFLECT_SLOWDOWN	23121	24121	38335	2	13	5	0	3	0	1	B120	2	0	0	0	0	0	0	0		//	타격을 한 대상은 %s 데미지를 입고 공격속도가 느려진다.	// 피격둔화(데미지 + 공속저하)					
	121	피격스턴	eCHAR_STATE_REFLECT_STUN	23122	24122	38335	2	14	5	1	3	0	1	B121	2	0	0	0	0	0	0	0		//	타격을 한 대상은 %s 데미지를 입고 스턴을 당한다.	// 피격스턴(데미지 + 모든행동불능)					
	122	피격피어	eCHAR_STATE_REFLECT_FEAR	23123	24123	38335	2	15	5	0	3	0	1	B122	1	0	0	0	0	0	0	0		//	타격을 한 대상은 도망을 가게된다.	// 피격피어(데미지 + 도망)					
	123	마법공격저하	eCHAR_STATE_MAGIC_ATTACK_DECRESE	23124	24124	38335	2	16	0	0	2	0	1	B123	2	0	0	0	0	0	0	0		//	대상의 마법 공격력이 %s 만큼 저하됩니다.	// 마법공격 저하					
	124	힘감소	eCHAR_STATE_STAT_STR_DECRESE	23125	24125	38335	2	17	0	0	2	0	1	B124	2	0	0	0	0	0	0	0		//	대상의 힘이 %s 만큼 감소됩니다.	// 힘 감소					
	125	민첩감소	eCHAR_STATE_STAT_DEX_DECRESE	23126	24126	38335	2	18	0	0	2	0	1	B125	2	0	0	0	0	0	0	0		//	대상의 민첩이 %s 만큼 감소됩니다.	// 민첩 감소					
	126	체력감소	eCHAR_STATE_STAT_VIT_DECRESE	23127	24127	38335	3	1	0	0	2	0	1	B126	2	0	0	0	0	0	0	0		//	대상의 체력이 %s 만큼 감소됩니다.	// 체력 감소					
	127	정신력감소	eCHAR_STATE_STAT_INT_DECRESE	23128	24128	38335	3	2	0	0	2	0	1	B127	1	0	0	0	0	0	0	0		//	대상의 정신력이 %s 만큼 감소됩니다.	// 정신력 감소					
	128	지력감소	eCHAR_STATE_STAT_SPI_DECRESE	23129	24129	38335	3	3	0	0	2	0	1	B128	2	0	0	0	0	0	0	0		//	대상의 지력이 %s 만큼 감소됩니다.	// 지력 감소					
	129	물리공격저하	eCHAR_STATE_STAT_LOWHP_ATTACK_DECREASE	23130	24314	38335	3	4	0	0	2	0	1	B129	1	0	0	0	0	0	0	0		//	물리 공격력이 감소합니다.	// 물리공격 저하					
	130	물리방어저하	eCHAR_STATE_STAT_LOWHP_DEFENSE_DECREASE	23131	24315	38335	3	5	0	0	2	0	1	B130	1	0	0	0	0	0	0	0		//	물리 방어력이 감소합니다.	// 물리방어 저하					
	131	불속성공격력저하	eCHAR_STATE_FIRE_ATTACK_DECREASE	23132	24132	38335	3	6	0	0	2	0	1	B131	1	0	0	0	0	0	0	0		//	대상의 불 속성 공격력이 %s 만큼 저하한다.	// 불속성 공격력 저하					
	132	물속성공격력저하	eCHAR_STATE_WATER_ATTACK_DECREASE	23133	24133	38335	3	7	0	0	2	0	1	B132	1	0	0	0	0	0	0	0		//	대상의 물 속성 공격력이 %s 만큼 저하한다.	// 물					
	133	바람속성공격력저하	eCHAR_STATE_WIND_ATTACK_DECREASE	23134	24134	38335	3	8	0	0	2	0	1	B133	1	0	0	0	0	0	0	0		//	대상의 바람 속성 공격력이 %s 만큼 저하한다.	// 바람					
	134	대지속성공격력저하	eCHAR_STATE_EARTH_ATTACK_DECREASE	23135	24135	38335	3	9	0	0	2	0	1	B134	1	0	0	0	0	0	0	0		//	대상의 대지 속성 공격력이 %s 만큼 저하한다.	// 대지					
	135	암흑속성공격력저하	eCHAR_STATE_DARK_ATTACK_DECREASE	23136	24136	38335	3	10	0	0	2	0	1	B135	1	0	0	0	0	0	0	0		//	대상의 암흑 속성 공격력이 %s 만큼 저하한다.	// 암흑					
	136	불속성방어력저하	eCHAR_STATE_FIRE_DEFENSE_DECREASE	23137	24137	38335	3	11	0	0	2	0	1	B136	1	0	0	0	0	0	0	0		//	대상의 불 속성 방어력이 %s 만큼 저하한다.	// 불속성 방어력 저하					
	137	물속성방어력저하	eCHAR_STATE_WATER_DEFENSE_DECREASE	23138	24138	38335	3	12	0	0	2	0	1	B137	1	0	0	0	0	0	0	0		//	대상의 물 속성 방어력이 %s 만큼 저하한다.	// 물					
	138	바람속성방어력저하	eCHAR_STATE_WIND_DEFENSE_DECREASE	23139	24139	38335	3	13	0	0	2	0	1	B138	1	0	0	0	0	0	0	0		//	대상의 바람 속성 방어력이 %s 만큼 저하한다.	// 바람					
	139	대지속성방어력저하	eCHAR_STATE_EARTH_DEFENSE_DECREASE	23140	24140	38335	3	14	0	0	2	0	1	B139	1	0	0	0	0	0	0	0		//	대상의 대지 속성 방어력이 %s 만큼 저하한다.	// 대지					
	140	암흑속성방어력저하	eCHAR_STATE_DARK_DEFENSE_DECREASE	23141	24141	38335	3	15	0	0	2	0	1	B140	1	0	0	0	0	0	0	0		//	대상의 암흑 속성 방어력이 %s 만큼 저하한다.	// 암흑					
	141	정신저주	eCHAR_STATE_INCREASE_CASTING_TIME	23245	24245	38335	1	5	0	0	2	0	1	B014	1	0	0	0	0	0	0	0		//	대상의 캐스팅 소요 시간이 증가하게 됩니다.	// 캐스팅 타임 증가					
	142	스킬집중저주	eCHAR_STATE_INCREASE_SKILL_COOL_TIME	23247	24247	38335	1	5	0	0	2	0	1	B014	1	0	0	0	0	0	0	0		//	대상의 쿨타임 소요 시간이 증가하게 됩니다.	// 스킬 쿨타임 증가					
	143	MP저주	eCHAR_STATE_MP_SPEND_INCREASE	23012	24012	38335	1	5	0	0	2	0	1	B014	1	0	0	0	0	0	0	0		//	스킬 사용시 필요한 MP값이 증가하게 됩니다.	// MP저주(MP 소모 증가)					
	2001	전투상태	eCHAR_STATE_BATTLE	0	0	38335	0	0	3	0	4	0	1	0	0	0	0	0	0	0	0	0		//	전투상태						
//	섀도우전용																														
	144	페인(고통)	eCHAR_STATE_PAIN	25091	26091	38335	6	17	3	0	2	0	1	K767	2	0	0	0	0	0	0	0		//	대상이 특정 시간동안 고통을 당해 지속적으로 %s 데미지를 받는다.						
	145	다크파이어(암흑화상)	eCHAR_STATE_FIRE_WOUND2	25108	24103	38335	1	13	3	0	2	1	1	K772	2	0	0	0	0	0	0	0		//	대상이 특정 시간동안 화상을 입어 지속적으로 %s 데미지를 받는다.						
	146	다크페인(암흑고통)	eCHAR_STATE_PAIN2	25098	26091	38335	6	18	3	0	2	0	1	K819	2	0	0	0	0	0	0	0		//	대상이 특정 시간동안 고통을 당해 지속적으로 %s 데미지를 받는다.						
	148	다크스턴(최면)	eCHAR_STATE_STUN2	25074	24006	38335	1	6	0	0	1	0	1	B015	1	0	0	0	0	0	0	0		//	대상은 최면에 걸려 모든 행동 불능 상태가 된다.						
	149	포이즌(암흑중독)	eCHAR_STATE_POISON2	25107	24250	38335	1	11	0	0	2	1	1	K926	2	0	0	0	0	0	0	0		//	대상이 특정 시간동안 독에 중독되어 지속적으로 %s 데미지를 받는다.						
	150	버프제거(버프캔슬)	eCHAR_STATE_BUFF_CANCEL	25104	26104	38335	7	1	3	0	2	0	1	K878	2	0	0	0	0	0	0	0		//	대상에게 걸려있는 이로운 마법(버프)이 해제된다.						
	151	자폭(다크브레이크)	eCHAR_STATE_EXPLOSION	25099	26099	38335	7	2	5	0	2	0	1	B002	2	0	0	0	0	0	0	0		//	일정 대상을 선택하여 자폭						
	153	임포턴트	eCHAR_STATE_IMPOTENT	23109	24109	38335	7	3	0	0	1	0	1	K792	2	0	0	0	0	0	0	0		//	섀도우 스킬 중 임포턴트 전용 상태						
	154	컨퓨즈	eCHAR_STATE_CONFUSE	25105	26105	38335	7	4	0	0	1	0	1	K827	2	0	0	0	0	0	0	0		//	섀도우 스킬 중 컨퓨즈 전용 상태						
	155	캔슬레이션	eCHAR_STATE_CANCELATION	23317	26096	38335	7	5	0	0	1	0	1	K878	2	0	0	0	0	0	0	0		//	섀도우 스킬 중 캔슬레이션 전용 상태						
	308	저주강화(커스인크리즈)	eCHAR_STATE_CURSE_INCREASE	25106	26106	38335	7	6	5	1	3	0	1	0	0	0	0	0	0	0	0	0		//	"페인, 다크파이어, 인첸트포이즌의 성능을 향상시킵니다."						
	156	HP흡수	eCHAR_STATE_HP_SUCTION	11268	26107	38335	7	7	5	0	1	0	1	0	0	0	0	0	0	0	0	0		//	적의 HP를 흡수합니다						
	157	MP흡수	eCHAR_STATE_MP_SUCTION	23316	26108	38335	7	8	5	0	1	0	1	0	0	0	0	0	0	0	0	0		//	적의 MP를 흡수합니다						
	158	소울스크림	eCHAR_STATE_MP_FEAR2	23304	24304	38335	6	7	0	0	1	0	1	K916	2	0	0	0	0	0	0	0		//	주위 일정 반경 내의 적을 일정시간 동안 달아나게 만듭니다.						
	159	바이탈석션	eCHAR_STATE_VITAL_SUCTION	23116	26109	38335	7	9	5	0	1	0	1	0	0	0	0	0	0	0	0	0		//	섀도우 바이탈석션 전용 상태						
	160	러쉬(사용금지)	eCHAR_STATE_SPEEDING2	25079	24209	38335	7	10	5	1	3	0	1	0	2	0	0	0	0	0	0	0		//	섀도우 전용 러쉬 스킬의 상태						
	161	속성변경	eCHAR_STATE_CHANGE_ATTR	23249	24249	38335	7	11	3	0	1	0	1	0	0	0	0	0	0	0	0	0		//	속성 변경 상태						
	162	인첸트포이즌상태	eCHAR_STATE_ENCHANTPOISON	25058	24251	38335	1	11	5	1	3	1	1	0	0	0	0	0	0	0	0	0		//	섀도우 인첸트포이즌 버프 상태						
//	미스틱전용																														
	163	은신체감지	eCHAR_STATE_DETECTING_HIDE	23161	24161	38335	8	18	5	0	3	0	1	KB05	1	0	0	0	0	0	0	0		//	숨어 있는 은신체를 감지해 냅니다.						
	164	화이트블라인드	eCHAR_STATE_WHITE_BLIND	23002	24002	38335	9	1	0	0	4	0	1	B011	1	0	0	0	0	0	0	0		//	대상의 시야가 1로 줄어 그 범위 이외의 사물을 구별할 수 없습니다.						
	165	피닉스화상	eCHAR_STATE_PHOENIX_BURN	23160	24103	38335	9	2	0	0	2	1	1	KC11	2	0	0	0	0	0	0	0		//	화상을 입었습니다.						
	166	폴리모프	eCHAR_STATE_POLYMORPH	23301	24301	38335	9	3	0	0	2	0	1	B300	1	0	0	0	0	0	0	0		//	대상은 다른 형태의 모습으로 일시적으로 변신한 상태입니다.						
	167	다크오브라이트존	eCHAR_STATE_DARK_OF_LIGHT_ZONE	23162	24162	38335	9	4	3	0	4	0	1	0	0	0	0	0	0	0	0	0		//	이 존에 있는 동안 은신상태가 강제 해제됩니다.						
	168	그라비티존	eCHAR_STATE_GRAVITY_ZONE	23163	24163	38335	9	5	3	0	4	0	1	0	0	0	0	0	0	0	0	0		//	이 존에 있는 동안 이동속도가 현저히 감소됩니다.						
	169	공격력상승(어웨이큰)	eCHAR_STATE_AWAKEN_OFFENSE	23164	24164	38335	9	6	5	0	3	0	1	KB25	2	0	0	0	0	0	0	0		//	공격력이 상승합니다.						
	170	방어력상승(어웨이큰)	eCHAR_STATE_AWAKEN_DEFENSE	23165	24165	38335	9	7	5	0	3	0	1	0	0	0	0	0	0	0	0	0		//	방어력이 상승합니다.						
	171	스킬사용불가(슬리프)	eCHAR_STATE_SLIP	23166	24166	38335	7	4	0	0	1	0	1	KA71	2	0	0	0	0	0	0	0		//	스킬 사용이 불가능합니다.						
	172	홀딩(페이탈포인트)	eCHAR_STATE_FATAL_POINT	23167	24167	38335	4	17	0	0	1	0	1	KB11	2	0	0	0	0	0	0	0		//	몸이 경직되어 공격과 이동이 불가능합니다.						
	173	무적(미스트댄스)	eCHAR_STATE_INVINCIBLE	23168	24168	38335	6	5	5	0	4	0	1	0	0	0	0	0	0	0	0	0		//	공격을 받거나 피해를 입지 않습니다.						
//	헬로이드전용																														
	174	모든원소공격력감소(슬로우오라)	eCHAR_STATE_ALL_ELEMENT_ATTACK_DECREASE	23169	24169	38335	10	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0		//	모든 원소 공격력이 감소합니다.						
	175	모든원소저항률감소(위크너스오라)	eCHAR_STATE_ALL_ELEMENT_DEFENSE_DECREASE	23170	24170	38335	10	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0		//	모든 원소 저항률이 감소합니다.						
	176	크리티컬확률감소	eCHAR_STATE_CRITICAL_RATIO_DECREASE	23171	24171	38335	10	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0		//	크리티컬 확률이 감소합니다.						
	177	크리티컬데미지감소	eCHAR_STATE_CRITICAL_DAMAGE_DECREASE	23172	24172	38335	10	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0		//	크리티컬 데미지가 감소합니다.						
	178	스킬데미지감소	eCHAR_STATE_INCREASESKILLDAMAGE_DECRESE	23173	24173	38335	10	5	0	0	2	0	1	0	0	0	0	0	0	0	0	0		//	스킬 데미지가 감소합니다.						
	179	슬로우오라	eCHAR_STATE_SLOW_AURORA	23174	24174	38335	10	6	5	1	2	0	1	KC45	2	0	0	0	0	0	0	0		//	모든 원소 저항률이 감소합니다.						
	180	위크너스오라	eCHAR_STATE_WEAKNESS_AURORA	23175	24175	38335	10	7	5	1	2	0	1	KC55	2	0	0	0	0	0	0	0		//	크리티컬 확률이 감소합니다.						
	181	미스챈스오라	eCHAR_STATE_MISCHANCE_AURORA	23176	24176	38335	10	8	5	1	2	0	1	KC80	2	0	0	0	0	0	0	0		//	크리티컬 데미지가 감소합니다.						
	182	디클라인오라	eCHAR_STATE_DECLINE_AURORA	23177	24177	38335	10	9	5	1	2	0	1	KC90	2	0	0	0	0	0	0	0		//	스킬 데미지가 감소합니다.						
	183	리커버리오라	eCHAR_STATE_RECOVERY_AURORA	23178	24178	38335	10	10	5	1	3	0	1	KD25	2	0	0	0	0	0	0	0		//	모든 원소 저항률이 감소합니다.						
	184	부스트오라	eCHAR_STATE_BOOST_AURORA	23179	24179	38335	10	11	5	1	3	0	1	KD35	2	0	0	0	0	0	0	0		//	크리티컬 확률이 감소합니다.						
	185	이그노어오라	eCHAR_STATE_IGNORE_AURORA	23180	24180	38335	10	12	5	1	3	0	1	KD60	2	0	0	0	0	0	0	0		//	크리티컬 데미지가 감소합니다.						
	186	컨센트레이션오라	eCHAR_STATE_CONCENTRATION_AURORA	23181	24181	38335	10	13	5	1	3	0	1	KD70	2	0	0	0	0	0	0	0		//	스킬 데미지가 감소합니다.						
	187	HP회복(리커버리무시)	eCHAR_STATE_IGNORE_RESERVEHP6	23200	24200	38335	6	9	5	1	3	0	1	0	0	0	0	0	0	0	0	0		//	대상의 HP 회복율 %s 만큼 증가한다.(리커버리는 무시하고 회복합니다.)	// 					
	188	레인지2(헬로이드용)	eCHAR_STATE_BUF_RANGE_DAMAGE2	23223	24223	38335	5	2	5	1	3	1	1	0	0	0	0	0	0	0	0	0		//	자신의 주변에 접근 시에 %s 의 데미지를 입는다.	// 레인지(주변적들에게 지속적 데미지)					
	189	레인지3(헬로이드용)	eCHAR_STATE_BUF_RANGE_DAMAGE3	23223	24223	38335	5	2	5	1	3	1	1	0	0	0	0	0	0	0	0	0		//	자신의 주변에 접근 시에 %s 의 데미지를 입는다.	// 레인지(주변적들에게 지속적 데미지)					
	190	레인지4(헬로이드용)	eCHAR_STATE_BUF_RANGE_DAMAGE4	23223	24223	38335	5	2	5	1	3	1	1	0	0	0	0	0	0	0	0	0		//	자신의 주변에 접근 시에 %s 의 데미지를 입는다.	// 레인지(주변적들에게 지속적 데미지)					
	191	날렵함(크리티컬피격확률감소)	eCHAR_STATE_DAMAGED_CRITICAL_RATIO_DECREASE	23182	24182	38335	10	14	5	1	3	0	1	0	0	0	0	0	0	0	0	0		//	크리티컬 피해를 입을 확률이 줄어듭니다.	// 날렵함					
	192	노련함(크리티컬피해량감소)	eCHAR_STATE_DAMAGED_CRITICAL_DAMAGE_DECREASE	23183	24183	38335	10	15	5	1	3	0	1	0	0	0	0	0	0	0	0	0		//	크리티컬 피해량이 감소합니다.	// 노련함					
	193	둔감함(크리티컬피격확률증가)	eCHAR_STATE_DAMAGED_CRITICAL_RATIO_INCREASE	23186	24186	38335	10	18	0	0	2	0	1	0	0	0	0	0	0	0	0	0		//	크리티컬 피해를 입을 확률이 늘어납니다.	// 둔감함					
	194	미숙함(크리티컬피해량증가)	eCHAR_STATE_DAMAGED_CRITICAL_DAMAGE_INCREASE	23187	24187	38335	11	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0		//	크리티컬 피해가 증가합니다.	// 미숙함					
	195	감전	eCHAR_STATE_ELECTRICSHOCK	23184	24184	38335	10	16	0	0	2	1	1	KD66	2	0	0	0	0	0	0	0		//	감전되어 지속적으로 피해를 입습니다.	// 감전					
	197	보호(헬로이드스핀용)	eCHAR_STATE_PROTECTION1	23203	24203	38335	3	18	5	1	3	0	1	B202	1	0	0	0	0	0	0	0		//	대상은 이상상태 및 상태 악화에 걸리지 않는다.	// 보호(이상상태에 걸리지 않음)					
//	상태강화_1																														
	200	분노	eCHAR_STATE_ANGER	23201	24201	38335	3	16	1	1	3	0	1	B200	2	0	0	0	0	0	0	0		//	대상은 분노하여 공격력상승이 %s 만큼 상승한다	// 분노(공격력 상승)					
	201	방어	eCHAR_STATE_DEFENSE	23202	24202	38335	3	17	1	1	3	0	1	B201	2	0	0	0	0	0	0	0		//	대상은 방어에 집중하여 방어력이 %s 만큼 상승한다.	// 방어(방어력 상승)					
	202	보호	eCHAR_STATE_PROTECTION	23203	24203	38335	3	18	5	1	3	0	1	B202	1	0	0	0	0	0	0	0		//	대상은 이상상태 및 상태 악화에 걸리지 않는다.	// 보호(이상상태에 걸리지 않음)					
