	//NPC 위치 정보					DisplayType																				
	10001	10001	5	62018	0	1	-59.23	47	-24.58	-59.14	51.52	-24.84	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10001	10001	5	62019	0	1	7.55	115.59	-16.04	6.01	113.23	-16.05	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10001	10001	14	62020	0	3	-103.52	-32.05	-26.21	-95.95	-31.3	-27.46	0	0	0	0	0	160002	45	0		//	로렌(배틀존개설)			
	10001	10001	14	62021	0	3	23.48	-13.01	-12.37	19.78	-13.04	-12.99	0	0	0	0	0	160002	45	0		//	세이나(배틀존개설)			
	10001	10001	1	62022	0	3	37.08	28.35	-11.85	33.19	27.57	-12.1	0	0	0	0	0	160002	37	0		//	라만(잡화상점)			
	10001	10001	1	62023	0	3	25.72	51.79	-10.96	20.65	52.06	-10.65	0	0	0	0	0	160002	31	0		//	드레이언(드래곤나이트상점)			
	10001	10001	1	62024	0	3	27.24	78.93	-11.17	24.71	78.3	-11.42	0	0	0	0	0	160002	33	0		//	미노(엘리멘탈리스트상점)			
	10001	10001	1	62025	0	3	-125.83	16.7	-32.62	-121.65	14.93	-32.83	0	0	0	0	0	160002	32	0		//	클레이(발키리상점)			
	10001	10001	1	62026	0	3	-116.61	31.56	-33.4	-119.66	29.82	-33.34	0	0	0	0	0	160002	30	0		//	하르테(버서커상점)			
	//10001	10001	6	62027	0	3							0	0	0	0	0	160006	44	0		//	네케르(마을이동)			
	10001	10001	7	62028	0	3	38.39	-1.59	-12.5	32.26	-1.73	-12.82	0	0	0	0	0	0	40	0		//	아리스(길드관리인)			
	//10001	10001	0	63261	0	0	-6.06	113.03	-25.43	-10.06	112.66	-25.19	2	0	0	0	10	0	2	0		//	토끼1(트링겔)			
	//10001	10001	0	63262	0	0	-3.84	106.7	-24.77	-4.31	102.16	-24.36	2	0	0	0	10	0	2	0		//	토끼2(트링겔)			
	//10001	10001	0	63263	0	0	32.26	32.91	-11.99	33.33	29.52	-12.02	2	0	0	0	10	0	2	0		//	토끼3(트링겔)			
	//10001	10001	0	63264	0	0	37.96	24.7	-11.83	35.5	26.95	-11.95	2	0	0	0	10	0	2	0		//	토끼4(트링겔)			
	//10001	10001	0	63265	0	0	-102.76	-45.9	-26.69	-99.85	-49.46	-25.89	2	0	0	0	15	0	2	0		//	닭1(트링겔)			
	//10001	10001	0	63266	0	0	-103.58	-41.78	-26.68	-103	-39	-26.75	2	0	0	0	15	0	2	0		//	닭2(트링겔)			
	//10001	10001	0	63267	0	0	-124.51	17.7	-32.75	-122.77	17.88	-32.84	2	0	0	0	15	0	2	0		//	닭3(트링겔)			
	10001	10001	0	63268	0	0	-123.64	22.95	-32.88	-123.45	26.27	-32.96	2	0	0	0	15	0	2	0		//	닭4(트링겔)			
	//10001	10001	0	63269	0	0	50.23	21.83	-10.28	44.93	19.93	-11.58	2	0	0	0	15	0	2	0		//	산양(트링겔)			
	10001	10001	14	62177	0	3	54.48	-94.63	-10.97	51.46	-92.73	-11.67	0	0	0	0	0	0	45	0		//	벨리타(방생성)			
	10001	10001	4	62029	0	3	-125.65	60.75	-33.3	-122.01	59.19	-33.42	0	0	0	0	0	160003	35	0		//	이스로게(제조)			
	10001	10001	4	62030	0	3	-114.93	72.72	-33.16	-113.48	69.53	-33.41	0	0	0	0	0	160004	36	0		//	케르텐(특수아이템제조)			
	10001	10001	14	63810	0	3	-44.43	26.35	-24.68	-43.84	25.41	-24.73	0	0	0	0	0	0	47	0		//	경비대장본헤를링(퀘스트)			
	10001	10001	14	63812	0	3	79.89	-104.31	-10	77.89	-103.16	-10	0	0	0	0	0	0	47	0		//	알론카터(도서관지기)(퀘스트)			
	10001	10001	15	63901	0	3	-47.1	36.07	-22.26	-41.5	37.7	-24.69	0	0	0	0	0	0	41	0		//	연금술사아인(이벤트)			
	10001	10001	14	63814	0	3	27.81	99.99	-11.9	27.12	96.31	-12.02	0	0	0	0	0	0	41	0		//	란트하츠(원로원트링겔지부)			
	10001	10001	14	63817	0	3	-14.53	-24.77	-23.54	-15.32	-25.38	-23.53	0	0	0	0	0	0	41	0		//	로젠펠트(파견 마법사)			
	10001	10001	14	63813	0	3	22.78	4.98	-14.19	19.99	4.12	-14.59	0	0	0	0	0	0	41	0		//	발첸(용병 길드원)			
	10001	10001	5	62040	0	1	-59.25	116.77	-33.91	-59.32	115.2	33.82	0	0	0	0	0	0	43	0		//	트링겔경비병			
	10001	10001	5	62041	0	1	-63.32	117.34	-34.06	-63.48	116.44	-34.01	0	0	0	0	0	0	43	0		//	트링겔경비병			
	10001	10001	5	62042	0	1	-37.4	101.9	-25.8	-37.39	95.46	-25.81	0	0	0	0	0	0	43	0		//	트링겔경비병(게시판옆)			
	10001	10001	14	62044	0	3	-124.67	-97.82	-21.45	-121.72	-97.59	-21.78	0	0	0	0	0	0	41	0		//	말론(미션랭킹관리자)	변경		
	10001	10001	17	62045	1	3	-19.82	-11.42	-24.25	-25.16	-11.21	-24.08	0	0	0	0	0	0	37	0		//	개인상점리스트(트링겔)			
	//10001	10001	18	62046	0	3	-127.2	-88.49	-21.56	-122.93	-88.42	-21.69	0	0	0	0	0	0	41	0		//	데커드(포인트랭킹관리자)			
	//10001	10001	8	62048	0	3	38.07	-8.96	-12.5	33.31	-8.98	-12.5	0	0	0	0	0	0	40	0		//	길드전 관리자(길드전 관리자)			
	10001	10001	2	62110	0	3	-9.95	-105.34	-18.86	-10.22	-102.37	-19.67	0	0	0	0	0	160005	46	0		//	랄프(트링겔추가창고)			
	10001	10001	1	62111	0	3	-1.93	-104.63	-18.86	-2.68	-101.63	-39.63	0	0	0	0	0	160002	37	0		//	슈토르(트링겔추가잡화)			
	10001	10001	17	62112	1	3	-32.96	101.29	-25.79	-33.43	92.96	-25.51	0	0	0	0	0	0	37	0		//	개인상점게시판(트링겔추가)			
	10001	10001	1	62050	0	3	-92.42	41.42	-24.3	-90.74	41.48	-24.7	0	0	0	0	0	160002	34	0		//	고다드(섀도우상점)			
	10001	10001	1	62117	0	3	-130.1	42.05	-33.42	-126.61	42.04	-33.42	0	0	0	0	0	160002	34	0		//	도허티(섀도우상점)			
	10001	10001	1	65423	0	3	4.84	34.7	-23.14	-4.08	24.65	-23.11	0	0	0	0	0	160002	47	0		//	비밀요원미셸(랜덤)_비밀상점_트링겔			
	//에텔레인NPC위치																					//				
	10003	10003	1	62051	0	3	127.07	83.13	78.84	132.03	84.46	78.84	0	0	0	0	0	160002	30	0		//	니힐(버서커상인)			
	10003	10003	1	62052	0	3	197.56	433.62	39.57	198.52	429.34	39.57	0	0	0	0	0	160002	30	0		//	오터(버서커상인)			
	10003	10003	1	62053	0	3	435.3	713.55	31.66	434.7	710.88	31.66	0	0	0	0	0	160002	30	0		//	클라우드(버서커상인)			
	10003	10003	1	62054	0	3	544.35	77.68	79.01	542.45	78.69	79.01	0	0	0	0	0	160002	31	0		//	나훔(드래곤상인)			
	10003	10003	1	62055	0	3	449.69	362.27	39.57	450.02	358.48	39.57	0	0	0	0	0	160002	31	0		//	오비스(드래곤상인)			
	10003	10003	1	62056	0	3	271.48	744.79	31.66	271.18	740.13	31.66	0	0	0	0	0	160002	31	0		//	세페르(드래곤상인)			
	10003	10003	1	62057	0	3	169.16	66.11	78.84	172.26	67.57	78.84	0	0	0	0	0	160002	32	0		//	라비나(발키리상인)			
	10003	10003	1	62058	0	3	223.37	364.33	39.57	225.01	361.34	39.57	0	0	0	0	0	160002	32	0		//	안나(발키리상인)			
	10003	10003	1	62059	0	3	408.42	750.01	32.03	408.69	745.75	32.03	0	0	0	0	0	160002	32	0		//	아샤(발키리상인)			
	10003	10003	1	62060	0	3	582.43	97.51	78.84	580.15	98.44	78.84	0	0	0	0	0	160002	33	0		//	베스티아(엘리상인)			
	10003	10003	1	62061	0	3	470.92	412.62	39.64	468.31	410.46	39.64	0	0	0	0	0	160002	33	0		//	아리에스(엘리상인)			
	10003	10003	1	62062	0	3	231.49	706.2	32.03	233.14	703.84	31.66	0	0	0	0	0	160002	33	0		//	시렌(엘리상인)			
	//10003	10003	4	62063	0	3	517.39	63.88	79.01	516.31	67.56	79.01	0	0	0	0	0	160003	35	0		//	딕(조합)			
	//10003	10003	4	62064	0	3	387.11	328.47	39.79	386.06	331.55	39.89	0	0	0	0	0	160003	35	0		//	엘린(조합)			
	10003	10003	14	62065	0	3	338.52	157.22	78.84	338.19	167.76	78.84	0	0	0	0	0	160002	45	0		//	고트폴드(방생성)			
	10003	10003	1	62066	0	3	338.47	396.71	43.1	338.46	392.98	43.04	0	0	0	0	0	160002	37	0		//	슈제트(방생성)			
	10003	10003	14	62067	0	3	338.24	700.36	32.03	338.89	708.13	32.03	0	0	0	0	0	160002	45	0		//	하버(방생성)			
	10003	10003	1	62068	0	3	252.82	44.59	79.01	255.58	48.24	78.84	0	0	0	0	0	160002	37	0		//	비토(잡상인)			
	10003	10003	1	62069	0	3	287.3	329.24	39.79	289.05	329.27	39.79	0	0	0	0	0	160002	37	0		//	멜리나(잡상인)			
	10003	10003	1	62070	0	3	362.51	765.26	32.03	360.05	762.54	31.66	0	0	0	0	0	160002	37	0		//	네르바(잡상인)			
	10003	10003	2	62071	0	3	338.22	466.8	39.68	337.99	462.6	39.68	0	0	0	0	0	160005	46	0		//	빌트(창고지기)			
	10003	10003	2	62072	0	3	428.91	44.46	79.01	427.4	45.49	79.01	0	0	0	0	0	160005	46	0		//	실비아(창고지기)			
	10003	10003	5	62073	0	1	343.79	23.76	78.84	343.79	27.28	78.84	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62074	0	1	332.77	23.84	78.84	332.69	27.81	78.84	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62075	0	1	405.5	407.94	39.64	413.14	406.97	39.64	2	0	0	0	7	0	43	0		//	맬콤(마을경비랜덤이동형)			
	10003	10003	5	62076	0	1	222.63	426.75	39.64	224	436.11	39.64	2	0	0	0	7	0	43	0		//	맬콤(마을경비랜덤이동형)			
	10003	10003	5	62077	0	1	341.55	533.35	41.64	316.74	530.55	41.64	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62078	0	1	361.76	532.78	41.64	360.05	530.4	41.64	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62079	0	1	560.21	211.66	78.84	558.33	210.64	78.84	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62080	0	1	563.12	206.14	78.84	561.19	204.82	78.84	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62081	0	1	332.02	561.13	115.62	332	559.01	115.39	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62082	0	1	343.81	560.97	115.62	343.59	558.84	115.39	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62083	0	1	615.57	106.93	79.05	615.36	110.31	79.05	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62084	0	1	81.67	122	78.84	76.61	116.68	78.84	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10003	10003	5	62085	0	1	348.07	203.84	76.14	348.15	210.63	74.03	1	348.55	288.75	49.76	0	0	43	0		//	맬콤(마을경비이동형)			
	10003	10003	5	62086	0	1	351.21	203.82	76.15	351.77	216.1	72.33	1	352.16	289.21	49.61	0	0	43	0		//	맬콤(마을경비이동형)			
	10003	10003	5	62087	0	1	354.32	43.16	78.84	345	43.14	78.84	1	315.82	42.57	78.84	0	0	43	0		//	맬콤(마을경비이동형)			
	10003	10003	5	62088	0	1	316.68	53.3	78.84	329.25	53.86	78.84	1	355.99	53.75	78.84	0	0	43	0		//	맬콤(마을경비이동형)			
	//10003	10003	6	62089	0	3	118.71	217.5	78.84	124.81	214.16	78.84	0	0	0	0	0	160006	44	0		//	펠리체(마을이동)			
	//10003	10003	6	62090	0	3	338.53	419.38	43.1	338.42	425.23	42.32	0	0	0	0	0	160006	44	0		//	에리츠(마을이동)			
	10003	10003	7	62091	0	3	565.78	203.44	78.84	563.19	202.02	78.84	0	0	0	0	0	0	40	0		//	로베르트(길드관리인)			
	10003	10003	7	62092	0	3	360.61	568.12	115.19	360.41	565.14	115.19	0	0	0	0	0	0	40	0		//	이리스(길드관리인)			
	//10003	10003	8	62093	0	3	557.86	214.9	78.84	554.77	213	78.84	0	0	0	0	0	0	39	0		//	스트라도(길드전)			
	//10003	10003	8	62094	0	3	351.8	561.53	115.19	353.58	555.64	114.79	0	0	0	0	0	0	39	0		//	율리에(길드전)			
	//10003	10003	0	63251	0	0	255.92	741.75	32.03	255.77	739.29	32.03	1	260.02	725.3	31.66	10	0	2	0		//	고양이(어미1)			
	//10003	10003	0	63252	0	0	393.4	374.85	39.57	398.75	381.9	39.57	2	0	0	0	10	0	2	0		//	고양이(어미2)			
	//10003	10003	0	63253	0	0	497.72	578.68	44.41	501.55	580.79	44.41	2	0	0	0	10	0	2	0		//	고양이(어미3)			
	//10003	10003	0	63254	0	0	418.88	46.41	78.84	421.3	48.76	78.84	2	0	0	0	10	0	2	0		//	고양이(어미4)			
	//10003	10003	0	63255	0	0	271.07	732.26	31.66	273.56	733.07	31.66	2	0	0	0	10	0	2	0		//	고양이(어미5)			
	//10003	10003	0	63256	0	0	257.08	741.32	32.03	257.57	739.29	32.03	1	261.79	725.66	31.66	10	0	2	0		//	고양이(새끼1)			
	//10003	10003	0	63257	0	0	447.3	681.29	31.66	440.03	679.37	31.66	2	0	0	0	10	0	2	0		//	고양이(새끼2)			
	//10003	10003	0	63258	0	0	176.55	579.04	44.41	176.44	574.38	44.41	2	0	0	0	10	0	2	0		//	고양이(새끼3)			
	//10003	10003	0	63259	0	0	113.75	195.44	78.84	110.86	198.09	78.84	2	0	0	0	10	0	2	0		//	고양이(새끼4)			
	//10003	10003	0	63260	0	0	318.12	706.92	32.03	319.32	710	32.03	2	0	0	0	10	160012	2	0		//	고양이(새끼5)			
	10003	10003	4	62095	0	3	383.87	329.6	39.79	383.87	331.6	39.79	0	0	0	0	0	160003	36	0		//	한넨(강화)			
	10003	10003	4	62096	0	3	388.53	329.91	39.79	388.53	331.91	39.79	0	0	0	0	0	160004	35	0		//	아르벤헤노(상급악세서리제조)			
	10003	10003	4	62097	0	3	305.02	763.62	32.03	305.02	761.62	32.03	0	0	0	0	0	160004	35	0		//	라르도헨(상급특수아이템제조)			
	10003	10003	4	62098	0	3	317.35	765.48	32.03	317.35	763.48	32.03	0	0	0	0	0	160004	35	0		//	헬바름(스톤제작)			
	10003	10003	14	62105	0	3	377.12	550.33	41.64	385.59	537.88	39.49	0	0	0	0	0	0	41	0		//	빈텐(미션랭킹관리자)	변경		
	10003	10003	14	62106	0	3	71.28	109.18	79.01	75.64	113.14	78.84	0	0	0	0	0	0	41	0		//	앨런우드(미션랭킹관리자)	변경		
	10003	10003	5	64007	0	1	545.03	551.97	44.41	544.59	548.69	44.41	1	542.56	525.38	44.41	0	0	43	0		//	에텔레인 성문 경비병1(순찰)			
	10003	10003	5	64008	0	1	538.65	525.68	44.41	538.63	528.54	44.41	1	540.6	552.27	44.41	0	0	43	0		//	에텔레인 성문 경비병2(순찰)			
	10003	10003	17	62107	1	3	339.08	192.9	78.83	339.07	191.14	78.83	0	0	0	0	0	0	37	0		//	개인상점게시판(에텔레인1)			
	10003	10003	17	62108	1	3	243.94	426.55	39.58	244.11	386.37	39.58	0	0	0	0	0	0	37	0		//	개인상점게시판(에텔레인2)			
	//10003	10003	18	62109	0	3	55.24	113.67	79.05	65.32	118.41	78.84	0	0	0	0	0	0	41	0		//	유르켄(포인트랭킹관리자)			
	//10003	10003	8	62049	0	3	329.85	416.8	43.1	323.61	423.55	41.7	0	0	0	0	0	0	40	0		//	길드전 관리자(길드전 관리자)			
	10003	10003	4	62113	0	3	511.58	64.03	79.01	511.58	66.03	79.01	0	0	0	0	0	160003	36	0		//	셔틀워스(강화)			
	10003	10003	4	62114	0	3	516.48	66.03	79.01	516.48	68.03	79.01	0	0	0	0	0	160003	35	0		//	번스테인(조합)			
	10003	10003	2	62115	0	3	367.19	709.04	32.03	367.19	711.04	32.03	0	0	0	0	0	160005	46	0		//	월버그(창고)			
	10003	10003	17	62116	1	3	339.32	743.23	31.66	339.32	741.23	31.66	0	0	0	0	0	0	37	0		//	개인상점게시판(에텔레인추가)			
	10003	10003	1	62118	0	3	268.08	36.76	79.01	267.61	41.23	79.01	0	0	0	0	0	160002	34	0		//	프랜시스(섀도우상점)			
	10003	10003	1	62119	0	3	367.8	323.66	39.79	367.77	326.6	39.79	0	0	0	0	0	160002	34	0		//	베르나르(섀도우상점)			
	10003	10003	1	62120	0	3	254.36	737.61	32.03	256.14	735.53	32.03	0	0	0	0	0	160002	34	0		//	가브리엘(섀도우상점)			
	10003	10003	1	65425	0	3	351.01	356.35	39.68	352.01	345.91	39.67	0	0	0	0	0	160002	47	0		//	비밀요원미세아(랜덤)_비밀상점_에텔레인			
	10003	10003	1	4518	0	3	392.77	418.02	39.67	520.95	415.33	40.5	0	0	0	0	0	160002	47	0		//	수집가_본_티오			
	//벨트헨NPC																					//				
	//벨트헨마을이동NPC위치가지정																					//				
	//10002	10002	6	62179	0	3	116	92.17	11.44	109.46	95.97	11.32	0	0	0	0	0	160006	44	0		//	이리안(마을이동)			
	10002	10002	14	62151	0	3	82.83	89.73	12.29	84.32	92.4	11.46	0	0	0	0	0	160002	45	0		//	베르타(배틀존개설)			
	10002	10002	1	62152	0	3	87.78	200.8	13.51	87.98	202.48	13.51	0	0	0	0	0	160002	32	0		//	아나스(발키리상점)			
	10002	10002	2	62153	0	3	130	151.3	14.24	133.14	151.96	14.36	0	0	0	0	0	160005	46	0		//	마티(창고)			
	10002	10002	1	62154	0	3	101.52	188.68	13.18	101.81	192.73	13.44	0	0	0	0	0	160002	30	0		//	루츠(버서커상점)			
	10002	10002	1	62155	0	3	94.8	228.35	13.28	93.77	226.57	13.53	0	0	0	0	0	160002	31	0		//	아비스(드래곤나이트상점)			
	10002	10002	1	62156	0	3	67.35	233.91	11.77	69.84	230.46	12.06	0	0	0	0	0	160002	33	0		//	미스텔(엘리멘탈리스트상점)			
	10002	10002	1	62157	0	3	162.88	129.2	15.86	163.3	131	15.85	0	0	0	0	0	160002	37	0		//	우도(잡화상점)			
	//10002	10002	4	62158	0	3	175.47	160.53	16	172.67	160.76	15.98	0	0	0	0	0	160003	35	0		//	슈마커(제조)			
	10002	10002	5	62159	0	1	111.06	83.18	11.4	111.35	84.95	11.41	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10002	10002	5	62160	0	1	104.75	88.82	11.39	100.86	91.31	11.37	1	85.23	95.15	11.44	0	0	43	0		//	맬콤(마을경비이동형)			
	10002	10002	5	62161	0	1	126.16	199.91	30.51	126.16	201.78	30.51	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10002	10002	5	62162	0	1	125.15	230.37	30.51	124.8	227.05	30.51	1	136.28	218.06	29.76	0	0	43	0		//	맬콤(마을경비이동형)			
	10002	10002	5	62163	0	1	97.29	92.39	11.38	98.89	99.2	11.23	2	0	0	0	7	0	43	0		//	맬콤(마을경비랜덤이동)			
	10002	10002	5	62164	0	1	231.74	97.87	47.65	228.71	98.85	46.61	1	219.64	98.44	41.35	0	0	43	0		//	맬콤(마을경비이동형)			
	10002	10002	5	62165	0	1	218.99	94.56	41.08	223.77	95.95	43.83	1	232.18	94.29	47.96	0	0	43	0		//	맬콤(마을경비이동형)			
	10002	10002	5	62166	0	1	86.89	130.48	10.71	88.87	134.16	8.52	1	99.06	144.45	8.52	0	0	43	0		//	맬콤(마을경비이동형)			
	10002	10002	5	62167	0	1	235.93	107.42	48.63	230.86	105.04	47.36	0	0	0	0	0	0	43	0		//	맬콤(마을경비)			
	10002	10002	1	62168	0	3	122.28	188.56	14.75	122.51	184.84	13.94	0	0	0	0	0	160002	37	0		//	헬가(배틀존개설)			
	//10002	10002	14	62169	0	3	181.42	266.65	41.81	181.56	262.96	41.13	0	0	0	0	0	160002	45	0		//	잉그리트(배틀존개설)			
	10002	10002	1	62170	0	3	240.52	222.05	48.96	222.54	220.38	48.49	0	0	0	0	0	160002	37	0		//	지볼트(잡화상점)			
	10002	10002	1	62171	0	3	226.83	238.57	48.6	225.47	236.89	48.37	0	0	0	0	0	160002	31	0		//	코르닉스(드래곤나이트상점)			
	10002	10002	1	62172	0	3	235.64	228.45	49.27	234.27	227.82	49.21	0	0	0	0	0	160002	33	0		//	세르(엘리멘탈리스트상점)			
	10002	10002	1	62173	0	3	237.23	204.92	48.72	234.6	205.19	48.71	0	0	0	0	0	160002	32	0		//	페니체(발키리상점)			
	10002	10002	1	62174	0	3	236.32	167.17	49.11	235.48	167.25	49.1	0	0	0	0	0	160002	30	0		//	리제(버서커상점)			
	10002	10002	7	62176	0	3	190.9	209.77	21.81	188.8	206.6	21.05	0	0	0	0	0	0	40	0		//	에리스(길드관리인)			
	//10002	10002	0	63270	0	0	246.59	134.87	49.09	243.43	133.13	49.01	2	0	0	0	15	0	2	0		//	토끼1(벨트헨)			
	//10002	10002	0	63271	0	0	248.42	122.44	48.92	242.02	124.18	48.84	2	0	0	0	15	0	2	0		//	토끼2(벨트헨)			
	//10002	10002	0	63272	0	0	152.29	187.53	15.57	154.35	189.74	15.73	2	0	0	0	15	0	2	0		//	토끼3(벨트헨)			
	//10002	10002	0	63273	0	0	154.63	196.69	15.86	152.15	198.53	15.83	2	0	0	0	15	0	2	0		//	토끼4(벨트헨)			
	//10002	10002	0	63274	0	0	68.11	102.45	11.59	69.38	103.52	11.59	2	0	0	0	15	0	2	0		//	닭(벨트헨)			
	//10002	10002	0	63275	0	0	83.1	208.45	13.5	84.4	208.46	13.5	2	0	0	0	15	0	2	0		//	닭(벨트헨)			
	//10002	10002	0	63276	0	0	80.57	209.33	13.28	82.49	212.15	13.45	2	0	0	0	15	0	2	0		//	닭(벨트헨)			
	//10002	10002	0	63277	0	0	185.62	214.79	21.9	183.82	217.16	21.85	2	0	0	0	15	0	2	0		//	닭(벨트헨)			
	//10002	10002	0	63278	0	0	191.41	262.28	41.64	188.34	260.23	41.48	2	0	0	0	15	160010	2	0		//	산양(벨트헨)			
	10002	10002	14	62178	0	3	242.58	128.38	49.77	239.48	130.23	48.92	0	0	0	0	0	0	45	0		//	에델린(방생성)			
	10002	10002	4	62180	0	3	51.7	117.98	11.54	55.02	118.23	11.57	0	0	0	0	0	160003	36	0		//	빌로트(강화)			
	10002	10002	4	62181	0	3	233.71	148.92	49	231.33	149.13	48.98	0	0	0	0	0	160004	35	0		//	기란드로(악세서리제조)			
	10002	10002	14	63811	0	3	104.32	84.54	11.39	102.49	89.44	11.38	0	0	0	0	0	0	47	0		//	경비대장본카를로안(퀘스트)			
	10002	10002	15	63902	0	3	129.11	190.36	13.88	129.93	188.97	13.83	0	0	0	0	0	0	41	0		//	연금술사아인(이벤트)			
	10002	10002	14	63815	0	3	183.61	222.15	21.81	180.35	219.68	21.8	0	0	0	0	0	0	41	0		//	란테(원로원벨트헨지부)			
	10002	10002	14	63816	0	3	178.39	167.18	16.01	175.15	167.55	15.99	0	0	0	0	0	0	41	0		//	이르한나(클랜소속원)			
	10002	10002	14	62189	0	3	188.66	184.04	16.28	187.05	184.51	16.24	0	0	0	0	0	0	41	0		//	그레이엄(미션랭킹관리자)	변경		
	10002	10002	17	62190	1	3	53.35	112.63	11.57	55.58	113.82	11.59	0	0	0	0	0	0	37	0		//	개인상점게시판(벨트헨)			
	//10002	10002	18	62191	0	3	187.6	181.96	16	187.05	184.51	16.24	0	0	0	0	0	0	41	0		//	알렌(포인트랭킹관리자)			
	//10002	10002	8	62047	0	3	156.14	158.64	15.87	157.25	156.03	15.88	0	0	0	0	0	0	40	0		//	길드전 관리자(길드전 관리자)			
