//랜덤옵션으로 사용할 옵션종류를 입력하는 스크립트												
//		아이템스크립트와 입력방식 동일			일반용	캐시용	천분율 적용					
//색인	순서	 옵션발동조건	옵션종류	"수치타입(1 : 수치, 2 :비율)"	램덤값인덱스 (RandomItemValue.txt 참조)	램덤값인덱스 (RandomItemValue.txt 참조)	 발생확률 (1000)					
Index	Order	ExerciseEffect	OptionKind	OptionValueType	RandomValueIndex1	RandomValueIndex2	Ratio	FieldEnd				
109	1	1	32	1	1009	1009	1000		//	모든스탯	9	13
110	1	1	32	1	1010	1010	1000		//	모든스탯	10	14
111	1	1	32	1	1011	1011	1000		//	모든스탯	11	15
112	1	1	32	1	1012	1012	1000		//	모든스탯	12	16
113	1	1	32	1	1013	1013	1000		//	모든스탯	13	17
114	1	1	32	1	1014	1014	1000		//	모든스탯	14	18
115	1	1	32	1	1015	1015	1000		//	모든스탯	15	19
116	1	1	32	1	1016	1016	1000		//	모든스탯	16	20
117	1	1	32	1	1017	1017	1000		//	모든스탯	17	21
118	1	1	32	1	1018	1018	1000		//	모든스탯	18	22
//힘(201 ~ 300)												
201	1	1	23	1	1001	1001	1000		//	힘	1	5
202	1	1	23	1	1002	1002	1000		//	힘	2	6
203	1	1	23	1	1003	1003	1000		//	힘	3	7
204	1	1	23	1	1004	1004	1000		//	힘	4	8
205	1	1	23	1	1005	1005	1000		//	힘	5	9
206	1	1	23	1	1030	1030	1000		//	힘	30	34
207	1	1	23	1	1006	1006	1000		//	힘	6	10
208	1	1	23	1	1007	1007	1000		//	힘	7	11
209	1	1	23	1	1008	1008	1000		//	힘	8	12
210	1	1	23	1	1009	1009	1000		//	힘	9	13
211	1	1	23	1	1010	1010	1000		//	힘	10	14
//민첩(301 ~ 400)												
301	1	1	24	1	1001	1001	1000		//	민첩	1	5
302	1	1	24	1	1002	1002	1000		//	민첩	2	6
303	1	1	24	1	1003	1003	1000		//	민첩	3	7
304	1	1	24	1	1004	1004	1000		//	민첩	4	8
305	1	1	24	1	1005	1005	1000		//	민첩	5	9
306	1	1	24	1	1030	1030	1000		//	민첩	30	34
307	1	1	24	1	1006	1006	1000		//	민첩	6	10
308	1	1	24	1	1007	1007	1000		//	민첩	7	11
309	1	1	24	1	1008	1008	1000		//	민첩	8	12
310	1	1	24	1	1009	1009	1000		//	민첩	9	13
311	1	1	24	1	1010	1010	1000		//	민첩	10	14
//지력(401 ~ 500)												
401	1	1	25	1	1001	1001	1000		//	지력	1	5
402	1	1	25	1	1002	1002	1000		//	지력	2	6
403	1	1	25	1	1003	1003	1000		//	지력	3	7
404	1	1	25	1	1004	1004	1000		//	지력	4	8
405	1	1	25	1	1005	1005	1000		//	지력	5	9
406	1	1	25	1	1030	1030	1000		//	지력	30	34
407	1	1	25	1	1006	1006	1000		//	지력	6	10
408	1	1	25	1	1007	1007	1000		//	지력	7	11
409	1	1	25	1	1008	1008	1000		//	지력	8	12
410	1	1	25	1	1009	1009	1000		//	지력	9	13
411	1	1	25	1	1010	1010	1000		//	지력	10	14
//체력(501 ~ 600)												
501	1	1	26	1	1001	1001	1000		//	체력	1	5
502	1	1	26	1	1002	1002	1000		//	체력	2	6
503	1	1	26	1	1003	1003	1000		//	체력	3	7
504	1	1	26	1	1004	1004	1000		//	체력	4	8
505	1	1	26	1	1005	1005	1000		//	체력	5	9
506	1	1	26	1	1030	1030	1000		//	체력	30	34
507	1	1	26	1	1006	1006	1000		//	체력	6	10
508	1	1	26	1	1007	1007	1000		//	체력	7	11
509	1	1	26	1	1008	1008	1000		//	체력	8	12
510	1	1	26	1	1009	1009	1000		//	체력	9	13
511	1	1	26	1	1010	1010	1000		//	체력	10	14
//정신력(601 ~ 700)												
601	1	1	27	1	1001	1001	1000		//	정신력	1	5
602	1	1	27	1	1002	1002	1000		//	정신력	2	6
603	1	1	27	1	1003	1003	1000		//	정신력	3	7
604	1	1	27	1	1004	1004	1000		//	정신력	4	8
605	1	1	27	1	1005	1005	1000		//	정신력	5	9
606	1	1	27	1	1030	1030	1000		//	정신력	30	34
607	1	1	27	1	1006	1006	1000		//	정신력	6	10
608	1	1	27	1	1007	1007	1000		//	정신력	7	11
609	1	1	27	1	1008	1008	1000		//	정신력	8	12
610	1	1	27	1	1009	1009	1000		//	정신력	9	13
611	1	1	27	1	1010	1010	1000		//	정신력	10	14
//크리티컬확률(701 ~ 750)												
701	1	1	41	1	1001	1001	1000		//	크리티컬확률(%)	1	5
702	1	1	41	1	1002	1002	1000		//	크리티컬확률(%)	2	6
703	1	1	41	1	1003	1003	1000		//	크리티컬확률(%)	3	7
704	1	1	41	1	1004	1004	1000		//	크리티컬확률(%)	4	8
705	1	1	41	1	1005	1005	1000		//	크리티컬확률(%)	5	9
706	1	1	41	1	1006	1006	1000		//	크리티컬확률(%)	6	10
707	1	1	41	1	1007	1007	1000		//	크리티컬확률(%)	7	11
//방어성공률(751 ~ 800)												
751	1	1	15	1	1001	1001	1000		//	방어성공률(%)	1	5
752	1	1	15	1	1002	1002	1000		//	방어성공률(%)	2	6
753	1	1	15	1	1003	1003	1000		//	방어성공률(%)	3	7
754	1	1	15	1	1004	1004	1000		//	방어성공률(%)	4	8
755	1	1	15	1	1005	1005	1000		//	방어성공률(%)	5	9
756	1	1	15	1	1006	1006	1000		//	방어성공률(%)	6	10
757	1	1	15	1	1007	1007	1000		//	방어성공률(%)	7	11
//이동속도(%)(801 ~ 850)												
801	1	1	14	2	1005	1005	1000		//	이동속도(%)	5	9
802	1	1	14	2	1006	1006	1000		//	이동속도(%)	6	10
803	1	1	14	2	1007	1007	1000		//	이동속도(%)	7	11
804	1	1	14	2	1008	1008	1000		//	이동속도(%)	8	12
805	1	1	14	2	1009	1009	1000		//	이동속도(%)	9	13
806	1	1	14	2	1010	1010	1000		//	이동속도(%)	10	14
899	1	1	14	2	1003	1003	1000		//	이동속도(%)	3	7
//공격속도(%)(851 ~ 900)												
851	1	1	1	2	1005	1005	1000		//	공격속도(%)	5	9
852	1	1	1	2	1006	1006	1000		//	공격속도(%)	6	10
853	1	1	1	2	1007	1007	1000		//	공격속도(%)	7	11
854	1	1	1	2	1008	1008	1000		//	공격속도(%)	8	12
855	1	1	1	2	1009	1009	1000		//	공격속도(%)	9	13
856	1	1	1	2	1010	1010	1000		//	공격속도(%)	10	14
//경험치증가(901 ~ 950)												
901	1	1	45	5	1005	1005	1000		//	경험치증가(%)	5	9
902	1	1	45	5	1006	1006	1000		//	경험치증가(%)	6	10
903	1	1	45	5	1007	1007	1000		//	경험치증가(%)	7	11
904	1	1	45	5	1008	1008	1000		//	경험치증가(%)	8	12
905	1	1	45	5	1009	1009	1000		//	경험치증가(%)	9	13
906	1	1	45	5	1010	1010	1000		//	경험치증가(%)	10	14
//하임증가(951 ~ 1000)												
951	1	1	44	5	1005	1005	1000		//	하임증가(%)	5	9
952	1	1	44	5	1006	1006	1000		//	하임증가(%)	6	10
953	1	1	44	5	1007	1007	1000		//	하임증가(%)	7	11
954	1	1	44	5	1008	1008	1000		//	하임증가(%)	8	12
955	1	1	44	5	1009	1009	1000		//	하임증가(%)	9	13
956	1	1	44	5	1010	1010	1000		//	하임증가(%)	10	14
//사망시부활확률(1001 ~ 1050)												
1001	1	1	52	5	1005	1005	1000		//	사망시부활확률(%)	5	9
1002	1	1	52	5	1006	1006	1000		//	사망시부활확률(%)	6	10
1003	1	1	52	5	1007	1007	1000		//	사망시부활확률(%)	7	11
1004	1	1	52	5	1008	1008	1000		//	사망시부활확률(%)	8	12
1005	1	1	52	5	1009	1009	1000		//	사망시부활확률(%)	9	13
1006	1	1	52	5	1010	1010	1000		//	사망시부활확률(%)	10	14
1007	1	1	52	5	1011	1011	1000		//	사망시부활확률(%)	11	15
1008	1	1	52	5	1012	1012	1000		//	사망시부활확률(%)	12	16
1009	1	1	52	5	1013	1013	1000		//	사망시부활확률(%)	13	17
1010	1	1	52	5	1014	1014	1000		//	사망시부활확률(%)	14	18
1011	1	1	52	5	1015	1015	1000		//	사망시부활확률(%)	15	19
1012	1	1	52	5	1016	1016	1000		//	사망시부활확률(%)	16	20
1013	1	1	52	5	1017	1017	1000		//	사망시부활확률(%)	17	21
1014	1	1	52	5	1018	1018	1000		//	사망시부활확률(%)	18	22
1015	1	1	52	5	1019	1019	1000		//	사망시부활확률(%)	19	23
1016	1	1	52	5	1020	1020	1000		//	사망시부활확률(%)	20	24
//스킬상태무시확률(1051 ~ 1100)												
1051	1	1	60	1	1005	1005	1000		//	스킬상태무시확률(%)	5	9
1052	1	1	60	1	1006	1006	1000		//	스킬상태무시확률(%)	6	10
1053	1	1	60	1	1007	1007	1000		//	스킬상태무시확률(%)	7	11
1054	1	1	60	1	1008	1008	1000		//	스킬상태무시확률(%)	8	12
1055	1	1	60	1	1009	1009	1000		//	스킬상태무시확률(%)	9	13
1056	1	1	60	1	1010	1010	1000		//	스킬상태무시확률(%)	10	14
//모든원소저항률(1101 ~ 1150)												
1100	1	1	36	1	1001	1001	1000		//	모든원소저항률(%)	1	5
1101	1	1	36	1	1005	1005	1000		//	모든원소저항률(%)	5	9
1102	1	1	36	1	1006	1006	1000		//	모든원소저항률(%)	6	10
1103	1	1	36	1	1007	1007	1000		//	모든원소저항률(%)	7	11
1104	1	1	36	1	1008	1008	1000		//	모든원소저항률(%)	8	12
1105	1	1	36	1	1009	1009	1000		//	모든원소저항률(%)	9	13
1106	1	1	36	1	1010	1010	1000		//	모든원소저항률(%)	10	14
1107	1	1	36	1	1011	1011	1000		//	모든원소저항률(%)	11	15
1108	1	1	36	1	1012	1012	1000		//	모든원소저항률(%)	12	16
1150	1	1	36	1	1030	1030	1000		//	모든원소저항률(%)	30	34
//기본방어력(1151 ~ 1200)												
1151	1	1	49	2	1001	1001	1000		//	기본방어력(%)	1	5
1152	1	1	49	2	1002	1002	1000		//	기본방어력(%)	2	6
1153	1	1	49	2	1003	1003	1000		//	기본방어력(%)	3	7
1154	1	1	49	2	1004	1004	1000		//	기본방어력(%)	4	8
1155	1	1	49	2	1005	1005	1000		//	기본방어력(%)	5	9
1156	1	1	49	2	1006	1006	1000		//	기본방어력(%)	6	10
1157	1	1	49	2	1007	1007	1000		//	기본방어력(%)	7	11
1158	1	1	49	2	1008	1008	1000		//	기본방어력(%)	8	12
1159	1	1	49	2	1009	1009	1000		//	기본방어력(%)	9	13
1160	1	1	49	2	1010	1010	1000		//	기본방어력(%)	10	14
1161	1	1	49	2	1011	1011	1000		//	기본방어력(%)	11	15
1162	1	1	49	2	1012	1012	1000		//	기본방어력(%)	12	16
1163	1	1	49	2	1013	1013	1000		//	기본방어력(%)	13	17
1164	1	1	49	2	1014	1014	1000		//	기본방어력(%)	14	18
1165	1	1	49	2	1015	1015	1000		//	기본방어력(%)	15	19
1166	1	1	49	2	1016	1016	1000		//	기본방어력(%)	16	20
1167	1	1	49	2	1017	1017	1000		//	기본방어력(%)	17	21
1168	1	1	49	2	1018	1018	1000		//	기본방어력(%)	18	22
//기본공격력(1201 ~ 1250)												
1201	1	1	47	2	1001	1001	1000		//	기본공격력(%)	1	5
1202	1	1	47	2	1002	1002	1000		//	기본공격력(%)	2	6
1203	1	1	47	2	1003	1003	1000		//	기본공격력(%)	3	7
1204	1	1	47	2	1004	1004	1000		//	기본공격력(%)	4	8
1205	1	1	47	2	1005	1005	1000		//	기본공격력(%)	5	9
1206	1	1	47	2	1006	1006	1000		//	기본공격력(%)	6	10
1207	1	1	47	2	1007	1007	1000		//	기본공격력(%)	7	11
1208	1	1	47	2	1008	1008	1000		//	기본공격력(%)	8	12
1209	1	1	47	2	1009	1009	1000		//	기본공격력(%)	9	13
1210	1	1	47	2	1010	1010	1000		//	기본공격력(%)	10	14
1211	1	1	47	2	1011	1011	1000		//	기본공격력(%)	11	15
1212	1	1	47	2	1012	1012	1000		//	기본공격력(%)	12	16
1213	1	1	47	2	1013	1013	1000		//	기본공격력(%)	13	17
1214	1	1	47	2	1014	1014	1000		//	기본공격력(%)	14	18
1215	1	1	47	2	1015	1015	1000		//	기본공격력(%)	15	19
1216	1	1	47	2	1016	1016	1000		//	기본공격력(%)	16	20
1217	1	1	47	2	1017	1017	1000		//	기본공격력(%)	17	21
1218	1	1	47	2	1018	1018	1000		//	기본공격력(%)	18	22
//스킬공격력(1251 ~ 1300)												
1251	1	1	31	1	1001	1001	1000		//	스킬공격력(%)	1	5
1252	1	1	31	1	1002	1002	1000		//	스킬공격력(%)	2	6
1253	1	1	31	1	1003	1003	1000		//	스킬공격력(%)	3	7
1254	1	1	31	1	1004	1004	1000		//	스킬공격력(%)	4	8
1255	1	1	31	1	1005	1005	1000		//	스킬공격력(%)	5	9
1256	1	1	31	1	1006	1006	1000		//	스킬공격력(%)	6	10
1257	1	1	31	1	1007	1007	1000		//	스킬공격력(%)	7	11
1258	1	1	31	1	1008	1008	1000		//	스킬공격력(%)	8	12
1259	1	1	31	1	1009	1009	1000		//	스킬공격력(%)	9	13
1260	1	1	31	1	1010	1010	1000		//	스킬공격력(%)	10	14
1261	1	1	31	1	1011	1011	1000		//	스킬공격력(%)	11	15
1262	1	1	31	1	1012	1012	1000		//	스킬공격력(%)	12	16
1263	1	1	31	1	1013	1013	1000		//	스킬공격력(%)	13	17
1264	1	1	31	1	1014	1014	1000		//	스킬공격력(%)	14	18
1265	1	1	31	1	1015	1015	1000		//	스킬공격력(%)	15	19
1266	1	1	31	1	1016	1016	1000		//	스킬공격력(%)	16	20
1267	1	1	31	1	1017	1017	1000		//	스킬공격력(%)	17	21
1268	1	1	31	1	1018	1018	1000		//	스킬공격력(%)	18	22
1269	1	1	31	1	1019	1019	1000		//	스킬공격력(%)	19	23
1270	1	1	31	1	1020	1020	1000		//	스킬공격력(%)	20	24
//크리티컬데미지(1301 ~ 1350)												
1301	1	1	42	2	1001	1001	1000		//	크리티컬데미지(%)	1	5
1302	1	1	42	2	1002	1002	1000		//	크리티컬데미지(%)	2	6
1303	1	1	42	2	1003	1003	1000		//	크리티컬데미지(%)	3	7
1304	1	1	42	2	1004	1004	1000		//	크리티컬데미지(%)	4	8
1305	1	1	42	2	1005	1005	1000		//	크리티컬데미지(%)	5	9
1306	1	1	42	2	1006	1006	1000		//	크리티컬데미지(%)	6	10
1307	1	1	42	2	1007	1007	1000		//	크리티컬데미지(%)	7	11
1308	1	1	42	2	1008	1008	1000		//	크리티컬데미지(%)	8	12
1309	1	1	42	2	1009	1009	1000		//	크리티컬데미지(%)	9	13
1310	1	1	42	2	1010	1010	1000		//	크리티컬데미지(%)	10	14
1311	1	1	42	2	1011	1011	1000		//	크리티컬데미지(%)	11	15
1312	1	1	42	2	1012	1012	1000		//	크리티컬데미지(%)	12	16
1313	1	1	42	2	1013	1013	1000		//	크리티컬데미지(%)	13	17
1314	1	1	42	2	1014	1014	1000		//	크리티컬데미지(%)	14	18
1315	1	1	42	2	1015	1015	1000		//	크리티컬데미지(%)	15	19
1316	1	1	42	2	1016	1016	1000		//	크리티컬데미지(%)	16	20
1317	1	1	42	2	1017	1017	1000		//	크리티컬데미지(%)	17	21
1318	1	1	42	2	1018	1018	1000		//	크리티컬데미지(%)	18	22
1319	1	1	42	2	1019	1019	1000		//	크리티컬데미지(%)	19	23
1320	1	1	42	2	1020	1020	1000		//	크리티컬데미지(%)	20	24
//고정확률(1351 ~ 1500)												
1351	1	1	55	5	2000	2000	1000		//	조합성공률(%)	1	1
1352	1	1	54	1	2000	2000	1000		//	럭키몬스터추가데미지	1	1
1353	1	1	14	2	1999	1999	1000		//	이동속도(%)	10	10
1354	1	1	14	2	1998	1998	1000		//	이동속도(%)	15	15
1355	1	1	108	5	1997	1997	1000		//	최대데미지발생확률(%)	5	5
1356	1	1	73	5	1997	1997	1000		//	추가데미지(%)	5	5
1357	1	1	43	5	2000	2000	1000		//	데미지반사확률(%)	1	1
1358	1	1	14	2	1996	1996	1000		//	이동속도(%)	20	20
1359	1	1	44	5	1997	1997	1000		//	하임증가(%)	5	5
1360	1	1	34	2	1995	1995	1000		//	MP소모량감소(비율)	-10	-10
//모든원소공격력(1501 ~ 1600)												
1501	1	1	35	1	1201	1201	1000		//	모든원소공격력	5	45
1502	1	1	35	1	1202	1202	1000		//	모든원소공격력	10	50
1503	1	1	35	1	1203	1203	1000		//	모든원소공격력	15	55
1504	1	1	35	1	1204	1204	1000		//	모든원소공격력	20	60
1505	1	1	35	1	1205	1205	1000		//	모든원소공격력	25	65
1506	1	1	35	1	1206	1206	1000		//	모든원소공격력	30	70
1507	1	1	35	1	1207	1207	1000		//	모든원소공격력	35	75
1508	1	1	35	1	1208	1208	1000		//	모든원소공격력	40	80
1509	1	1	35	1	1302	1302	1000		//	모든원소공격력	50	150
1510	1	1	35	1	1303	1303	1000		//	모든원소공격력	75	175
1511	1	1	35	1	1304	1304	1000		//	모든원소공격력	100	200
1512	1	1	35	1	1305	1305	1000		//	모든원소공격력	125	225
1513	1	1	35	1	1306	1306	1000		//	모든원소공격력	150	250
1514	1	1	35	1	1307	1307	1000		//	모든원소공격력	175	275
1515	1	1	35	1	1308	1308	1000		//	모든원소공격력	200	300
1516	1	1	35	1	1309	1309	1000		//	모든원소공격력	225	325
1517	1	1	35	1	1310	1310	1000		//	모든원소공격력	250	350
1518	1	1	35	1	1311	1311	1000		//	모든원소공격력	275	375
1519	1	1	35	1	1312	1312	1000		//	모든원소공격력	300	400
1520	1	1	35	1	1316	1316	1000		//	모든원소공격력	400	500
//불원소공격력(1601 ~ 1700)												
1601	1	1	3	1	1201	1201	1000		//	불원소공격력	5	45
1602	1	1	3	1	1202	1202	1000		//	불원소공격력	10	50
1603	1	1	3	1	1203	1203	1000		//	불원소공격력	15	55
1604	1	1	3	1	1204	1204	1000		//	불원소공격력	20	60
1605	1	1	3	1	1205	1205	1000		//	불원소공격력	25	65
1606	1	1	3	1	1206	1206	1000		//	불원소공격력	30	70
1607	1	1	3	1	1207	1207	1000		//	불원소공격력	35	75
1608	1	1	3	1	1208	1208	1000		//	불원소공격력	40	80
1609	1	1	3	1	1302	1302	1000		//	불원소공격력	50	150
1610	1	1	3	1	1303	1303	1000		//	불원소공격력	75	175
1611	1	1	3	1	1304	1304	1000		//	불원소공격력	100	200
1612	1	1	3	1	1305	1305	1000		//	불원소공격력	125	225
1613	1	1	3	1	1306	1306	1000		//	불원소공격력	150	250
1614	1	1	3	1	1307	1307	1000		//	불원소공격력	175	275
1615	1	1	3	1	1308	1308	1000		//	불원소공격력	200	300
1616	1	1	3	1	1309	1309	1000		//	불원소공격력	225	325
1617	1	1	3	1	1310	1310	1000		//	불원소공격력	250	350
1618	1	1	3	1	1311	1311	1000		//	불원소공격력	275	375
1619	1	1	3	1	1312	1312	1000		//	불원소공격력	300	400
1620	1	1	3	1	1313	1313	1000		//	불원소공격력	325	425
1621	1	1	3	1	1314	1314	1000		//	불원소공격력	350	450
1622	1	1	3	1	1315	1315	1000		//	불원소공격력	375	475
1623	1	1	3	1	1316	1316	1000		//	불원소공격력	400	500
//물원소공격력(1701 ~ 1800)												
1701	1	1	4	1	1201	1201	1000		//	물원소공격력	5	45
1702	1	1	4	1	1202	1202	1000		//	물원소공격력	10	50
1703	1	1	4	1	1203	1203	1000		//	물원소공격력	15	55
1704	1	1	4	1	1204	1204	1000		//	물원소공격력	20	60
1705	1	1	4	1	1205	1205	1000		//	물원소공격력	25	65
1706	1	1	4	1	1206	1206	1000		//	물원소공격력	30	70
1707	1	1	4	1	1207	1207	1000		//	물원소공격력	35	75
1708	1	1	4	1	1208	1208	1000		//	물원소공격력	40	80
1709	1	1	4	1	1302	1302	1000		//	물원소공격력	50	150
1710	1	1	4	1	1303	1303	1000		//	물원소공격력	75	175
1711	1	1	4	1	1304	1304	1000		//	물원소공격력	100	200
1712	1	1	4	1	1305	1305	1000		//	물원소공격력	125	225
1713	1	1	4	1	1306	1306	1000		//	물원소공격력	150	250
1714	1	1	4	1	1307	1307	1000		//	물원소공격력	175	275
1715	1	1	4	1	1308	1308	1000		//	물원소공격력	200	300
1716	1	1	4	1	1309	1309	1000		//	물원소공격력	225	325
1717	1	1	4	1	1310	1310	1000		//	물원소공격력	250	350
1718	1	1	4	1	1311	1311	1000		//	물원소공격력	275	375
1719	1	1	4	1	1312	1312	1000		//	물원소공격력	300	400
1720	1	1	4	1	1313	1313	1000		//	물원소공격력	325	425
1721	1	1	4	1	1314	1314	1000		//	물원소공격력	350	450
1722	1	1	4	1	1315	1315	1000		//	물원소공격력	375	475
1723	1	1	4	1	1316	1316	1000		//	물원소공격력	400	500
//대지원소공격력(1801 ~ 1900)												
1801	1	1	5	1	1201	1201	1000		//	대지원소공격력	5	45
1802	1	1	5	1	1202	1202	1000		//	대지원소공격력	10	50
1803	1	1	5	1	1203	1203	1000		//	대지원소공격력	15	55
1804	1	1	5	1	1204	1204	1000		//	대지원소공격력	20	60
1805	1	1	5	1	1205	1205	1000		//	대지원소공격력	25	65
1806	1	1	5	1	1206	1206	1000		//	대지원소공격력	30	70
1807	1	1	5	1	1207	1207	1000		//	대지원소공격력	35	75
1808	1	1	5	1	1208	1208	1000		//	대지원소공격력	40	80
1809	1	1	5	1	1302	1302	1000		//	대지원소공격력	50	150
1810	1	1	5	1	1303	1303	1000		//	대지원소공격력	75	175
1811	1	1	5	1	1304	1304	1000		//	대지원소공격력	100	200
1812	1	1	5	1	1305	1305	1000		//	대지원소공격력	125	225
1813	1	1	5	1	1306	1306	1000		//	대지원소공격력	150	250
1814	1	1	5	1	1307	1307	1000		//	대지원소공격력	175	275
1815	1	1	5	1	1308	1308	1000		//	대지원소공격력	200	300
1816	1	1	5	1	1309	1309	1000		//	대지원소공격력	225	325
1817	1	1	5	1	1310	1310	1000		//	대지원소공격력	250	350
1818	1	1	5	1	1311	1311	1000		//	대지원소공격력	275	375
1819	1	1	5	1	1312	1312	1000		//	대지원소공격력	300	400
1820	1	1	5	1	1313	1313	1000		//	대지원소공격력	325	425
1821	1	1	5	1	1314	1314	1000		//	대지원소공격력	350	450
1822	1	1	5	1	1315	1315	1000		//	대지원소공격력	375	475
1823	1	1	5	1	1316	1316	1000		//	대지원소공격력	400	500
//바람원소공격력(1901 ~ 2000)												
1901	1	1	6	1	1201	1201	1000		//	바람원소공격력	5	45
1902	1	1	6	1	1202	1202	1000		//	바람원소공격력	10	50
1903	1	1	6	1	1203	1203	1000		//	바람원소공격력	15	55
1904	1	1	6	1	1204	1204	1000		//	바람원소공격력	20	60
1905	1	1	6	1	1205	1205	1000		//	바람원소공격력	25	65
1906	1	1	6	1	1206	1206	1000		//	바람원소공격력	30	70
1907	1	1	6	1	1207	1207	1000		//	바람원소공격력	35	75
1908	1	1	6	1	1208	1208	1000		//	바람원소공격력	40	80
1909	1	1	6	1	1302	1302	1000		//	바람원소공격력	50	150
1910	1	1	6	1	1303	1303	1000		//	바람원소공격력	75	175
1911	1	1	6	1	1304	1304	1000		//	바람원소공격력	100	200
1912	1	1	6	1	1305	1305	1000		//	바람원소공격력	125	225
1913	1	1	6	1	1306	1306	1000		//	바람원소공격력	150	250
1914	1	1	6	1	1307	1307	1000		//	바람원소공격력	175	275
1915	1	1	6	1	1308	1308	1000		//	바람원소공격력	200	300
1916	1	1	6	1	1309	1309	1000		//	바람원소공격력	225	325
1917	1	1	6	1	1310	1310	1000		//	바람원소공격력	250	350
1918	1	1	6	1	1311	1311	1000		//	바람원소공격력	275	375
1919	1	1	6	1	1312	1312	1000		//	바람원소공격력	300	400
1920	1	1	6	1	1313	1313	1000		//	바람원소공격력	325	425
1921	1	1	6	1	1314	1314	1000		//	바람원소공격력	350	450
1922	1	1	6	1	1315	1315	1000		//	바람원소공격력	375	475
1923	1	1	6	1	1316	1316	1000		//	바람원소공격력	400	500
//암흑원소공격력(2001 ~ 2100)												
2001	1	1	7	1	1201	1201	1000		//	암흑원소공격력	5	45
2002	1	1	7	1	1202	1202	1000		//	암흑원소공격력	10	50
2003	1	1	7	1	1203	1203	1000		//	암흑원소공격력	15	55
2004	1	1	7	1	1204	1204	1000		//	암흑원소공격력	20	60
2005	1	1	7	1	1205	1205	1000		//	암흑원소공격력	25	65
2006	1	1	7	1	1206	1206	1000		//	암흑원소공격력	30	70
2007	1	1	7	1	1207	1207	1000		//	암흑원소공격력	35	75
2008	1	1	7	1	1208	1208	1000		//	암흑원소공격력	40	80
