//복권스크립트_국내																																	
//					소모성 아이템일 경우 해당 아이템의 개수 설정																												
//			0 아이템 스크립트와 연결		장비 아이템일 경우 해당 아이템의 등급 설정																												
//			1 드랍 스크립트와 연결		드랍 스크립트와 연결 시 드랍 스크립트 내의 IGType을 사용																												
//	복권ID	아이템개수	랜덤유무1	아이템코드1	아이템타입1	랜덤유무2	아이템코드2	아이템타입2	랜덤유무3	아이템코드3	아이템타입3	랜덤유무4	아이템코드4	아이템타입4	랜덤유무5	아이템코드5	아이템타입5	랜덤유무6	아이템코드6	아이템타입6	랜덤유무7	아이템코드7	아이템타입7	랜덤유무8	아이템코드8	아이템타입8							
	LotteryID	ItemNum	Random1	ItemCode1	IGType1	Random2	ItemCode2	IGType2	Random3	ItemCode3	IGType3	Random4	ItemCode4	IGType4	Random5	ItemCode5	IGType5	Random6	ItemCode6	IGType6	Random7	ItemCode7	IGType7	Random8	ItemCode8	IGType8	FieldEnd						
	18	1	0	55602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원경품상자6등급_보석						
	19	1	0	55602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원경품상자1등급_방어구						
	20	1	0	55602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원경품상자2등급_방어구						
	21	1	0	55602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원경품상자3등급_방어구						
	22	1	0	55602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원경품상자4등급_방어구						
	23	1	0	55602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원경품상자5등급_방어구						
	24	1	0	55602	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원경품상자6등급_방어구						
	25	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상1등급_버서커						
	26	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상2등급_버서커						
	27	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상3등급_버서커						
	28	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상4등급_버서커						
	29	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상5등급_버서커						
	30	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상6등급_버서커						
	31	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상1등급_드래곤						
	32	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상2등급_드래곤						
	33	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상3등급_드래곤						
	34	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상4등급_드래곤						
	35	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상5등급_드래곤						
	36	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상6등급_드래곤						
	37	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상1등급_섀도우						
	38	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상2등급_섀도우						
	39	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상3등급_섀도우						
	40	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상4등급_섀도우						
	41	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상5등급_섀도우						
	42	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상6등급_섀도우						
	43	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상1등급_발키리						
	44	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상2등급_발키리						
	45	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상3등급_발키리						
	46	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상4등급_발키리						
	47	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상5등급_발키리						
	48	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상6등급_발키리						
	49	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상1등급_엘리						
	50	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상2등급_엘리						
	51	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상3등급_엘리						
	52	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상4등급_엘리						
	53	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상5등급_엘리						
	54	1	0	55603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원우승자보상6등급_엘리						
	55	1	1	30193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//타락한사원캐쉬아이템이벤트경품상자						
	56	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//08년크리스마스이벤트경품복권_국내						
	57	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//08년크리스마스이벤트경품복권_국내						
	58	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//08년크리스마스이벤트경품복권_국내						
	60	7	0	9026	2	0	4015	15	0	65014	5	0	6847	1	0	4196	15	0	4102	10	0	4107	10	0	0	0	//선물상자(20레벨)_친구초대이벤트						
	61	7	0	9027	2	0	4015	30	0	65014	5	0	6847	10	0	4196	30	0	4109	10	0	4118	10	0	0	0	//선물상자(40레벨)_친구초대이벤트						
	62	7	0	47027	2	0	4121	15	0	65014	10	0	6848	10	0	4197	15	0	4104	10	0	4108	10	0	0	0	//선물상자(60레벨)_친구초대이벤트						
	63	8	0	47103	2	0	4121	30	0	65014	10	0	6848	25	0	4197	30	0	4117	10	0	4119	10	0	3319	1	//선물상자(80레벨)_친구초대이벤트						
	64	6	0	4702	3	0	6655	10	0	7246	5	0	7250	5	0	6528	2	0	40298	1	0	0	0	0	0	0	//야수의보물상자_AC(사용안함)						
	65	6	0	4702	4	0	6632	5	0	7247	5	0	7251	5	0	6528	2	0	40299	1	0	0	0	0	0	0	//암흑의보물상자_AC(사용안함)						
	66	6	0	4952	5	0	6634	5	0	7247	10	0	7251	10	0	6528	3	0	40300	1	0	0	0	0	0	0	//얼음의보물상자_AC(사용안함)						
	67	7	0	4952	5	0	4703	1	0	6633	5	0	7247	20	0	7251	20	0	6528	3	0	40301	1	0	0	0	//화염의보물상자_AC(사용안함)						
	68	7	0	4952	5	0	4703	1	0	6633	10	0	7247	30	0	7251	30	0	6528	5	0	40302	1	0	0	0	//공동묘지의보물상자_AC(사용안함)						
	69	5	1	50875	0	1	50875	0	1	50875	0	1	50875	0	1	50875	0	0	0	0	0	0	0	0	0	0	//드리아드스의보물상자_대지의시련						
	70	5	1	50876	0	1	50876	0	1	50876	0	1	50876	0	1	50876	0	0	0	0	0	0	0	0	0	0	//나이아드스의보물상자_물의시련						
	71	5	1	50877	0	1	50877	0	1	50877	0	1	50877	0	1	50877	0	0	0	0	0	0	0	0	0	0	//오레아드스의보물상자_불의시련						
	72	5	1	50878	0	1	50878	0	1	50878	0	1	50878	0	1	50878	0	0	0	0	0	0	0	0	0	0	//나파에아스의보물상자_바람의시련						
	73	5	1	50879	0	1	50879	0	1	50879	0	1	50879	0	1	50879	0	0	0	0	0	0	0	0	0	0	//네레이드의보물상자_어둠의시련						
	74	1	1	95001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//하임상자						
	75	8	0	7204	1	0	7271	2	0	4153	1	0	4031	1	0	6655	1	0	6870	1	0	4703	1	0	4952	1	//슈제트의선물1번째						
	76	8	0	7204	2	0	7271	3	0	4153	1	0	4031	2	0	6655	1	0	6870	1	0	4703	1	0	4952	1	//슈제트의선물2번째						
	77	8	0	7205	1	0	7273	2	0	4172	1	0	4031	3	0	6655	2	0	6870	1	0	4703	1	0	4952	1	//슈제트의선물3번째						
	78	8	0	7205	2	0	7273	3	0	4172	1	0	4032	2	0	6655	2	0	6870	1	0	4703	1	0	4952	1	//슈제트의선물4번째						
	79	8	0	7205	2	0	7273	4	0	4172	1	0	4032	3	0	6632	1	0	6870	1	0	4703	1	0	4952	1	//슈제트의선물5번째						
	80	8	0	7206	1	0	7275	3	0	4176	1	0	4032	4	0	6632	1	0	40421	1	0	40420	1	0	40422	1	//슈제트의선물6번째						
	81	8	0	7206	2	0	7275	5	0	4176	1	0	4034	2	0	6632	2	0	40421	2	0	40420	1	0	40422	1	//슈제트의선물7번째						
	82	4	0	6655	10	0	4977	10	0	4952	1	0	40298	1	0	0	0	0	0	0	0	0	0	0	0	0	//야수의보물상자_AC						
	83	4	0	6632	5	0	4977	20	0	4952	1	0	40299	1	0	0	0	0	0	0	0	0	0	0	0	0	//암흑의보물상자_AC						
	84	4	0	6634	5	0	4977	30	0	4952	1	0	40300	1	0	0	0	0	0	0	0	0	0	0	0	0	//얼음의보물상자_AC						
	85	4	0	6633	5	0	4978	10	0	4952	1	0	40301	1	0	0	0	0	0	0	0	0	0	0	0	0	//화염의보물상자_AC						
	86	4	0	6633	10	0	4978	20	0	4952	1	0	40302	1	0	0	0	0	0	0	0	0	0	0	0	0	//공동묘지의보물상자_AC						
	87	1	1	95002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//은빛상자						
	88	1	1	95003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//금빛상자						
//	89	1	1	95463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//일본럭셔리티켓(1000엔)_섀도우						
//	90	1	1	95464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//일본럭셔리티켓프티(500엔)_섀도우						
//	91	1	1	95465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//일본럭셔리티켓미디(특별)_섀도우						
//	92	1	1	95451	0	1	95451	0	1	95451	0	1	95451	0	1	95451	0	1	95451	0	1	95451	0	1	95451	0	//중국초급보물상자_버서커						
//	93	1	1	95452	0	1	95452	0	1	95452	0	1	95452	0	1	95452	0	1	95452	0	1	95452	0	1	95452	0	//중국초급보물상자_드래곤나이트						
//	94	1	1	95453	0	1	95453	0	1	95453	0	1	95453	0	1	95453	0	1	95453	0	1	95453	0	1	95453	0	//중국초급보물상자_발키리						
//	95	1	1	95454	0	1	95454	0	1	95454	0	1	95454	0	1	95454	0	1	95454	0	1	95454	0	1	95454	0	//중국초급보물상자_엘리멘탈						
//	96	1	1	95455	0	1	95455	0	1	95455	0	1	95455	0	1	95455	0	1	95455	0	1	95455	0	1	95455	0	//중국초급보물상자_섀도우						
//	97	1	1	95456	0	1	95456	0	1	95456	0	1	95456	0	1	95456	0	1	95456	0	1	95456	0	1	95456	0	//중국중급보물상자_All						
//	98	1	1	95457	0	1	95457	0	1	95457	0	1	95457	0	1	95457	0	1	95457	0	1	95457	0	1	95457	0	//중국고급보물상자_All						
//	99	1	1	68	0	1	68	0	1	68	0	1	68	0	1	68	0	1	68	0	1	68	0	1	68	0	//중국국경절이벤트보상						
//	100	1	1	95451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//북미복권_버서커						
//	101	1	1	95452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//북미복권_드래곤나이트						
//	102	1	1	95453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//북미복권_발키리						
//	103	1	1	95454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//북미복권_엘리멘탈리스트						
	104	1	1	95004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//달빛상자						
	105	1	1	95005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//별빛상자						
	106	5	0	40564	1	0	40565	1	0	40566	1	0	40567	1	0	40568	1	0	0	0	0	0	0	0	0	0	//저주받은탑인장세트						
	107	1	1	50904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//연금술상자						
	108	1	1	50905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//악어의위장						
	109	1	1	50906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//괴조의위장						
	110	1	1	50907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//가네사의연금술장치						
	111	1	1	50908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//연금술상자						
	112	1	1	50909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//마법사의구슬						
	113	1	1	50910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//검은구슬						
	114	1	1	50911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//배터리상자						
	115	6	0	7271	2	0	4031	1	0	6655	1	0	6870	1	0	4703	1	0	4952	1	0	0	0	0	0	0	//사제의선물1						
	116	6	0	7272	3	0	4031	2	0	6655	1	0	6870	1	0	4703	1	0	4952	1	0	0	0	0	0	0	//사제의선물2						
	117	6	0	7273	2	0	4031	3	0	6655	2	0	6870	2	0	4703	2	0	4952	2	0	0	0	0	0	0	//사제의선물3						
	118	6	0	7274	4	0	4032	3	0	6632	1	0	6870	1	0	4703	1	0	4952	1	0	0	0	0	0	0	//이그니스의보급품1						
	119	6	0	7275	3	0	4032	4	0	6632	1	0	40421	2	0	40420	1	0	40422	2	0	0	0	0	0	0	//이그니스의보급품2						
	120	6	0	7275	5	0	4034	4	0	6632	3	0	40421	3	0	40420	2	0	40422	3	0	0	0	0	0	0	//이그니스의보급품3						
	121	1	1	95006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//은빛상자2						
	122	1	1	95007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//금빛상자2						
	123	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//크리스마스행복상자						
	124	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//크리스마스축복상자						
	125	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//크리스마스사랑상자						
	126	1	1	95008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//달빛상자2						
	127	1	1	95009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//별빛상자2						
	128	1	1	95010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//은빛상자3						
	129	1	1	95011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//금빛상자3						
//	130	1	1	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//중국구정이벤트_최고급비단주머니						
//	131	1	1	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//중국구정이벤트_고급비단주머니						
//	132	1	1	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//중국구정이벤트_중급비단주머니						
//	133	1	1	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//중국구정이벤트_초급비단주머니						
//	134	1	1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_장비복권						
//	135	1	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_장비복권						
//	136	8	0	1003	20000	0	1053	20000	0	1103	20000	0	1153	20000	0	1203	20000	0	1253	20000	0	1303	20000	0	1353	20000	//버서커_스텟1						
//	137	8	0	11003	20000	0	11053	20000	0	11103	20000	0	11153	20000	0	11203	20000	0	11253	20000	0	11303	20000	0	11353	20000	//버서커_스텟2						
//	138	8	0	21003	20000	0	21053	20000	0	21103	20000	0	21153	20000	0	21203	20000	0	21253	20000	0	21303	20000	0	21353	20000	//버서커_숙련1						
//	139	8	0	31003	20000	0	31053	20000	0	31103	20000	0	31153	20000	0	31203	20000	0	31253	20000	0	31303	20000	0	31353	20000	//버서커_숙련2						
//	140	8	0	1013	20000	0	1063	20000	0	1113	20000	0	1163	20000	0	1213	20000	0	1263	20000	0	1313	20000	0	1363	20000	//드나_스텟1						
//	141	8	0	11013	20000	0	11063	20000	0	11113	20000	0	11163	20000	0	11213	20000	0	11263	20000	0	11313	20000	0	11363	20000	//드나_스텟2						
//	142	8	0	21013	20000	0	21063	20000	0	21113	20000	0	21163	20000	0	21213	20000	0	21263	20000	0	21313	20000	0	21363	20000	//드나_숙련1						
//	143	8	0	31013	20000	0	31063	20000	0	31113	20000	0	31163	20000	0	31213	20000	0	31263	20000	0	31313	20000	0	31363	20000	//드나_숙련2						
//	144	8	0	1033	20000	0	1083	20000	0	1133	20000	0	1183	20000	0	1233	20000	0	1283	20000	0	1333	20000	0	1383	20000	//발키리_스텟1						
//	145	8	0	11033	20000	0	11083	20000	0	11133	20000	0	11183	20000	0	11233	20000	0	11283	20000	0	11333	20000	0	11383	20000	//발키리_스텟2						
//	146	8	0	21033	20000	0	21083	20000	0	21133	20000	0	21183	20000	0	21233	20000	0	21283	20000	0	21333	20000	0	21383	20000	//발키리_숙련1						
//	147	8	0	31033	20000	0	31083	20000	0	31133	20000	0	31183	20000	0	31233	20000	0	31283	20000	0	31333	20000	0	31383	20000	//발키리_숙련2						
//	148	8	0	1043	20000	0	1093	20000	0	1143	20000	0	1193	20000	0	1243	20000	0	1293	20000	0	1343	20000	0	1393	20000	//엘리_스텟1						
//	149	8	0	11043	20000	0	11093	20000	0	11143	20000	0	11193	20000	0	11243	20000	0	11293	20000	0	11343	20000	0	11393	20000	//엘리_스텟2						
//	150	8	0	21043	20000	0	21093	20000	0	21143	20000	0	21193	20000	0	21243	20000	0	21293	20000	0	21343	20000	0	21393	20000	//엘리_숙련1						
//	151	8	0	31043	20000	0	31093	20000	0	31143	20000	0	31193	20000	0	31243	20000	0	31293	20000	0	31343	20000	0	31393	20000	//엘리_숙련2						
//	152	1	1	50958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//라비모라의선물_로또						
	153	1	1	50959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//크롤리버사의선물_로또						
	154	1	1	50963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//변이된생명체의위장_로또						
//	155	1	1	73084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(PlatinumBox)						
//	156	1	1	73085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(PlatinumBox)						
//	157	1	1	73086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(PlatinumBox)						
//	158	1	1	73087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(PlatinumBox)						
//	159	1	1	73088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(GoldenBox)						
//	160	1	1	73089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(GoldenBox)						
//	161	1	1	73090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(GoldenBox)						
//	162	1	1	73091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(GoldenBox)						
	163	4	0	3405	1	0	3620	1	0	3621	1	0	3622	1	0	0	0	0	0	0	0	0	0	0	0	0	//희색오크피그+2차파츠						
	164	4	0	3408	1	0	3620	1	0	3621	1	0	3622	1	0	0	0	0	0	0	0	0	0	0	0	0	//검정오크피그+2차파츠						
	165	4	0	3402	1	0	3620	1	0	3621	1	0	3622	1	0	0	0	0	0	0	0	0	0	0	0	0	//오크피그+2차파츠						
	166	1	1	95012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//6차복권(100)						
	167	1	1	95013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//6차복권(1000)						
//	168	1	1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(New칼버스복권)						
//	169	1	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(초보_BoxofWonder(B))						
//	170	1	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(초보_BoxofWonder(D))						
//	171	1	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(초보_BoxofWonder(V))						
//	172	1	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//글로벌_P코인 전용 복권(초보_BoxofWonder(E))						
	173	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//국내_태양의씨앗_버서커이벤트아이템						
	174	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//국내_태양의씨앗_드래곤이벤트아이템						
	175	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//국내_태양의씨앗_발키리이벤트아이템						
	176	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	//국내_태양의씨앗_엘리이벤트아이템						
