//pet 관리 정보 스크립트				0. 1~6인챈 효과(없음)									펫UI상태설정		친밀도 값에 따라 옵션은 누적 되지 않습니다. 1개의 옵션만 활성화 																																																																																	
//최초 작성자 : 	이인			1. 7인챈 효과																																																																																												
//최종 작업자 :	정동일			2. 10인챈 효과																																																																																												
//최종 작성일 :	오후 3:24 2008-11-14			3. 12인챈 효과																																																																																												
//version 1.0.0.4				4. 1~6인챈 효과(디바인)																																																																																												
//				5. 7인챈 효과(디바인)																																																																																												
//계열				6. 10인챈 효과(디바인)	포만감 및 친밀도 상승/ 하락값 설정										친밀도 0~20% 											친밀도 21~40%											친밀도 41~59%											친밀도 범위60~99%											친밀도100%																																					
//				7. 12인챈 효과(디바인)																																																																																												
//1		0.9.0.2		0.9.0.2								국내누적설정x	0.8.1.9	0.9.0.4																																																																																		
//인덱스 코드	펫	네임코드	몬스터ID	인챈트효과	포만감상승값1	포만감하락값1	포만감하락값2	친밀도상승값1	친밀도하락값1	친밀도하락값2	AI타입	누적설정	펫UI상태설정	펫위치설정	친밀도 최소범위1	친밀도 최대범위1	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위2	친밀도 최대범위2	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위3	친밀도 최대범위3	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위4	친밀도 최대범위4	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	친밀도 최소범위5	친밀도 최대범위5	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값	옵션종류	수치타입	옵션값																											
dwIndex	Name	NameCode	wMonsterCode	EffectType	byFullnessUp	byFullnessDown1	byFullnessDown2	byIntimacyUp	byIntimacyDown1	byIntimacyDown2	byAIType	Cumulate	PdisplayMove	Pposition	byIntimacyMin1	byIntimacyMax1	wPet1OptionKind1	byPet1ValueType1	iPet1Value1	wPet1OptionKind2	byPet1ValueType2	iPet1Value2	wPet1OptionKind3	byPet1ValueType3	iPet1Value3	byIntimacyMin2	byIntimacyMax2	wPet2OptionKind1	byPet2ValueType1	iPet2Value1	wPet2OptionKind2	byPet2ValueType2	iPet2Value2	wPet2OptionKind3	byPet2ValueType3	iPet2Value3	byIntimacyMin3	byIntimacyMax3	wPet3OptionKind1	byPet3ValueType1	iPet3Value1	wPet3OptionKind2	byPet3ValueType2	iPet3Value2	wPet3OptionKind3	byPet3ValueType3	iPet3Value3	byIntimacyMin4	byIntimacyMax4	wPet4OptionKind1	byPet4ValueType1	iPet4Value1	wPet4OptionKind2	byPet4ValueType2	iPet4Value2	wPet4OptionKind3	byPet4ValueType3	iPet4Value3	byIntimacyMin5	byIntimacyMax5	wPet5OptionKind1	byPet5ValueType1	iPet5Value1	wPet5OptionKind2	byPet5ValueType2	iPet5Value2	wPet5OptionKind3	byPet5ValueType3	iPet5Value3	FieldEnd																										
11	검은날개박쥐	158181	5010	0	3	2	10	3	0	10	0	0	1	1	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	39	1	20	0	0	0	0	0	0	100	100	39	1	40	0	0	0	0	0	0																											
12	고스트	158182	5011	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	43	5	50	0	0	0	0	0	0	100	100	42	2	150	0	0	0	0	0	0																											
13	골렘	158183	5012	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	41	1	3	0	0	0	0	0	0	100	100	41	1	5	0	0	0	0	0	0																											
14	시베리안허스키	158184	5013	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	20	0	0	0	0	0	0	100	100	30	1	40	0	0	0	0	0	0																											
15	도베르만	158185	5014	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	41	1	2	0	0	0	0	0	0	100	100	41	1	4	0	0	0	0	0	0																											
16	세인트버나드	158186	5015	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	41	1	2	0	0	0	0	0	0	100	100	41	1	4	0	0	0	0	0	0																											
17	닥스훈트	158187	5016	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	20	0	0	0	0	0	0	100	100	30	1	40	0	0	0	0	0	0																											
18	에텔레인오색나비	158188	5017	0	3	2	10	3	0	10	0	0	1	1	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	35	1	5	0	0	0	0	0	0	100	100	35	1	10	0	0	0	0	0	0																											
19	팬더	158189	5018	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	51	2	30	0	0	0	0	0	0	100	100	51	2	50	0	0	0	0	0	0																											
20	팽귄	158190	5019	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	1	200	0	0	0	0	0	0	100	100	28	1	400	0	0	0	0	0	0																											
21	버찌드래곤	158191	5020	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	43	5	100	0	0	0	0	0	0	100	100	15	2	100	0	0	0	0	0	0																											
22	복어	158192	5021	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	43	5	50	0	0	0	0	0	0	100	100	42	2	150	0	0	0	0	0	0																											
23	윌베르그독수리	158193	5022	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	14	1	3	0	0	0	0	0	0	100	100	14	1	5	0	0	0	0	0	0																											
24	스노우맨	158194	5023	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	49	1	20	0	0	0	0	0	0	100	100	49	1	40	0	0	0	0	0	0																											
25	리자드맨	158195	5024	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	50	0	0	0	0	0	0	100	100	31	5	100	0	0	0	0	0	0																											
26	데몬	158196	5025	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	1	1	3	0	0	0	0	0	0	100	100	1	1	5	0	0	0	0	0	0																											
27	팬더(GM)	158189	5026	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
28	흰색보름달토끼	158169	5027	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	40	1	20	0	0	0	0	0	0	100	100	40	1	40	0	0	0	0	0	0																											
29	자이언트팬더	158208	5028	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	1	30	0	0	0	0	0	0	100	100	45	5	100	0	0	0	0	0	0																											
30	자이언트팬더	158208	5029	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	1	40	0	0	0	0	0	0	100	100	45	5	150	0	0	0	0	0	0																											
31	질주의팬더	158209	5030	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	32	1	7	0	0	0	0	0	0	100	100	28	2	20	1	1	25	0	0	0																											
32	강인한팬더	158210	5031	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	49	1	100	0	0	0	0	0	0	100	100	50	2	10	49	1	300	0	0	0																											
33	부자팬더	158211	5032	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	44	5	200	0	0	0	0	0	0	100	100	44	5	500	14	1	20	0	0	0																											
34	숙련도팬더	158212	5033	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	15	0	0	0	0	0	0	100	100	35	1	10	31	5	35	0	0	0																											
35	행운의팬더	158213	5034	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	45	5	100	0	0	0	0	0	0	100	100	41	1	5	45	5	150	0	0	0																											
36	작은악마	45283	5035	0	0	0	0	0	0	0	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
37	슈퍼고스트	158216	5011	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	28	1	600	1	2	100	0	0	0	100	100	24	1	30	0	0	0	0	0	0																											
38	슈퍼도베르만	158217	5014	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	1	2	100	0	0	0	0	0	0	100	100	42	1	50	0	0	0	0	0	0																											
39	슈허황색트링겔고양이	158218	5004	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	41	1	20	0	0	0	0	0	0	100	100	1	2	50	0	0	0	0	0	0																											
40	슈허흰색트링겔고양이	158219	5002	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	41	1	20	0	0	0	0	0	0	100	100	40	1	20	0	0	0	0	0	0																											
41	헬하운드	47303	5036	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	45	5	50	44	5	50	0	0	0																											
42	킹슬라임	90146	5037	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	39	1	13	0	0	0	0	0	0	100	100	39	1	27	54	1	1	0	0	0																											
43	오염된거미	90147	5038	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	1	1	2	0	0	0	0	0	0	100	100	1	1	3	54	1	1	0	0	0																											
44	아이스퀸	90148	5039	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	49	1	13	0	0	0	0	0	0	100	100	49	1	27	54	1	1	0	0	0																											
45	황금버찌드래곤	90149	5040	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	43	5	50	0	0	0	0	0	0	100	100	15	1	5	54	1	1	0	0	0																											
46	핌불베트르	90150	5041	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	51	2	20	0	0	0	0	0	0	100	100	51	2	30	54	1	1	0	0	0																											
47	병아리	302148	5042	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	36	1	10	0	0	0	0	0	0	100	100	36	1	15	0	0	0	0	0	0																											
48	흰색트링겔고양이	158173	5002	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	25	1	7	0	0	0	0	0	0	100	100	40	1	50	0	0	0	0	0	0																											
49	노란색트링겔고양이	158242	5004	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	40	1	50	0	0	0	0	0	0	100	100	41	1	5	0	0	0	0	0	0																											
50	자이언트팬더(금빛상자)	158208	5028	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	42	1	30	0	0	0	0	0	0	100	100	45	5	100	0	0	0	0	0	0																											
51	고스트	158182	5011	0	3	2	10	3	0	10	0	0	1	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	43	5	50	0	0	0	0	0	0	100	100	42	2	150	0	0	0	0	0	0																											
52	줄무늬트링겔고양이	158243	5001	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	27	1	7	0	0	0	0	0	0	100	100	38	1	10	0	0	0	0	0	0																											
53	황금복어	158244	5043	0	3	2	10	3	0	10	0	0	0	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	31	5	70	0	0	0	0	0	0	100	100	31	5	120	0	0	0	0	0	0																											
54	오염된변이체	90170	5044	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	20	0	0	0	0	0	0	100	100	30	1	40	0	0	0	0	0	0																											
55	호랑이	158246	5045	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	30	0	0	0	0	0	0	100	100	30	1	50	0	0	0	0	0	0																											
56	백호	158247	5046	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	30	1	50	0	0	0	0	0	0	100	100	30	1	100	0	0	0	0	0	0																											
57	위풍당당호랑이_국내(황호)	158248	5045	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	47	2	50	35	1	15	0	0	0	100	100	47	2	100	30	1	100	45	5	100																											
58	천하무적호랑이_국내(백호)	158249	5046	0	3	2	10	3	0	10	0	31	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	47	2	50	35	1	15	0	0	0	100	100	47	2	100	30	1	100	45	5	100																											
59	스케이트팽귄_국내(무료이벤트)	158400	5047	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
//신규추가																																																																																																
60	스텀피	158425	5048	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
61	크라비	158426	5049	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
62	그리폰	158427	5050	0	3	2	10	3	0	10	0	0	0	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
63	피그보이	158428	5051	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
64	펠리칸	158429	5052	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
65	본헤드	158430	5053	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
66	피그렛	158431	5054	0	3	2	10	3	0	10	0	0	0	2	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
67	킹크랩	158432	5055	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
68	콜로서스	158433	5056	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
69	세일러	158434	5057	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
70	스와디	158435	5058	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
71	설견	158436	5059	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
72	항아리여우	158437	5060	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
73	허수아비	158438	5061	0	3	2	10	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	41	59	0	0	0	0	0	0	0	0	0	60	99	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0																											
