//장비평점스크립트															
//최초작성자 : 김준호															
//															
//1 기본 평점	아이템 레벨		무기	갑옷	프로텍터	헬멧	바지	부츠	장갑	벨트	셔츠				
//2 디바인 평점	아이템 레벨		무기	갑옷	프로텍터	헬멧	바지	부츠	장갑	벨트	셔츠				
//3 인챈트 평점	인챈트 등급		무기	방어구	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//4 엑스트라스톤 평점	엑스트라스톤 개수		무기	방어구	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//5 소켓 평점	쟈드 포인트		공통	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//6 옵션 평점	옵션 코드		수치타입1	수치타입2	양수/음수	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//7 각성 평점	사용안함		공격력	방어력	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함	사용안함				
//대분류	소분류	이름	값1	값2	값3	값4	값5	값6	값7	값8	값9				
LGroup	SGroup	Name	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	FieldEnd	//	무기상수값	방어구상수값
1	39	아이템레벨39(유니크6차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 		//		
2	1	아이템레벨1(디바인1차)	55.00 	7.20 	5.60 	5.20 	4.40 	3.60 	3.20 	2.40 	1.20 				
2	2	아이템레벨2(디바인2차)	64.50 	11.20 	8.80 	8.00 	6.80 	5.60 	4.40 	3.60 	2.40 				
2	3	아이템레벨3(디바인3차)	75.50 	16.00 	12.80 	11.20 	9.60 	8.00 	6.00 	4.80 	3.20 				
2	4	아이템레벨4(디바인4차)	88.00 	21.20 	17.20 	14.80 	12.80 	10.40 	8.40 	6.80 	4.40 				
2	5	아이템레벨5(디바인5차)	103.00 	27.60 	22.00 	19.20 	16.80 	13.60 	11.20 	8.40 	5.60 				
2	6	아이템레벨6(디바인6차)	120.50 	34.80 	27.60 	24.40 	20.80 	17.20 	13.60 	10.40 	7.20 				
2	7	아이템레벨7(디바인7차)	141.50 	42.40 	34.00 	30.00 	25.60 	21.20 	17.20 	12.80 	8.40 				
2	8	아이템레벨8(디바인8차)	165.00 	51.20 	40.80 	35.60 	30.80 	25.60 	20.40 	15.60 	10.00 				
2	9	아이템레벨9(디바인9차)	193.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
2	10	아이템레벨10(디바인10차)	226.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
2	11	아이템레벨11(디바인11차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
2	12	아이템레벨12(디바인12차)	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	1	인챈트등급1	3.00 	0.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	2	인챈트등급2	6.00 	1.20 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	3	인챈트등급3	9.60 	2.40 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	4	인챈트등급4	13.20 	3.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	5	인챈트등급5	16.80 	4.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	6	인챈트등급6	21.00 	6.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	7	인챈트등급7	25.20 	8.40 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	8	인챈트등급8	30.00 	10.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	9	인챈트등급9	34.80 	13.20 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	10	인챈트등급10	40.80 	16.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	11	인챈트등급11	47.40 	21.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	12	인챈트등급12	54.60 	25.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	13	인챈트등급13	64.80 	33.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	14	인챈트등급14	78.00 	44.40 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
3	15	인챈트등급15	94.20 	58.20 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
4	1	엑스트라스톤1개	3.00 	1.20 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
4	2	엑스트라스톤2개	6.00 	2.40 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
4	3	엑스트라스톤3개	9.00 	3.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
5	1	쟈드옵션등급1	9.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
5	10	쟈드옵션등급2	36.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
5	20	쟈드옵션등급3	72.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
5	30	쟈드옵션등급4	108.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
5	40	쟈드옵션등급5	144.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
5	50	쟈드옵션등급6	180.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	1	공격속도	3.00 	30.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	2	공격성공률	20.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	3	불원소공격력	0.60 	6.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	4	물원소공격력	0.60 	6.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	5	대지원소공격력	0.60 	6.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	6	바람원소공격력	0.60 	6.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	7	암흑원소공격력	0.60 	6.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	8	공격대상물리방어력	0.60 	6.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	9	공격대상불원소저항률	0.60 	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	10	공격대상물원소저항률	0.60 	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	11	공격대상바람원소저항률	0.60 	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	12	공격대상대지원소저항률	0.60 	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	13	공격대상암흑원소저항률	0.60 	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	14	이동속도	3.00 	30.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	15	방어성공률	20.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	16	불원소저항률	0.60 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	17	물원소저항률	0.60 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	18	바람원소저항률	0.60 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	19	대지원소저항률	0.60 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	20	암흑원소저항률	0.60 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	23	힘	0.67 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	24	민첩	0.67 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	25	지력	0.67 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	26	체력	0.67 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	27	정신력	0.67 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	28	최대HP	0.02 	0.22 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	29	최대MP	0.08 	0.83 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	30	스킬강화력	0.60 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	31	스킬데미지추가율	6.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	32	모든스텟	3.33 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	33	스텟제한수치	0.00 	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	34	MP소모율	3.33 	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	35	모든원소공격력	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	36	모든원소저항률	30.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	37	HP흡수	0.02 	0.22 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	38	MP흡수	0.08 	0.83 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	39	HP회복량	0.11 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	40	MP회복량	3.33 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	41	크리티컬확률	20.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	42	크리티컬데미지	0.33 	3.33 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	43	데미지반사확률	6.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	44	하임습득	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	45	경험치습득	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	46	다중공격확률	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	47	기본공격력	0.60 	6.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	49	기본방어력	0.60 	6.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	51	데미지감소	4.00 	40.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	52	사망시부활할확률	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	54	럭키몬스터공격시추가데미지	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	55	조합성공률	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	57	최소데미지	0.60 	6.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	58	최대데미지	0.60 	6.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	59	아이템내구력소모무시확률	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	60	스킬상태무시확률	20.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	61	버프효과시간	100.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	62	디버프효과시간	500.00 	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	64	리커버리량	0.11 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	65	스킬캐스팅시간	10.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	66	홀딩내성	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	67	슬립내성	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	68	중독내성	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	69	넉백내성	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	70	다운내성	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	71	스턴내성	0.00 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	72	PVP시데미지감소	2.00 	20.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	73	추가데미지	1.20 	12.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	75	스킬쿨타임	0.00 	100.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	93	최대SD	0.01 	0.11 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	94	SD회복량	0.06 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	95	공격대상모든원소저항률	3.00 	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	96	상대크리티컬확률감소	10	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	98	가해데미지SD전환량	1.2	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	99	가해데미지HP전환량	1.2	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	100	피격시상대의크리티컬데미지증감	1.2	0.00 	1	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	101	제작비용증감률	0.333333333	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	102	제작실패시재료소멸방지률	0.333333333	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	103	인챈트비용증감률	0.333333333	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	104	인챈트실패시아이템소멸다운방지률	3.000000003	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	105	회복포션쿨타임증감률	1.2	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	106	회복포션회복량증감률	1.2	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	107	퀘스트경험치증감률	0.333333333	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	108	최대데미지발생확률	3.000000003	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	109	공성오브젝트데미지증감증감률	1.2	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	110	상점수리하임증감률	0.33 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	111	상점구매하임증감률	0.33 	0.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
7	1	각성공격력방어력증가수치	0.6	0.6	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	117	NPC에게받는데미지감소	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	118	버서커에게받는데미지감소	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	119	드래곤에게받는데미지감소	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	120	발키리에게받는데미지감소	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	121	엘리에게받는데미지감소	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	122	섀도우에게받는데미지감소	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	123	미스틱에게받는데미지감소	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	124	헬로이드에게받는데미지감소	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
6	125	위치에게받는데미지감소	1.50 	15.00 	0	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
// _JB_ITEM_SCORE_OVERRIDE ------------------------------------------------------------------
// 8 = fixed Equipment Grade score for one item code, in place of the option-weight sum.
// 9 = fixed Equipment Grade score for one set group, in place of its full-set option sum.
// Score only -- every stat these rings and their set bonus grant is untouched.
// The Ring of Harmony and Balance accessory set (group 222): four rings at 30 plus 80 for
// the full set = 200, where the option weights alone made it 2500.
// Name must not contain spaces: this table is read with SEPERATOR_WHITESPACE.
//LGroup	SGroup	Name	Value1(score)
8	60205	RingOfStorms_set	30.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
8	60282	HighGradeRingOfProtection	30.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
8	60283	HighGradeRingOfOnslaught	30.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
8	60284	HighGradeRingOfRage	30.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
9	222	RingOfHarmonyAndBalanceSet	80.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 				
