//캐릭터 커스터마이징	신체 부위 설정								
//									
//									
//					0:기본형 1:캐시 2:캐시(낱개판매)				
//			1.0.0.4	1.0.0.4	1.0.0.4				
//클래스 아이디	신체 부위 설정	아이디	네임	설명	출력타입	리소스 인덱스1	리소스 인덱스2	리소스 인덱스3	
bClassID	bBodyParts	ID	NameCode	DescriptionCode	ResourceType	dResourceID1	dResourceID2	dResourceID3	
5	1	5	0	0	0	61085	61095	61100	
5	2	1	0	0	0	61010	61010	61010	
5	2	2	0	0	0	61030	61030	61030	
5	2	3	0	0	0	61050	61050	61050	
5	2	4	0	0	0	61070	61070	61070	
5	2	5	0	0	0	61090	61090	61090	
//캐시헤어									
1	1	6	2218	2219	2	61127	61128	61129	
1	1	7	2245	2246	2	61130	61131	61132	
1	1	8	2216	2217	2	61212	61213	61214	
2	1	6	2220	2221	2	61133	61134	61135	
2	1	7	2247	2248	2	61136	61137	61138	
2	1	8	2415	2416	2	61215	61216	61217	
3	1	6	2226	2227	2	61145	61146	61147	
3	1	7	2253	2254	2	61148	61149	61150	
3	1	8	2429	2430	2	61224	61224	61225	
4	1	6	2222	2223	2	61139	61140	61141	
4	1	7	2249	2250	2	61142	61143	61144	
4	1	8	2417	2418	2	61218	61219	61220	
5	1	6	2224	2225	2	61121	61122	61123	
5	1	7	2251	2252	2	61124	61125	61126	
5	1	8	2427	2428	2	61221	61222	61223	
//캐시얼굴									
1	2	6	401289	401289	2	61006	61006	61006	
2	2	6	401289	401289	2	61026	61026	61026	
3	2	6	401289	401289	2	61046	61046	61046	
4	2	6	401289	401289	2	61066	61066	61066	
5	2	6	401289	401289	2	61086	61086	61086	
//헤어초기화									
1	1	101	401289	401289	1	61127	61128	61129	
1	1	102	401289	401289	1	61130	61131	61132	
2	1	101	401289	401289	1	61133	61134	61135	
2	1	102	401289	401289	1	61136	61137	61138	
3	1	101	401289	401289	1	61139	61140	61141	
3	1	102	401289	401289	1	61142	61143	61144	
4	1	101	401289	401289	1	61145	61146	61147	
4	1	102	401289	401289	1	61148	61149	61150	
5	1	101	401289	401289	1	61121	61122	61123	
5	1	102	401289	401289	1	61124	61125	61126	
1	2	201	401289	401289	1	61086	61086	61086	
2	2	201	401289	401289	1	61087	61087	61087	
3	2	201	401289	401289	1	61088	61088	61088	
4	2	201	401289	401289	1	61089	61089	61089	
5	2	201	401289	401289	1	61090	61090	61090	
//미스틱									
6	1	1	0	0	0	61158	61163	61168	
6	1	2	0	0	0	61159	61164	61169	
6	1	3	0	0	0	61160	61165	61170	
6	1	4	0	0	0	61161	61166	61171	
6	1	5	0	0	0	61162	61167	61172	
6	1	6	2212	2213	2	61178	61180	61182	
6	1	7	2214	2215	2	61179	61181	61183	
6	2	1	0	0	0	61173	61173	61173	
6	2	2	0	0	0	61174	61174	61174	
6	2	3	0	0	0	61175	61175	61175	
6	2	4	0	0	0	61176	61176	61176	
6	2	5	0	0	0	61177	61177	61177	
6	1	8	2620	2621	2	61184	61185	61186	
6	1	9	2622	2623	2	61187	61188	61189	
6	1	10	2624	2625	2	61190	61191	61192	
6	1	11	2626	2627	2	61193	61194	61195	
6	1	12	2628	2629	2	61196	61197	61198	
6	1	13	2630	2631	2	61199	61200	61201	
6	1	14	2632	2633	2	61202	61203	61204	
6	1	15	2438	2439	2	61226	61227	61228	
//헬로이드									
7	1	1	0	0	0	60131	61011	61016	
//위치블레이드									
8	1	1	0	0	0	61235	61240	61245	
8	1	2	0	0	0	61236	61241	61246	
8	1	3	0	0	0	61237	61242	61247	
8	1	4	0	0	0	61238	61243	61248	
8	1	5	0	0	0	61239	61244	61249	
8	2	1	0	0	0	61250	61250	61250	
8	2	2	0	0	0	61251	61251	61251	
8	2	3	0	0	0	61252	61252	61252	
8	2	4	0	0	0	61253	61253	61253	
8	2	5	0	0	0	61254	61254	61254	
8	1	6	0	0	0	61255	61256	61257	
8	2	6	0	0	0	61258	61258	61258	
8	2	7	0	0	0	61259	61259	61259	
8	2	8	0	0	0	61260	61260	61260	
8	2	9	0	0	0	61261	61261	61261	
9	1	1	0	0	0	61263	61263	25771	
9	1	2	0	0	0	61265	61265	25772	
9	1	3	0	0	0	61267	61267	25773	
9	1	4	0	0	0	61269	61269	25774	
9	1	5	0	0	0	61271	61271	25775	
9	2	1	0	0	0	61262	61262	61262	
9	2	2	0	0	0	61264	61264	61264	
9	2	3	0	0	0	61266	61266	61266	
9	2	4	0	0	0	61268	61268	61268	
9	2	5	0	0	0	61270	61270	61270	
