//조합스크립트						아이템타입	분류카운터						클래스스트링코드																																					
//			"* Index(조합코드) 수정하셔도 상관 없으니, 가능한 카테고리 유지하면서 작업해 주세요"										10074 : 버서커																																					
//													10075 : 드래곤																																					
//			* 클래스 우선순위 지켜주세요										10076 : 발키리																																					
//			"  - 버서커, 드래곤, 발키리, 엘리, 섀도우, 미스틱 순"										10077 : 엘리																																					
//			* 방어구 우선순위 지켜주세요										10078 : 섀도우																																					
//			"  - 갑옷, 바지, 헬멧, 장갑, 부츠, 프텍, 벨트, 셔츠 순"										10002 : 미스틱																																					
//			"  - 갑옷, 바지, 헬멧, 장갑, 부츠, 프텍, 벨트, 셔츠 순"										10006 : 헬로이드																																					
//							1302			1302	1302	1302	1302	1302	1302																																			
//설명	조합코드	이름	네임코드	캐릭터클래스	길드클래스	아이템타입	분류카운터	분류카테고리1	분류스트링코드1	분류카테고리2	분류스트링코드2	분류카테고리3	분류스트링코드3	분류카테고리4	분류스트링코드4	재료1	재료1등급	재료1개수	재료2	재료2등급	재료2개수	재료3	재료3등급	재료3개수	재료4	재료4등급	재료4개수	재료5	재료5등급	재료5개수	재료6	재료6등급	재료6개수	소모돈	성공확율	보상타입	보상아이템	보상아이템등급	보상아이템수	조합가능맵1	조합가능맵2	조합가능맵3	조합가능맵4	조합가능맵5	조합가능맵6	조합가능맵7	조합가능맵8	조합가능맵9	조합가능맵10	
	Code	Name	Ncode	LimitCharClass	LimitGuildClass	ItemType	CategorySubCount	bCategory1	Category1_Scode	bCategory2	Category2_Scode	bCategory3	Category3_Scode	bCategory4	Category4_Scode	MaterialCode1	IGType1	MaterialCount1	MaterialCode2	IGType2	MaterialCount2	MaterialCode3	IGType3	MaterialCount3	MaterialCode4	IGType4	MaterialCount4	MaterialCode5	IGType5	MaterialCount5	MaterialCode6	IGType6	MaterialCount6	Money	SuccessRatio	bResultType	ResultItemCode	ResultIGType	ResultItemCount	AllowedMapCode00	AllowedMapCode01	AllowedMapCode02	AllowedMapCode03	AllowedMapCode04	AllowedMapCode05	AllowedMapCode06	AllowedMapCode07	AllowedMapCode08	AllowedMapCode09	FieldEnd
	22	여신의물약(Lv2)	47761	0	0	0	3	1	9444	3	9059	2	47761	0	0	4965	0	20	6874	0	20	0	0	0	0	0	0	0	0	0	0	0	0	5000 	100	1	4046	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//2. 특수물약 (51 ~ 200)																																																		
//2-1 치타의 물약 (51~70)																																																		
	51	치타의기세_5분	40813	0	0	0	4	2	9076	1	9077	1	9082	1	40813	6857	0	1	6861	0	1	6865	0	1	6870	0	20	0	0	0	0	0	0	100000	100	1	9590	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	52	치타의기세_10분	40833	0	0	0	4	2	9076	1	9077	1	9082	2	40833	6858	0	1	6861	0	1	6865	0	1	6870	0	30	0	0	0	0	0	0	500000	100	1	9591	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	53	치타의기세_30분	40853	0	0	0	4	2	9076	1	9077	1	9082	3	40853	6859	0	1	6861	0	1	6865	0	1	6870	0	60	0	0	0	0	0	0	1000000	100	1	9592	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	54	치타의기세_60분	40873	0	0	0	4	2	9076	1	9077	1	9082	4	40873	6860	0	1	6861	0	1	6865	0	1	6870	0	100	0	0	0	0	0	0	1500000	100	1	9593	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	55	치타의정기_5분	40814	0	0	0	4	2	9076	1	9077	2	9083	5	40814	6857	0	1	6862	0	1	6865	0	1	6871	0	20	0	0	0	0	0	0	100000	100	1	9610	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	56	치타의정기_10분	40834	0	0	0	4	2	9076	1	9077	2	9083	6	40834	6858	0	1	6862	0	1	6865	0	1	6871	0	30	0	0	0	0	0	0	500000	100	1	9611	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	57	치타의정기_30분	40854	0	0	0	4	2	9076	1	9077	2	9083	7	40854	6859	0	1	6862	0	1	6865	0	1	6871	0	60	0	0	0	0	0	0	1000000	100	1	9612	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	58	치타의정기_60분	40874	0	0	0	4	2	9076	1	9077	2	9083	8	40874	6860	0	1	6862	0	1	6865	0	1	6871	0	100	0	0	0	0	0	0	1500000	100	1	9613	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	59	치타의혼_5분	40815	0	0	0	4	2	9076	1	9077	3	9084	9	40815	6857	0	1	6863	0	1	6865	0	1	6872	0	10	0	0	0	0	0	0	100000	100	1	9630	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	60	치타의혼_10분	40835	0	0	0	4	2	9076	1	9077	3	9084	10	40835	6858	0	1	6863	0	1	6865	0	1	6872	0	15	0	0	0	0	0	0	500000	100	1	9631	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	61	치타의혼_30분	40855	0	0	0	4	2	9076	1	9077	3	9084	11	40855	6859	0	1	6863	0	1	6865	0	1	6872	0	30	0	0	0	0	0	0	1000000	100	1	9632	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	62	치타의혼_60분	40875	0	0	0	4	2	9076	1	9077	3	9084	12	40875	6860	0	1	6863	0	1	6865	0	1	6872	0	50	0	0	0	0	0	0	1500000	100	1	9633	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	63	치타의비약_5분	40816	0	0	0	4	2	9076	1	9077	4	9085	13	40816	6857	0	1	6864	0	1	6865	0	1	6873	0	10	0	0	0	0	0	0	100000	100	1	9650	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	64	치타의비약_10분	40836	0	0	0	4	2	9076	1	9077	4	9085	14	40836	6858	0	1	6864	0	1	6865	0	1	6873	0	15	0	0	0	0	0	0	500000	100	1	9651	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	65	치타의비약_30분	40856	0	0	0	4	2	9076	1	9077	4	9085	15	40856	6859	0	1	6864	0	1	6865	0	1	6873	0	30	0	0	0	0	0	0	1000000	100	1	9652	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	66	치타의비약_60분	40876	0	0	0	4	2	9076	1	9077	4	9085	16	40876	6860	0	1	6864	0	1	6865	0	1	6873	0	50	0	0	0	0	0	0	1500000	100	1	9653	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//2-2 늑대의 물약 (71~90)			0																																															
	71	늑대의기세_5분	40817	0	0	0	4	2	9076	2	9078	5	9082	17	40817	6857	0	1	6861	0	1	6867	0	1	6870	0	20	0	0	0	0	0	0	100000	100	1	9594	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	72	늑대의기세_10분	40837	0	0	0	4	2	9076	2	9078	5	9082	18	40837	6858	0	1	6861	0	1	6867	0	1	6870	0	30	0	0	0	0	0	0	500000	100	1	9595	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	73	늑대의기세_30분	40857	0	0	0	4	2	9076	2	9078	5	9082	19	40857	6859	0	1	6861	0	1	6867	0	1	6870	0	60	0	0	0	0	0	0	1000000	100	1	9596	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	74	늑대의기세_60분	40877	0	0	0	4	2	9076	2	9078	5	9082	20	40877	6860	0	1	6861	0	1	6867	0	1	6870	0	100	0	0	0	0	0	0	1500000	100	1	9597	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	75	늑대의정기_5분	40818	0	0	0	4	2	9076	2	9078	6	9083	21	40818	6857	0	1	6862	0	1	6867	0	1	6871	0	20	0	0	0	0	0	0	100000	100	1	9614	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	76	늑대의정기_10분	40838	0	0	0	4	2	9076	2	9078	6	9083	22	40838	6858	0	1	6862	0	1	6867	0	1	6871	0	30	0	0	0	0	0	0	500000	100	1	9615	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	77	늑대의정기_30분	40858	0	0	0	4	2	9076	2	9078	6	9083	23	40858	6859	0	1	6862	0	1	6867	0	1	6871	0	60	0	0	0	0	0	0	1000000	100	1	9616	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	78	늑대의정기_60분	40878	0	0	0	4	2	9076	2	9078	6	9083	24	40878	6860	0	1	6862	0	1	6867	0	1	6871	0	100	0	0	0	0	0	0	1500000	100	1	9617	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	79	늑대의혼_5분	40819	0	0	0	4	2	9076	2	9078	7	9084	25	40819	6857	0	1	6863	0	1	6867	0	1	6872	0	10	0	0	0	0	0	0	100000	100	1	9634	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	80	늑대의혼_10분	40839	0	0	0	4	2	9076	2	9078	7	9084	26	40839	6858	0	1	6863	0	1	6867	0	1	6872	0	15	0	0	0	0	0	0	500000	100	1	9635	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	81	늑대의혼_30분	40859	0	0	0	4	2	9076	2	9078	7	9084	27	40859	6859	0	1	6863	0	1	6867	0	1	6872	0	30	0	0	0	0	0	0	1000000	100	1	9636	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	82	늑대의혼_60분	40879	0	0	0	4	2	9076	2	9078	7	9084	28	40879	6860	0	1	6863	0	1	6867	0	1	6872	0	50	0	0	0	0	0	0	1500000	100	1	9637	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	83	늑대의비약_5분	40820	0	0	0	4	2	9076	2	9078	8	9085	29	40820	6857	0	1	6864	0	1	6867	0	1	6873	0	10	0	0	0	0	0	0	100000	100	1	9654	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	84	늑대의비약_10분	40840	0	0	0	4	2	9076	2	9078	8	9085	30	40840	6858	0	1	6864	0	1	6867	0	1	6873	0	15	0	0	0	0	0	0	500000	100	1	9655	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	85	늑대의비약_30분	40860	0	0	0	4	2	9076	2	9078	8	9085	31	40860	6859	0	1	6864	0	1	6867	0	1	6873	0	30	0	0	0	0	0	0	1000000	100	1	9656	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	86	늑대의비약_60분	40880	0	0	0	4	2	9076	2	9078	8	9085	32	40880	6860	0	1	6864	0	1	6867	0	1	6873	0	50	0	0	0	0	0	0	1500000	100	1	9657	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//2-3 곰의 물약 (91~110)			0																																															
	91	곰의기세_5분	40821	0	0	0	4	2	9076	3	9079	9	9082	33	40821	6857	0	1	6861	0	1	6866	0	1	6870	0	20	0	0	0	0	0	0	100000	100	1	9598	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	92	곰의기세_10분	40841	0	0	0	4	2	9076	3	9079	9	9082	34	40841	6858	0	1	6861	0	1	6866	0	1	6870	0	30	0	0	0	0	0	0	500000	100	1	9599	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	93	곰의기세_30분	40861	0	0	0	4	2	9076	3	9079	9	9082	35	40861	6859	0	1	6861	0	1	6866	0	1	6870	0	60	0	0	0	0	0	0	1000000	100	1	9600	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	94	곰의기세_60분	40881	0	0	0	4	2	9076	3	9079	9	9082	36	40881	6860	0	1	6861	0	1	6866	0	1	6870	0	100	0	0	0	0	0	0	1500000	100	1	9601	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	95	곰의정기_5분	40822	0	0	0	4	2	9076	3	9079	10	9083	37	40822	6857	0	1	6862	0	1	6866	0	1	6871	0	20	0	0	0	0	0	0	100000	100	1	9618	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	96	곰의정기_10분	40842	0	0	0	4	2	9076	3	9079	10	9083	38	40842	6858	0	1	6862	0	1	6866	0	1	6871	0	30	0	0	0	0	0	0	500000	100	1	9619	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	97	곰의정기_30분	40862	0	0	0	4	2	9076	3	9079	10	9083	39	40862	6859	0	1	6862	0	1	6866	0	1	6871	0	60	0	0	0	0	0	0	1000000	100	1	9620	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	98	곰의정기_60분	40882	0	0	0	4	2	9076	3	9079	10	9083	40	40882	6860	0	1	6862	0	1	6866	0	1	6871	0	100	0	0	0	0	0	0	1500000	100	1	9621	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	99	곰의혼_5분	40823	0	0	0	4	2	9076	3	9079	11	9084	41	40823	6857	0	1	6863	0	1	6866	0	1	6872	0	10	0	0	0	0	0	0	100000	100	1	9638	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	100	곰의혼_10분	40843	0	0	0	4	2	9076	3	9079	11	9084	42	40843	6858	0	1	6863	0	1	6866	0	1	6872	0	15	0	0	0	0	0	0	500000	100	1	9639	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	101	곰의혼_30분	40863	0	0	0	4	2	9076	3	9079	11	9084	43	40863	6859	0	1	6863	0	1	6866	0	1	6872	0	30	0	0	0	0	0	0	1000000	100	1	9640	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	102	곰의혼_60분	40883	0	0	0	4	2	9076	3	9079	11	9084	44	40883	6860	0	1	6863	0	1	6866	0	1	6872	0	50	0	0	0	0	0	0	1500000	100	1	9641	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	103	곰의비약_5분	40824	0	0	0	4	2	9076	3	9079	12	9085	45	40824	6857	0	1	6864	0	1	6866	0	1	6873	0	10	0	0	0	0	0	0	100000	100	1	9658	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	104	곰의비약_10분	40844	0	0	0	4	2	9076	3	9079	12	9085	46	40844	6858	0	1	6864	0	1	6866	0	1	6873	0	15	0	0	0	0	0	0	500000	100	1	9659	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	105	곰의비약_30분	40864	0	0	0	4	2	9076	3	9079	12	9085	47	40864	6859	0	1	6864	0	1	6866	0	1	6873	0	30	0	0	0	0	0	0	1000000	100	1	9660	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	106	곰의비약_60분	40884	0	0	0	4	2	9076	3	9079	12	9085	48	40884	6860	0	1	6864	0	1	6866	0	1	6873	0	50	0	0	0	0	0	0	1500000	100	1	9661	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//2-4 매의 물약 (111~130)			0																																															
	111	매의기세_5분	40825	0	0	0	4	2	9076	4	9080	13	9082	49	40825	6857	0	1	6861	0	1	6868	0	1	6870	0	20	0	0	0	0	0	0	100000	100	1	9602	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	112	매의기세_10분	40845	0	0	0	4	2	9076	4	9080	13	9082	50	40845	6858	0	1	6861	0	1	6868	0	1	6870	0	30	0	0	0	0	0	0	500000	100	1	9603	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	113	매의기세_30분	40865	0	0	0	4	2	9076	4	9080	13	9082	51	40865	6859	0	1	6861	0	1	6868	0	1	6870	0	60	0	0	0	0	0	0	1000000	100	1	9604	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	114	매의기세_60분	40885	0	0	0	4	2	9076	4	9080	13	9082	52	40885	6860	0	1	6861	0	1	6868	0	1	6870	0	100	0	0	0	0	0	0	1500000	100	1	9605	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	115	매의정기_5분	40826	0	0	0	4	2	9076	4	9080	14	9083	53	40826	6857	0	1	6862	0	1	6868	0	1	6871	0	20	0	0	0	0	0	0	100000	100	1	9622	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	116	매의정기_10분	40846	0	0	0	4	2	9076	4	9080	14	9083	54	40846	6858	0	1	6862	0	1	6868	0	1	6871	0	30	0	0	0	0	0	0	500000	100	1	9623	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	117	매의정기_30분	40866	0	0	0	4	2	9076	4	9080	14	9083	55	40866	6859	0	1	6862	0	1	6868	0	1	6871	0	60	0	0	0	0	0	0	1000000	100	1	9624	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	118	매의정기_60분	40886	0	0	0	4	2	9076	4	9080	14	9083	56	40886	6860	0	1	6862	0	1	6868	0	1	6871	0	100	0	0	0	0	0	0	1500000	100	1	9625	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	119	매의혼_5분	40827	0	0	0	4	2	9076	4	9080	15	9084	57	40827	6857	0	1	6863	0	1	6868	0	1	6872	0	10	0	0	0	0	0	0	100000	100	1	9642	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	120	매의혼_10분	40847	0	0	0	4	2	9076	4	9080	15	9084	58	40847	6858	0	1	6863	0	1	6868	0	1	6872	0	15	0	0	0	0	0	0	500000	100	1	9643	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	121	매의혼_30분	40867	0	0	0	4	2	9076	4	9080	15	9084	59	40867	6859	0	1	6863	0	1	6868	0	1	6872	0	30	0	0	0	0	0	0	1000000	100	1	9644	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	122	매의혼_60분	40887	0	0	0	4	2	9076	4	9080	15	9084	60	40887	6860	0	1	6863	0	1	6868	0	1	6872	0	50	0	0	0	0	0	0	1500000	100	1	9645	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	123	매의비약_5분	40828	0	0	0	4	2	9076	4	9080	16	9085	61	40828	6857	0	1	6864	0	1	6868	0	1	6873	0	10	0	0	0	0	0	0	100000	100	1	9662	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	124	매의비약_10분	40848	0	0	0	4	2	9076	4	9080	16	9085	62	40848	6858	0	1	6864	0	1	6868	0	1	6873	0	15	0	0	0	0	0	0	500000	100	1	9663	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	125	매의비약_30분	40868	0	0	0	4	2	9076	4	9080	16	9085	63	40868	6859	0	1	6864	0	1	6868	0	1	6873	0	30	0	0	0	0	0	0	1000000	100	1	9664	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	126	매의비약_60분	40888	0	0	0	4	2	9076	4	9080	16	9085	64	40888	6860	0	1	6864	0	1	6868	0	1	6873	0	50	0	0	0	0	0	0	1500000	100	1	9665	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//2-5 뱀의 물약 (131~150)			0																																															
	131	뱀의기세_5분	40829	0	0	0	4	2	9076	5	9081	17	9082	65	40829	6857	0	1	6861	0	1	6869	0	1	6870	0	20	0	0	0	0	0	0	100000	100	1	9606	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	132	뱀의기세_10분	40849	0	0	0	4	2	9076	5	9081	17	9082	66	40849	6858	0	1	6861	0	1	6869	0	1	6870	0	30	0	0	0	0	0	0	500000	100	1	9607	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	133	뱀의기세_30분	40869	0	0	0	4	2	9076	5	9081	17	9082	67	40869	6859	0	1	6861	0	1	6869	0	1	6870	0	60	0	0	0	0	0	0	1000000	100	1	9608	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	134	뱀의기세_60분	40889	0	0	0	4	2	9076	5	9081	17	9082	68	40889	6860	0	1	6861	0	1	6869	0	1	6870	0	100	0	0	0	0	0	0	1500000	100	1	9609	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	135	뱀의정기_5분	40830	0	0	0	4	2	9076	5	9081	18	9083	69	40830	6857	0	1	6862	0	1	6869	0	1	6871	0	20	0	0	0	0	0	0	100000	100	1	9626	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	136	뱀의정기_10분	40850	0	0	0	4	2	9076	5	9081	18	9083	70	40850	6858	0	1	6862	0	1	6869	0	1	6871	0	30	0	0	0	0	0	0	500000	100	1	9627	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	137	뱀의정기_30분	40870	0	0	0	4	2	9076	5	9081	18	9083	71	40870	6859	0	1	6862	0	1	6869	0	1	6871	0	60	0	0	0	0	0	0	1000000	100	1	9628	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	138	뱀의정기_60분	40890	0	0	0	4	2	9076	5	9081	18	9083	72	40890	6860	0	1	6862	0	1	6869	0	1	6871	0	100	0	0	0	0	0	0	1500000	100	1	9629	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	139	뱀의혼_5분	40831	0	0	0	4	2	9076	5	9081	19	9084	73	40831	6857	0	1	6863	0	1	6869	0	1	6872	0	10	0	0	0	0	0	0	100000	100	1	9646	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	140	뱀의혼_10분	40851	0	0	0	4	2	9076	5	9081	19	9084	74	40851	6858	0	1	6863	0	1	6869	0	1	6872	0	15	0	0	0	0	0	0	500000	100	1	9647	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	141	뱀의혼_30분	40871	0	0	0	4	2	9076	5	9081	19	9084	75	40871	6859	0	1	6863	0	1	6869	0	1	6872	0	30	0	0	0	0	0	0	1000000	100	1	9648	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	142	뱀의혼_60분	40891	0	0	0	4	2	9076	5	9081	19	9084	76	40891	6860	0	1	6863	0	1	6869	0	1	6872	0	50	0	0	0	0	0	0	1500000	100	1	9649	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	143	뱀의비약_5분	40832	0	0	0	4	2	9076	5	9081	20	9085	77	40832	6857	0	1	6864	0	1	6869	0	1	6873	0	10	0	0	0	0	0	0	100000	100	1	9666	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	144	뱀의비약_10분	40852	0	0	0	4	2	9076	5	9081	20	9085	78	40852	6858	0	1	6864	0	1	6869	0	1	6873	0	15	0	0	0	0	0	0	500000	100	1	9667	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	145	뱀의비약_30분	40872	0	0	0	4	2	9076	5	9081	20	9085	79	40872	6859	0	1	6864	0	1	6869	0	1	6873	0	30	0	0	0	0	0	0	1000000	100	1	9668	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	146	뱀의비약_60분	40892	0	0	0	4	2	9076	5	9081	20	9085	80	40892	6860	0	1	6864	0	1	6869	0	1	6873	0	50	0	0	0	0	0	0	1500000	100	1	9669	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
//3. 재료 아이템 (201~300)																										0			0			0						0												
//3-1 물약 재료 보석 제작 (201~210)																																																		
	201	엑스트라스톤	40180	0	0	0	4	3	9446	1	9060	1	9094	1	40180	4952	0	50	4953	0	50	0	0	0	0	0	0	0	0	0	0	0	0	100000 	100	1	4965	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	202	노블레스크리스탈	40115	0	0	0	4	3	9446	1	9060	1	9094	2	40115	6510	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000 	100	1	4952	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
	203	스트랭스크리스탈	40116	0	0	0	4	3	9446	1	9060	1	9094	3	40116	6511	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	100	1	4953	0	1	10001	10002	10003	10004	10006	20206	10007	0	0	0	
