//Version0.0.0.2		
//캐릭터데이터코드//코드대역폭800만까지		
//2007-10-09	8943958167905867108965-91761867-3458917-34571475	
dwCode	szFileName	FieldEnd
15503 Data\NPC\N552\Linstein.wzu		
//동물형이미지코드(15901~16000)		
15901 Data\NPC\N901\cat_m1.wzu		
15902 Data\NPC\N902\cat_m2.wzu		
15903 Data\NPC\N903\cat_m3.wzu		
15904 Data\NPC\N904\cat_m4.wzu		
15905 Data\NPC\N905\cat_m5.wzu		
15906 Data\NPC\N906\cat_s1.wzu		
15907 Data\NPC\N907\cat_s2.wzu		
15908 Data\NPC\N908\cat_s3.wzu		
15909 Data\NPC\N909\cat_s4.wzu		
15910 Data\NPC\N910\cat_s5.wzu		
15911 Data\NPC\N911\rabbit1.wzu		
15912 Data\NPC\N912\rabbit2.wzu		
15913 Data\NPC\N913\rabbit3.wzu		
15914 Data\NPC\N914\rabbit4.wzu		
15915 Data\NPC\N915\chicken1.wzu		
15916 Data\NPC\N916\chicken2.wzu		
15917 Data\NPC\N917\chicken3.wzu		
15918 Data\NPC\N918\chicken4.wzu		
15919 Data\NPC\N919\coat1.wzu		
15920 Data\NPC\N920\wildcoat1.wzu		
15921 Data\NPC\N920\wildcoat2.wzu		
15922 Data\NPC\N921\FruitOfRichness.wzu		
//럭키몬스터(17001~17100)		
17001 Data\NPC\L0001\Slime.wzu		
17002 Data\NPC\L0001\King_Slime.wzu		
17003 Data\NPC\L0002\PollutedRats.wzu		
17004 Data\NPC\L0002\PollutedSpider.wzu		
17005 Data\NPC\L0003\IceMonster.wzu		
17006 Data\NPC\L0003\IceQueen.wzu		
17007 Data\NPC\L0004\GoldenBuzziDragon.wzu		
17008 Data\NPC\L0004\BuzziDragon.wzu		
17011 Data\NPC\L0005\Fimbulvetr.wzu		
17012 Data\NPC\L0005\Fanirvetr.wzu		
17013 Data\NPC\L0006\Mutant.wzu		
17014 Data\NPC\L0006\Host.wzu		
//피의성전레이드12종		
17015 Data\NPC\L0001\BC_Slime.wzu		
17016 Data\NPC\L0001\BC_King_Slime.wzu		
17017 Data\NPC\L0002\BC_PollutedRats.wzu		
17018 Data\NPC\L0002\BC_PollutedSpider.wzu		
17019 Data\NPC\L0003\BC_IceMonster.wzu		
17020 Data\NPC\L0003\BC_IceQueen.wzu		
17021 Data\NPC\L0004\BC_GoldenBuzziDragon.wzu		
17022 Data\NPC\L0004\BC_BuzziDragon.wzu		
17023 Data\NPC\L0005\BC_Fimbulvetr.wzu		
17024 Data\NPC\L0005\BC_Fanirvetr.wzu		
17025 Data\NPC\L0006\BC_Mutant.wzu		
17026 Data\NPC\L0006\BC_Host.wzu		
//몬스터데이터코드(일반:41001~49000 보스:49001~50000).wzu		
40111 Data\NPC\M0111\Beast_Guard.wzu		
40135 Data\NPC\M0111\Beast_Guard_Scout.wzu		
40136 Data\NPC\M0111\Beast_Guard_Patrol.wzu		
40137 Data\NPC\M0111\Beast_Guard_Captain.wzu		
40112 Data\NPC\M0112\Beast_Sentry.wzu		
40138 Data\NPC\M0112\Beast_Sentry_Scout.wzu		
40139 Data\NPC\M0112\Beast_Sentry_Patrol.wzu		
40140 Data\NPC\M0112\Beast_Sentry_Captain.wzu		
40113 Data\NPC\M0113\Dark_F_Beast.wzu		
40121 Data\NPC\M0121\Beast_Infantry.wzu		
40144 Data\NPC\M0121\Beast_Infantry_Scout.wzu		
40145 Data\NPC\M0121\Beast_Infantry_Patrol.wzu		
40146 Data\NPC\M0121\Beast_Infantry_Captain.wzu		
40122 Data\NPC\M0122\Slave_Archer.wzu		
40150 Data\NPC\M0122\Slave_Archer_Scout.wzu		
40151 Data\NPC\M0122\Slave_Archer_Patrol.wzu		
40152 Data\NPC\M0122\Slave_Archer_Captain.wzu		
40123 Data\NPC\M0123\Dark_F_Infantry.wzu		
40147 Data\NPC\M0123\Dark_F_Infantry_Scout.wzu		
40148 Data\NPC\M0123\Dark_F_Infantry_Patrol.wzu		
40149 Data\NPC\M0123\Dark_F_Infantry_Captain.wzu		
40131 Data\NPC\M0131\Beast_Archer.wzu		
40132 Data\NPC\M0132\Beast_Knight.wzu		
40133 Data\NPC\M0133\Dark_F_Patrol.wzu		
40159 Data\NPC\M0133\Dark_F_Patrol_Scout.wzu		
40160 Data\NPC\M0133\Dark_F_Patrol_Patrol.wzu		
40161 Data\NPC\M0133\Dark_F_Patrol_Captain.wzu		
40134 Data\NPC\M0134\Dark_F_Magic.wzu		
40211 Data\NPC\M0211\W_Sentry.wzu		
40212 Data\NPC\M0212\Ghoul.wzu		
40213 Data\NPC\M0213\Zombie_Plunderer.wzu		
40221 Data\NPC\M0221\Skull_Archer.wzu		
40244 Data\NPC\M0221\Skull_Archer_Scout.wzu		
40245 Data\NPC\M0221\Skull_Archer_Patrol.wzu		
40246 Data\NPC\M0221\Skull_Archer_Captain.wzu		
40222 Data\NPC\M0222\wandering_Criminal.wzu		
40223 Data\NPC\M0223\Skull_Infantry.wzu		
40247 Data\NPC\M0223\Skull_Infantry_Scout.wzu		
40248 Data\NPC\M0223\Skull_Infantry_Patrol.wzu		
40249 Data\NPC\M0223\Skull_Infantry_Captain.wzu		
40231 Data\NPC\M0231\DarK_W_Archer.wzu		
40232 Data\NPC\M0232\Dark_Skull_infantry.wzu		
40233 Data\NPC\M0233\Dark_Witch.wzu		
40371 Data\NPC\M0233\Dark_Witch_Scout.wzu		
40372 Data\NPC\M0233\Dark_Witch_Patrol.wzu		
40373 Data\NPC\M0233\Dark_Witch_Captain.wzu		
40311 Data\NPC\M0311\Lower_Guard.wzu		
40261 Data\NPC\M0311\Lower_Guard_Scout.wzu		
40263 Data\NPC\M0311\Lower_Guard_Captain.wzu		
40312 Data\NPC\M0312\Snow_Beast.wzu		
40271 Data\NPC\M0312\Snow_Beast_Scout.wzu		
40272 Data\NPC\M0312\Snow_Beast_Patrol.wzu		
40273 Data\NPC\M0312\Snow_Beast_Captain.wzu		
40313 Data\NPC\M0313\Beast_Cavalry.wzu		
40341 Data\NPC\M0313\Beast_Cavalry_Scout.wzu		
40342 Data\NPC\M0313\Beast_Cavalry_Patrol.wzu		
40343 Data\NPC\M0313\Beast_Cavalry_Captain.wzu		
40321 Data\NPC\M0321\Lower_Sentry.wzu		
40322 Data\NPC\M0322\Snow_Dragon_Zombie.wzu		
40344 Data\NPC\M0322\Snow_Dragon_Zombie_Scout.wzu		
40345 Data\NPC\M0322\Snow_Dragon_Zombie_Patrol.wzu		
40346 Data\NPC\M0322\Snow_Dragon_Zombie_Captain.wzu		
40323 Data\NPC\M0323\heavy_hunter.wzu		
40347 Data\NPC\M0323\heavy_hunter_Scout.wzu		
40348 Data\NPC\M0323\heavy_hunter_Patrol.wzu		
40349 Data\NPC\M0323\heavy_hunter_Captain.wzu		
40331 Data\NPC\M0331\Lower_Patrol.wzu		
40354 Data\NPC\M0331\Lower_Patrol_Scout.wzu		
40355 Data\NPC\M0331\Lower_Patrol_Patrol.wzu		
40356 Data\NPC\M0331\Lower_Patrol_Captain.wzu		
40332 Data\NPC\M0332\Snow_Gatekeeper.wzu		
40351 Data\NPC\M0332\Snow_Gatekeeper_Scout.wzu		
40352 Data\NPC\M0332\Snow_Gatekeeper_Patrol.wzu		
40353 Data\NPC\M0332\Snow_Gatekeeper_Captain.wzu		
40333 Data\NPC\M0333\White_Magic.wzu		
40334 Data\NPC\M0341\White_F_Magic_Scout.wzu		
40411 Data\NPC\M0411\Dark_land_hoplite.wzu		
40412 Data\NPC\M0412\Flame_Cerberus.wzu		
40413 Data\NPC\M0413\Gray_land_hunter.wzu		
40414 Data\NPC\M0413\Grayland_land_hunter.wzu		
40415 Data\NPC\M0413\Grayland_land_Scout.wzu		
40416 Data\NPC\M0413\Grayland_land_Patrol.wzu		
40417 Data\NPC\M0413\Grayland_land_Captain.wzu		
40421 Data\NPC\M0421\Gray_land_Cavalry.wzu		
40424 Data\NPC\M0421\Grayland_hunter.wzu		
40425 Data\NPC\M0421\Grayland_Scout.wzu		
40426 Data\NPC\M0421\Grayland_Patrol.wzu		
40427 Data\NPC\M0421\Grayland_Captain.wzu		
40422 Data\NPC\M0422\Volcano_Beast.wzu		
40434 Data\NPC\M0422\Volcano_Beast_hunter.wzu		
40435 Data\NPC\M0422\Volcano_Beast_Scout.wzu		
40436 Data\NPC\M0422\Volcano_Beast_Patrol.wzu		
40437 Data\NPC\M0422\Volcano_Beast_Captain.wzu		
40423 Data\NPC\M0423\Death_Cave_Horseman.wzu		
40431 Data\NPC\M0431\Flame_Beast.wzu		
40432 Data\NPC\M0432\Flame_Drake.wzu		
40433 Data\NPC\M0433\Flame_Shaman.wzu		
40511 Data\NPC\M0511\The_Fallen.wzu		
40512 Data\NPC\M0512\Fallen_Soldier.wzu		
40513 Data\NPC\M0513\Fallen_Shaman.wzu		
40522 Data\NPC\M0522\Cursed_Socerer.wzu		
40523 Data\NPC\M0523\Cursed_Archer.wzu		
40532 Data\NPC\M0532\Dark_Swordman.wzu		
40533 Data\NPC\M0533\Dark_Warrior.wzu		
40534 Data\NPC\M0576\Eye.wzu		
40535 Data\NPC\N501\BilmaPolks.wzu		
40536 Data\NPC\N110\malcom_Attack.wzu		
40537 Data\NPC\N126\tybolt_Soldier_Attack.wzu		
40538 Data\NPC\M0538\Immortal_Wizard.wzu		
40539 Data\NPC\M0539\Corrupted_Guard.wzu		
40540 Data\NPC\N228\Sentry_Attack.wzu		
40541 Data\NPC\M0550\DarkEther_Gorilla1.wzu		
40542 Data\NPC\M0550\DarkEther_Gorilla2.wzu		
40543 Data\NPC\M0551\DarkForce_Roc1.wzu		
40544 Data\NPC\M0551\DarkForce_Roc2.wzu		
40545 Data\NPC\M0552\DarkEther_Crocodile1.wzu		
40546 Data\NPC\M0552\DarkEther_Crocodile2.wzu		
40547 Data\NPC\M0553\DogFace_warrior1.wzu		
40548 Data\NPC\M0553\DogFace_warrior2.wzu		
40549 Data\NPC\M0564\SpindleBoar.wzu		
40550 Data\NPC\M0565\Mutated_creatures.wzu		
40551 Data\NPC\M0562\FireTropsScout_A.wzu		
40552 Data\NPC\M0567\PalaceGuard_Leader_F.wzu		
40553 Data\NPC\M0568\Ice_Warlock.wzu		
40554 Data\NPC\M0569\FullMetalCorps_Infantry.wzu		
40555 Data\NPC\M5070\Palace_Servant.wzu		
40556 Data\NPC\M9025\Red_Scale_Watcher.wzu		
40557 Data\NPC\M0572\The_Keepers_of_the_scaly.wzu		
40558 Data\NPC\M0573\Warrior_Shield_of_Darkness.wzu		
40559 Data\NPC\M0574\Changing_the_host.wzu		
40560 Data\NPC\M0563\DeathDraonTrops_A.wzu		
40561 Data\NPC\M9026\Black_Scale_Hoplite.wzu		
40562 Data\NPC\M0560\BeastTropsScout_A.wzu		
40563 Data\NPC\N553\Kalbus_ghost.wzu		
40564 Data\NPC\M9050\Lumanka_ghost.wzu		
40565 Data\NPC\M9009\death_Shaman_ghost.wzu		
40566 Data\NPC\M9052\Brukelt_ghost.wzu		
40567 Data\NPC\M0568\Ice_Warlock_A.wzu		
40568 Data\NPC\M0569\FullMetalCorps_Infantry_A.wzu		
40569 Data\NPC\M9025\Red_Scale_Watcher_A.wzu		
40570 Data\NPC\M0572\The_Keepers_of_the_scaly_A.wzu		
40574 Data\NPC\M9026\Black_Scale_Hoplite_A.wzu		
40575 Data\NPC\M0575\The_mutant_watchman.wzu		
40576 Data\NPC\M9021\Knight_Of_Slavery2.wzu		
40577 Data\NPC\M9034\Blaze_Warrior2.wzu		
//헬론의성추가몬스터		
40578 Data\NPC\M9021\Knight_Of_Slavery3.wzu		
40579 Data\NPC\M9034\Blaze_Warrior3.wzu		
40580 Data\NPC\N236\Sentry_Soldier_Attack.wzu		
//보스그룹		
49001 Data\NPC\M9001\Beast_Watchman.wzu		
49002 Data\NPC\M9002\Evil_Sorcerer.wzu		
49003 Data\NPC\M9003\Cerberus.wzu		
49004 Data\NPC\M9004\Dragon_Zombie.wzu		
49006 Data\NPC\M9006\Dark_Watcher.wzu		
49007 Data\NPC\M9007\Redamor_Warrior.wzu		
49008 Data\NPC\M9008\Dark_Knight.wzu		
49009 Data\NPC\M9009\Death_Shaman.wzu		
49010 Data\NPC\M9010\Death_Shaman2.wzu		
49011 Data\NPC\M9011\Ice_C_Watcher.wzu		
49012 Data\NPC\M9012\GateSentry_Chief.wzu		
49112 Data\NPC\M9012\L_GateSentry_Chief.wzu		
49013 Data\NPC\M9013\Cursed_Priest.wzu		
49014 Data\NPC\M9014\Castle_Master.wzu		
49015 Data\NPC\M9015\Castle_Master2.wzu		
49016 Data\NPC\M9016\Flame_Warrior.wzu		
49017 Data\NPC\M9017\Restricted_Dragon.wzu		
49018 Data\NPC\M9018\Flame_Destroyer.wzu		
49019 Data\NPC\M9019\Flame_Ruler.wzu		
49020 Data\NPC\M9020\Flame_Ruler2.wzu		
49021 Data\NPC\M9037\Fallen_Warrior.wzu		
49023 Data\NPC\M9036\Darkness_Slaughter.wzu		
49024 Data\NPC\M9024\Archbishop_Of_Darkness.wzu		
49029 Data\NPC\M9029\Beast_Master.wzu		
49030 Data\NPC\M9030\Beast_Master2.wzu		
49031 Data\NPC\N553\KalBus.wzu		
49032 Data\NPC\N553\KalBusTrans.wzu		
49033 Data\NPC\M9022\Summoned_Wizard.wzu		
49034 Data\NPC\M9023\Soul_Fire.wzu		
49035 Data\NPC\M0542\Undead_Warrior.wzu		
49036 Data\NPC\M0541\Undead_Gladiator.wzu		
49037 Data\NPC\M9034\Blaze_Warrior.wzu		
49038 Data\NPC\M9025\Red_Scale_Watcher.wzu		
49039 Data\NPC\M9026\Black_Scale_Hoplite.wzu		
49040 Data\NPC\M9021\Knight_Of_Slavery.wzu		
49041 Data\NPC\M9033\Binded_Archer.wzu		
49042 Data\NPC\M0540\Hungry_Slayer.wzu		
49043 Data\NPC\M0535\Gigantic_Crow.wzu		
49044 Data\NPC\M0536\Dumped_Man.wzu		
49045 Data\NPC\M0537\Blind_Man.wzu		
49046 Data\NPC\M0534\Polluted_Plant.wzu		
49047 Data\NPC\M0544\Sommoned_Dimension.wzu		
49049 Data\NPC\M9031\Royal_Chief_Sorcerer.wzu		
49050 Data\NPC\M9038\Ghost_Robber.wzu		
49051 Data\NPC\M9040\Schwarz.wzu		
49052 Data\NPC\M9041\NightmareKnight.wzu		
49053 Data\NPC\M9024\L_Archbishop_Of_Darkness.wzu		
49054 Data\NPC\M9032\HellonSub1_Boss.wzu		
49055 Data\NPC\M9050\Lumanka.wzu		
49056 Data\NPC\M9051\Lumanka2.wzu		
49057 Data\NPC\M9052\Brukelt.wzu		
49058 Data\NPC\M9053\Brukelt2.wzu		
49059 Data\NPC\M9040\Schwarz.wzu		
//리더몬스터데이터코드(일반리더:50001~59000)		
50111 Data\NPC\M0111\L_Beast_Guard.wzu		
50112 Data\NPC\M0112\L_Beast_Sentry.wzu		
50113 Data\NPC\M0113\L_Dark_F_Beast.wzu		
50121 Data\NPC\M0121\L_Beast_Infantry.wzu		
50122 Data\NPC\M0122\L_Slave_Archer.wzu		
50123 Data\NPC\M0123\L_Dark_F_Infantry.wzu		
50131 Data\NPC\M0131\L_Beast_Archer.wzu		
50132 Data\NPC\M0132\L_Beast_Knight.wzu		
50133 Data\NPC\M0133\L_Dark_F_Patrol.wzu		
50134 Data\NPC\M0134\L_Dark_F_Magic.wzu		
50211 Data\NPC\M0211\L_W_Sentry.wzu		
50212 Data\NPC\M0212\L_Ghoul.wzu		
50213 Data\NPC\M0213\L_Zombie_Plunderer.wzu		
50221 Data\NPC\M0221\L_Skull_Archer.wzu		
50222 Data\NPC\M0222\L_wandering_Criminal.wzu		
50223 Data\NPC\M0223\L_Skull_Infantry.wzu		
50231 Data\NPC\M0231\L_DarK_W_Archer.wzu		
50232 Data\NPC\M0232\L_Dark_Skull_infantry.wzu		
50233 Data\NPC\M0233\L_Dark_Witch.wzu		
50311 Data\NPC\M0311\L_Lower_Guard.wzu		
50312 Data\NPC\M0312\L_Snow_Beast.wzu		
50313 Data\NPC\M0313\L_Beast_Cavalry.wzu		
50321 Data\NPC\M0321\L_Lower_Sentry.wzu		
50322 Data\NPC\M0322\L_Snow_Dragon_Zombie.wzu		
50323 Data\NPC\M0323\L_heavy_hunter.wzu		
50331 Data\NPC\M0331\L_Lower_Patrol.wzu		
50332 Data\NPC\M0332\L_Snow_Gatekeeper.wzu		
50333 Data\NPC\M0333\L_White_Magic.wzu		
50411 Data\NPC\M0411\L_Dark_land_hoplite.wzu		
50412 Data\NPC\M0412\L_Flame_Cerberus.wzu		
50413 Data\NPC\M0413\L_Gray_land_hunter.wzu		
50421 Data\NPC\M0421\L_Gray_land_Cavalry.wzu		
50422 Data\NPC\M0422\L_Volcano_Beast.wzu		
50423 Data\NPC\M0423\L_Death_Cave_Horseman.wzu		
50431 Data\NPC\M0431\L_Flame_Beast.wzu		
50432 Data\NPC\M0432\L_Flame_Drake.wzu		
50433 Data\NPC\M0433\L_Flame_Shaman.wzu		
55511 Data\NPC\M0560\BeastTropsScout.wzu		
55512 Data\NPC\M0561\BlueTropsScout.wzu		
55513 Data\NPC\M0562\FireTropsScout.wzu		
55514 Data\NPC\M0563\DeathDraonTrops.wzu		
55515 Data\NPC\M9021\Knight_Of_Slavery1.wzu		
55516 Data\NPC\M9034\Blaze_Warrior1.wzu		
55517 Data\NPC\M9031\Royal_Chief_Sorcerer1.wzu		
55518 Data\NPC\M9031\Royal_Chief_Sorcerer2.wzu		
55519 Data\NPC\M9036\Darkness_Slaughter1.wzu		
55520 Data\NPC\M9036\Darkness_Slaughter2.wzu		
		
//표지판(59101)		
59101 Data\NPC\Signpostcommon_signpost01.wzu		
		
//소환체(59001~59052)		
59001 Data\NPC\S001\war_battle.wzu		
59002 Data\NPC\S002\life_Soul.wzu		
59003 Data\NPC\S003\destroyer.wzu		
		
//변신캐릭터(59051~59052)		
59051 Data\PC\Dragon\DragonTrans1.wzu		
59052 Data\PC\Dragon\DragonTrans2.wzu		
		
//미션용오브젝트(59501~60000)		
59501 Data\NPC\O501\Mission_statue.wzu		
59502 Data\NPC\O502\Mission_Staff.wzu		
59503 Data\Map\Object\common_object\common_skeletonpose02.wzu		
59504 Data\NPC\O101\Mission_Watchtower.wzu		
59505 Data\NPC\O102\map03_trigger_mapbox_01.wzu		
59506 Data\Map\object\common_store\common_store_marketboard.wzu		
59507 Data\Map\object\map02\map02_trigger_prisongate01.wzu		
59508 Data\Map\object\map02\map02_trigger_pole01.wzu		
59509 Data\Map\object\map02\map02_trigger_blockcage03.wzu		
59510 Data\Map\object\map02\map02_trigger_WickedFog.wzu		
59511 Data\Map\object\map04\map04_02_Trigger_StoneWall.WZU		
59512 Data\Map\object\map04\zombie_plunderer_TRIGER.wzu		
59513 Data\Map\Object\common_object\common_blueethertrap.wzu		
59514 Data\Map\Object\common_object\common_redethertrap.wzu		
59515 Data\Map\Object\common_object\common_blackethertrap.wzu		
59516 Data\Map\Object\map_tringel\XmasTree_event.wzu		
59517 Data\Map\Object\map_battle02\map_battle02_airship01.wzu		
59518 Data\Map\Object\map_battle02\map_battle02_trigger_castldoor.wzu		
59519 Data\Map\Object\map_battle02\map_battle02_trigger_crystalMain.wzu		
59520 Data\Map\Object\map_battle02\map_battle02_trigger_crystalSide.wzu		
59521 Data\Map\Object\map_battle02\map_battle02_trigger_crystalWhorf02.wzu		
59522 Data\Map\Object\map_battle01\map_battle01_breakablewall_trigger.wzu		
59523 Data\Map\Object\map_battle02\battle_potal_01.wzu		
59524 Data\Map\Object\map06\map06_z01_missions_machine_break_02.wzu		
59525 Data\Map\Object\map06\map06_z01_missions_machine_break_01.wzu		
59526 Data\Map\Object\map06\map06_z01_machine_break_03.wzu		
59527 Data\Map\Object\map06\map06_z01_missions_Crane01.wzu		
59528 Data\Map\Object\map06\map06_z01_missions_Crane02.wzu		
59529 Data\Map\Object\map06\map06_z01_missions_Crane03.wzu		
59530 Data\Map\Object\map06\map06_z01_missions_Crane04.wzu		
59531 Data\Map\Object\map06\map06_z01_etherplant_break.wzu		
59532 Data\Map\Object\map06\map06_z01_tower_inmachine_01.wzu		
59533 Data\Map\Object\map05\map05_z02_crystal_Trigger.wzu		
59534 Data\Map\Object\map06\map06_z05_military_manhole_02.wzu		
59535 Data\Map\Object\map06\map06_z03_center_device.wzu		
//크리스마스이벤트(200026~200029)		
200026 Data\NPC\N1001\Salvation_Army.wzu		
200027 Data\NPC\N1002\Badge_Man.wzu		
200028 Data\NPC\N1003\Santa.wzu		
200029 Data\NPC\O1001\Pot.wzu		
//100레벨전직퀘스트(200030~200051  200068)		
200030 Data\NPC\N1004\double_dragon.wzu		
200031 Data\NPC\N1005\cursed_armor_soldier.wzu		
200032 Data\NPC\N1006\ancient_warrior.wzu		
200033 Data\NPC\N1007\blader.wzu		
200034 Data\NPC\N1008\no_soul_archer.wzu		
200035 Data\NPC\N1009\hell_gatekeeper.wzu		
200036 Data\NPC\N1010\forgotten_warrior.wzu		
200037 Data\NPC\N1011\arc_archer.wzu		
200038 Data\NPC\N1012\red_scale_knight.wzu		
200039 Data\NPC\N1013\hell_flame_dragon.wzu		
200040 Data\NPC\N1014\evil_spirit.wzu		
200041 Data\NPC\N1015\giant_warrior.wzu		
200042 Data\NPC\N1016\daemon_battler.wzu		
200043 Data\NPC\N1017\emperor_knight.wzu		
200044 Data\NPC\N1018\crazy_hellon_soldier.wzu		
200045 Data\NPC\N1019\big_horn_monster.wzu		
200046 Data\NPC\N1020\fear_devil_dragon.wzu		
200047 Data\NPC\N1021\darkness_magic_knight.wzu		
200048 Data\NPC\N1022\elran.wzu		
200049 Data\NPC\N1023\roid.wzu		
200050 Data\NPC\N1024\pritz.wzu		
200051 Data\NPC\N1025\aren.wzu		
200068 Data\NPC\N1026\Arpendue.wzu
200078 Data\NPC\N1026\Arpendue_2.wzu		
//구정이벤트(200056)		
200056 Data\NPC\O1002\Crystal_Pole.wzu		
//펫(5001~5200)		
5001 Data\NPC\N901\pet_cat01.wzu		
5002 Data\NPC\N902\pet_cat02.wzu		
5003 Data\NPC\N903\pet_cat03.wzu		
5004 Data\NPC\N904\pet_cat04.wzu		
5005 Data\NPC\N905\pet_cat05.wzu		
5006 Data\NPC\N921\pet_chickinM.wzu		
5007 Data\NPC\N921\pet_chickinW.wzu		
5008 Data\NPC\N911\pet_rabbit01.wzu		
5009 Data\NPC\N912\pet_rabbit02.wzu		
5010 Data\NPC\N913\pet_rabbit03.wzu		
5011 Data\NPC\N921\pet_bat.wzu		
5012 Data\NPC\N921\pet_ghost01.wzu		
5013 Data\NPC\N921\pet_golem.wzu		
5014 Data\NPC\N921\pet_dog02.wzu		
5015 Data\NPC\N921\pet_dog01.wzu		
5016 Data\NPC\N921\pet_dog03.wzu		
5017 Data\NPC\N921\pet_dog04.wzu		
5018 Data\NPC\N921\pet_Burtterfly.wzu		
5019 Data\NPC\N921\pet_panda.wzu		
5020 Data\NPC\N921\pet_penguin.wzu		
5021 Data\NPC\L0004\Pet_BuzziDragon.wzu		
5022 Data\NPC\N921\pet_globefish.wzu		
5023 Data\NPC\N921\Pet_eagle.wzu		
5024 Data\NPC\N921\Pet_snowman.wzu		
5025 Data\NPC\N921\Pet_Hoplite.wzu		
5026 Data\NPC\N921\Pet_thunder.wzu		
5027 Data\NPC\N921\pet_panda01.wzu		
5028 Data\NPC\N911\pet_rabbit01a.wzu		
5033 Data\NPC\M0412\pet_hellhound.wzu		
5034 Data\NPC\L0001\pet_king_slime.wzu		
5035 Data\NPC\L0002\pet_polluted_spider.wzu		
5036 Data\NPC\L0003\pet_ice_queen.wzu		
5037 Data\NPC\L0004\pet_golden_buzzi_dragon.wzu		
5038 Data\NPC\L0005\pet_fimbulvetr.wzu		
5056 Data\NPC\N921\pet_dog05.wzu		
5057 Data\NPC\L0006\pet_mutant.wzu		
5058 Data\NPC\N921\pet_globefish02.wzu		
5059 Data\NPC\N921\Pet_Tiger.wzu		
5060 Data\NPC\N921\Pet_Tiger01.wzu		
5063 Data\NPC\N921\Pet_skate_penguin.wzu		
5064 Data\NPC\N921\Pet_Kalbus.wzu		
//크리스마스이벤트_2008		
5029 Data\NPC\N1027\SnowMan.wzu		
