//서버저장 메모리를 줄이기 위한 스크립트					
//모든 랜덤옵션 스크립트를 요약한 것으로 서버 저장시 Key 값을 바탕으로 저장함으로써 저장메모리를 줄이기 위한 스크립트					
// 1~4095					
//순서					
//일반 key 1 ~ 2000					
Key	OptionTypeIndex	OptionTypeOrder	ValueIndex	ValueOrder	FieldEnd
250	406	1	1030	5	
251	501	1	1001	1	
252	501	1	1001	2	
253	501	1	1001	3	
254	501	1	1001	4	
255	501	1	1001	5	
256	502	1	1002	1	
257	502	1	1002	2	
258	502	1	1002	3	
259	502	1	1002	4	
260	502	1	1002	5	
261	503	1	1003	1	
262	503	1	1003	2	
263	503	1	1003	3	
264	503	1	1003	4	
265	503	1	1003	5	
266	504	1	1004	1	
267	504	1	1004	2	
268	504	1	1004	3	
269	504	1	1004	4	
270	504	1	1004	5	
271	505	1	1005	1	
272	505	1	1005	2	
273	505	1	1005	3	
274	505	1	1005	4	
275	505	1	1005	5	
276	506	1	1030	1	
277	506	1	1030	2	
278	506	1	1030	3	
279	506	1	1030	4	
280	506	1	1030	5	
281	601	1	1001	1	
282	601	1	1001	2	
283	601	1	1001	3	
284	601	1	1001	4	
285	601	1	1001	5	
286	602	1	1002	1	
287	602	1	1002	2	
288	602	1	1002	3	
289	602	1	1002	4	
290	602	1	1002	5	
291	603	1	1003	1	
292	603	1	1003	2	
293	603	1	1003	3	
294	603	1	1003	4	
295	603	1	1003	5	
296	604	1	1004	1	
297	604	1	1004	2	
298	604	1	1004	3	
299	604	1	1004	4	
300	604	1	1004	5	
301	605	1	1005	1	
302	605	1	1005	2	
303	605	1	1005	3	
304	605	1	1005	4	
305	605	1	1005	5	
306	606	1	1030	1	
307	606	1	1030	2	
308	606	1	1030	3	
309	606	1	1030	4	
310	606	1	1030	5	
311	701	1	1001	1	
312	701	1	1001	2	
313	701	1	1001	3	
314	701	1	1001	4	
315	701	1	1001	5	
316	702	1	1002	1	
317	702	1	1002	2	
318	702	1	1002	3	
319	702	1	1002	4	
320	702	1	1002	5	
321	703	1	1003	1	
322	703	1	1003	2	
323	703	1	1003	3	
324	703	1	1003	4	
325	703	1	1003	5	
326	704	1	1004	1	
327	704	1	1004	2	
328	704	1	1004	3	
329	704	1	1004	4	
330	704	1	1004	5	
331	705	1	1005	1	
332	705	1	1005	2	
333	705	1	1005	3	
334	705	1	1005	4	
335	705	1	1005	5	
336	706	1	1006	1	
337	706	1	1006	2	
338	706	1	1006	3	
339	706	1	1006	4	
340	706	1	1006	5	
341	707	1	1007	1	
342	707	1	1007	2	
343	707	1	1007	3	
344	707	1	1007	4	
345	707	1	1007	5	
346	751	1	1001	1	
347	751	1	1001	2	
348	751	1	1001	3	
349	751	1	1001	4	
350	751	1	1001	5	
351	752	1	1002	1	
352	752	1	1002	2	
353	752	1	1002	3	
354	752	1	1002	4	
355	752	1	1002	5	
356	753	1	1003	1	
357	753	1	1003	2	
358	753	1	1003	3	
359	753	1	1003	4	
360	753	1	1003	5	
361	754	1	1004	1	
362	754	1	1004	2	
363	754	1	1004	3	
364	754	1	1004	4	
365	754	1	1004	5	
366	755	1	1005	1	
367	755	1	1005	2	
368	755	1	1005	3	
369	755	1	1005	4	
370	755	1	1005	5	
371	756	1	1006	1	
372	756	1	1006	2	
373	756	1	1006	3	
374	756	1	1006	4	
375	756	1	1006	5	
376	757	1	1007	1	
377	757	1	1007	2	
378	757	1	1007	3	
379	757	1	1007	4	
380	757	1	1007	5	
381	801	1	1005	1	
382	801	1	1005	2	
383	801	1	1005	3	
384	801	1	1005	4	
385	801	1	1005	5	
386	802	1	1006	1	
387	802	1	1006	2	
388	802	1	1006	3	
389	802	1	1006	4	
390	802	1	1006	5	
391	803	1	1007	1	
392	803	1	1007	2	
393	803	1	1007	3	
394	803	1	1007	4	
395	803	1	1007	5	
396	804	1	1008	1	
397	804	1	1008	2	
398	804	1	1008	3	
399	804	1	1008	4	
400	804	1	1008	5	
401	805	1	1009	1	
402	805	1	1009	2	
403	805	1	1009	3	
404	805	1	1009	4	
405	805	1	1009	5	
406	806	1	1010	1	
407	806	1	1010	2	
408	806	1	1010	3	
409	806	1	1010	4	
410	806	1	1010	5	
411	851	1	1005	1	
412	851	1	1005	2	
413	851	1	1005	3	
414	851	1	1005	4	
415	851	1	1005	5	
416	852	1	1006	1	
417	852	1	1006	2	
418	852	1	1006	3	
419	852	1	1006	4	
420	852	1	1006	5	
421	853	1	1007	1	
422	853	1	1007	2	
423	853	1	1007	3	
424	853	1	1007	4	
425	853	1	1007	5	
426	854	1	1008	1	
427	854	1	1008	2	
428	854	1	1008	3	
429	854	1	1008	4	
430	854	1	1008	5	
431	855	1	1009	1	
432	855	1	1009	2	
433	855	1	1009	3	
434	855	1	1009	4	
435	855	1	1009	5	
436	856	1	1010	1	
437	856	1	1010	2	
438	856	1	1010	3	
439	856	1	1010	4	
440	856	1	1010	5	
441	901	1	1005	1	
442	901	1	1005	2	
443	901	1	1005	3	
444	901	1	1005	4	
445	901	1	1005	5	
446	902	1	1006	1	
447	902	1	1006	2	
448	902	1	1006	3	
449	902	1	1006	4	
450	902	1	1006	5	
451	903	1	1007	1	
452	903	1	1007	2	
453	903	1	1007	3	
454	903	1	1007	4	
455	903	1	1007	5	
456	904	1	1008	1	
457	904	1	1008	2	
458	904	1	1008	3	
459	904	1	1008	4	
460	904	1	1008	5	
461	905	1	1009	1	
462	905	1	1009	2	
463	905	1	1009	3	
464	905	1	1009	4	
465	905	1	1009	5	
466	906	1	1010	1	
467	906	1	1010	2	
468	906	1	1010	3	
469	906	1	1010	4	
470	906	1	1010	5	
471	951	1	1005	1	
472	951	1	1005	2	
473	951	1	1005	3	
474	951	1	1005	4	
475	951	1	1005	5	
476	952	1	1006	1	
477	952	1	1006	2	
478	952	1	1006	3	
479	952	1	1006	4	
480	952	1	1006	5	
481	953	1	1007	1	
482	953	1	1007	2	
483	953	1	1007	3	
484	953	1	1007	4	
485	953	1	1007	5	
486	954	1	1008	1	
487	954	1	1008	2	
488	954	1	1008	3	
489	954	1	1008	4	
490	954	1	1008	5	
491	955	1	1009	1	
492	955	1	1009	2	
493	955	1	1009	3	
494	955	1	1009	4	
495	955	1	1009	5	
496	956	1	1010	1	
497	956	1	1010	2	
498	956	1	1010	3	
499	956	1	1010	4	
500	956	1	1010	5	
501	1001	1	1005	1	
502	1001	1	1005	2	
503	1001	1	1005	3	
504	1001	1	1005	4	
505	1001	1	1005	5	
506	1002	1	1006	1	
507	1002	1	1006	2	
508	1002	1	1006	3	
509	1002	1	1006	4	
510	1002	1	1006	5	
511	1003	1	1007	1	
512	1003	1	1007	2	
513	1003	1	1007	3	
514	1003	1	1007	4	
515	1003	1	1007	5	
516	1004	1	1008	1	
517	1004	1	1008	2	
518	1004	1	1008	3	
519	1004	1	1008	4	
520	1004	1	1008	5	
521	1005	1	1009	1	
522	1005	1	1009	2	
523	1005	1	1009	3	
524	1005	1	1009	4	
525	1005	1	1009	5	
526	1006	1	1010	1	
527	1006	1	1010	2	
528	1006	1	1010	3	
529	1006	1	1010	4	
530	1006	1	1010	5	
531	1051	1	1005	1	
532	1051	1	1005	2	
533	1051	1	1005	3	
534	1051	1	1005	4	
535	1051	1	1005	5	
536	1052	1	1006	1	
537	1052	1	1006	2	
538	1052	1	1006	3	
539	1052	1	1006	4	
540	1052	1	1006	5	
541	1053	1	1007	1	
542	1053	1	1007	2	
543	1053	1	1007	3	
544	1053	1	1007	4	
545	1053	1	1007	5	
546	1054	1	1008	1	
547	1054	1	1008	2	
548	1054	1	1008	3	
549	1054	1	1008	4	
550	1054	1	1008	5	
551	1055	1	1009	1	
552	1055	1	1009	2	
553	1055	1	1009	3	
554	1055	1	1009	4	
555	1055	1	1009	5	
556	1056	1	1010	1	
557	1056	1	1010	2	
558	1056	1	1010	3	
559	1056	1	1010	4	
560	1056	1	1010	5	
561	1101	1	1005	1	
562	1101	1	1005	2	
563	1101	1	1005	3	
564	1101	1	1005	4	
565	1101	1	1005	5	
566	1102	1	1006	1	
567	1102	1	1006	2	
568	1102	1	1006	3	
569	1102	1	1006	4	
570	1102	1	1006	5	
571	1103	1	1007	1	
572	1103	1	1007	2	
573	1103	1	1007	3	
574	1103	1	1007	4	
575	1103	1	1007	5	
576	1104	1	1008	1	
577	1104	1	1008	2	
578	1104	1	1008	3	
579	1104	1	1008	4	
580	1104	1	1008	5	
581	1105	1	1009	1	
582	1105	1	1009	2	
583	1105	1	1009	3	
584	1105	1	1009	4	
585	1105	1	1009	5	
586	1106	1	1010	1	
587	1106	1	1010	2	
588	1106	1	1010	3	
589	1106	1	1010	4	
590	1106	1	1010	5	
591	1150	1	1030	1	
592	1150	1	1030	2	
593	1150	1	1030	3	
594	1150	1	1030	4	
595	1150	1	1030	5	
596	1151	1	1001	1	
597	1151	1	1001	2	
598	1151	1	1001	3	
599	1151	1	1001	4	
600	1151	1	1001	5	
601	1152	1	1002	1	
602	1152	1	1002	2	
603	1152	1	1002	3	
604	1152	1	1002	4	
605	1152	1	1002	5	
606	1153	1	1003	1	
607	1153	1	1003	2	
608	1153	1	1003	3	
609	1153	1	1003	4	
610	1153	1	1003	5	
611	1154	1	1004	1	
612	1154	1	1004	2	
613	1154	1	1004	3	
614	1154	1	1004	4	
615	1154	1	1004	5	
616	1155	1	1005	1	
617	1155	1	1005	2	
618	1155	1	1005	3	
619	1155	1	1005	4	
620	1155	1	1005	5	
621	1156	1	1006	1	
622	1156	1	1006	2	
623	1156	1	1006	3	
624	1156	1	1006	4	
625	1156	1	1006	5	
626	1157	1	1007	1	
627	1157	1	1007	2	
628	1157	1	1007	3	
629	1157	1	1007	4	
630	1157	1	1007	5	
631	1158	1	1008	1	
632	1158	1	1008	2	
633	1158	1	1008	3	
634	1158	1	1008	4	
635	1158	1	1008	5	
636	1159	1	1009	1	
637	1159	1	1009	2	
638	1159	1	1009	3	
639	1159	1	1009	4	
640	1159	1	1009	5	
641	1160	1	1010	1	
642	1160	1	1010	2	
643	1160	1	1010	3	
644	1160	1	1010	4	
645	1160	1	1010	5	
646	1161	1	1011	1	
647	1161	1	1011	2	
648	1161	1	1011	3	
649	1161	1	1011	4	
650	1161	1	1011	5	
651	1162	1	1012	1	
652	1162	1	1012	2	
653	1162	1	1012	3	
654	1162	1	1012	4	
655	1162	1	1012	5	
656	1163	1	1013	1	
657	1163	1	1013	2	
658	1163	1	1013	3	
659	1163	1	1013	4	
660	1163	1	1013	5	
661	1164	1	1014	1	
662	1164	1	1014	2	
663	1164	1	1014	3	
664	1164	1	1014	4	
665	1164	1	1014	5	
666	1165	1	1015	1	
667	1165	1	1015	2	
668	1165	1	1015	3	
669	1165	1	1015	4	
670	1165	1	1015	5	
671	1166	1	1016	1	
672	1166	1	1016	2	
673	1166	1	1016	3	
674	1166	1	1016	4	
675	1166	1	1016	5	
676	1167	1	1017	1	
677	1167	1	1017	2	
678	1167	1	1017	3	
679	1167	1	1017	4	
680	1167	1	1017	5	
681	1168	1	1018	1	
682	1168	1	1018	2	
683	1168	1	1018	3	
684	1168	1	1018	4	
685	1168	1	1018	5	
686	1201	1	1001	1	
687	1201	1	1001	2	
688	1201	1	1001	3	
689	1201	1	1001	4	
690	1201	1	1001	5	
691	1202	1	1002	1	
692	1202	1	1002	2	
693	1202	1	1002	3	
694	1202	1	1002	4	
695	1202	1	1002	5	
696	1203	1	1003	1	
697	1203	1	1003	2	
698	1203	1	1003	3	
699	1203	1	1003	4	
700	1203	1	1003	5	
701	1204	1	1004	1	
702	1204	1	1004	2	
703	1204	1	1004	3	
704	1204	1	1004	4	
705	1204	1	1004	5	
706	1205	1	1005	1	
707	1205	1	1005	2	
708	1205	1	1005	3	
709	1205	1	1005	4	
710	1205	1	1005	5	
711	1206	1	1006	1	
712	1206	1	1006	2	
713	1206	1	1006	3	
714	1206	1	1006	4	
715	1206	1	1006	5	
716	1207	1	1007	1	
717	1207	1	1007	2	
718	1207	1	1007	3	
719	1207	1	1007	4	
720	1207	1	1007	5	
721	1208	1	1008	1	
722	1208	1	1008	2	
723	1208	1	1008	3	
724	1208	1	1008	4	
725	1208	1	1008	5	
726	1209	1	1009	1	
727	1209	1	1009	2	
728	1209	1	1009	3	
729	1209	1	1009	4	
730	1209	1	1009	5	
731	1210	1	1010	1	
732	1210	1	1010	2	
733	1210	1	1010	3	
734	1210	1	1010	4	
735	1210	1	1010	5	
736	1211	1	1011	1	
737	1211	1	1011	2	
738	1211	1	1011	3	
739	1211	1	1011	4	
740	1211	1	1011	5	
741	1212	1	1012	1	
742	1212	1	1012	2	
743	1212	1	1012	3	
744	1212	1	1012	4	
745	1212	1	1012	5	
746	1213	1	1013	1	
747	1213	1	1013	2	
748	1213	1	1013	3	
749	1213	1	1013	4	
750	1213	1	1013	5	
751	1214	1	1014	1	
752	1214	1	1014	2	
753	1214	1	1014	3	
754	1214	1	1014	4	
755	1214	1	1014	5	
756	1215	1	1015	1	
757	1215	1	1015	2	
758	1215	1	1015	3	
759	1215	1	1015	4	
760	1215	1	1015	5	
761	1216	1	1016	1	
762	1216	1	1016	2	
763	1216	1	1016	3	
764	1216	1	1016	4	
765	1216	1	1016	5	
766	1217	1	1017	1	
767	1217	1	1017	2	
768	1217	1	1017	3	
769	1217	1	1017	4	
770	1217	1	1017	5	
771	1218	1	1018	1	
772	1218	1	1018	2	
773	1218	1	1018	3	
774	1218	1	1018	4	
775	1218	1	1018	5	
776	1251	1	1001	1	
777	1251	1	1001	2	
778	1251	1	1001	3	
779	1251	1	1001	4	
780	1251	1	1001	5	
781	1252	1	1002	1	
782	1252	1	1002	2	
783	1252	1	1002	3	
784	1252	1	1002	4	
785	1252	1	1002	5	
786	1253	1	1003	1	
787	1253	1	1003	2	
788	1253	1	1003	3	
789	1253	1	1003	4	
790	1253	1	1003	5	
791	1254	1	1004	1	
792	1254	1	1004	2	
793	1254	1	1004	3	
794	1254	1	1004	4	
795	1254	1	1004	5	
796	1255	1	1005	1	
797	1255	1	1005	2	
798	1255	1	1005	3	
799	1255	1	1005	4	
800	1255	1	1005	5	
801	1256	1	1006	1	
802	1256	1	1006	2	
803	1256	1	1006	3	
804	1256	1	1006	4	
805	1256	1	1006	5	
806	1257	1	1007	1	
807	1257	1	1007	2	
808	1257	1	1007	3	
809	1257	1	1007	4	
810	1257	1	1007	5	
811	1258	1	1008	1	
812	1258	1	1008	2	
813	1258	1	1008	3	
814	1258	1	1008	4	
815	1258	1	1008	5	
816	1259	1	1009	1	
817	1259	1	1009	2	
818	1259	1	1009	3	
819	1259	1	1009	4	
820	1259	1	1009	5	
821	1260	1	1010	1	
822	1260	1	1010	2	
823	1260	1	1010	3	
824	1260	1	1010	4	
825	1260	1	1010	5	
826	1261	1	1011	1	
827	1261	1	1011	2	
828	1261	1	1011	3	
829	1261	1	1011	4	
830	1261	1	1011	5	
831	1262	1	1012	1	
832	1262	1	1012	2	
833	1262	1	1012	3	
834	1262	1	1012	4	
835	1262	1	1012	5	
836	1263	1	1013	1	
837	1263	1	1013	2	
838	1263	1	1013	3	
839	1263	1	1013	4	
840	1263	1	1013	5	
841	1264	1	1014	1	
842	1264	1	1014	2	
843	1264	1	1014	3	
844	1264	1	1014	4	
845	1264	1	1014	5	
846	1265	1	1015	1	
847	1265	1	1015	2	
848	1265	1	1015	3	
849	1265	1	1015	4	
850	1265	1	1015	5	
851	1266	1	1016	1	
852	1266	1	1016	2	
853	1266	1	1016	3	
854	1266	1	1016	4	
855	1266	1	1016	5	
856	1267	1	1017	1	
857	1267	1	1017	2	
858	1267	1	1017	3	
859	1267	1	1017	4	
860	1267	1	1017	5	
861	1268	1	1018	1	
862	1268	1	1018	2	
863	1268	1	1018	3	
864	1268	1	1018	4	
865	1268	1	1018	5	
866	1301	1	1001	1	
867	1301	1	1001	2	
868	1301	1	1001	3	
869	1301	1	1001	4	
870	1301	1	1001	5	
871	1302	1	1002	1	
872	1302	1	1002	2	
873	1302	1	1002	3	
874	1302	1	1002	4	
875	1302	1	1002	5	
876	1303	1	1003	1	
877	1303	1	1003	2	
878	1303	1	1003	3	
879	1303	1	1003	4	
880	1303	1	1003	5	
881	1304	1	1004	1	
882	1304	1	1004	2	
883	1304	1	1004	3	
884	1304	1	1004	4	
885	1304	1	1004	5	
886	1305	1	1005	1	
887	1305	1	1005	2	
888	1305	1	1005	3	
889	1305	1	1005	4	
890	1305	1	1005	5	
891	1306	1	1006	1	
892	1306	1	1006	2	
893	1306	1	1006	3	
894	1306	1	1006	4	
895	1306	1	1006	5	
896	1307	1	1007	1	
897	1307	1	1007	2	
898	1307	1	1007	3	
899	1307	1	1007	4	
900	1307	1	1007	5	
901	1308	1	1008	1	
902	1308	1	1008	2	
903	1308	1	1008	3	
904	1308	1	1008	4	
905	1308	1	1008	5	
906	1309	1	1009	1	
907	1309	1	1009	2	
908	1309	1	1009	3	
909	1309	1	1009	4	
910	1309	1	1009	5	
911	1310	1	1010	1	
912	1310	1	1010	2	
913	1310	1	1010	3	
914	1310	1	1010	4	
915	1310	1	1010	5	
916	1311	1	1011	1	
917	1311	1	1011	2	
918	1311	1	1011	3	
919	1311	1	1011	4	
920	1311	1	1011	5	
921	1312	1	1012	1	
922	1312	1	1012	2	
923	1312	1	1012	3	
924	1312	1	1012	4	
925	1312	1	1012	5	
926	1313	1	1013	1	
927	1313	1	1013	2	
928	1313	1	1013	3	
929	1313	1	1013	4	
930	1313	1	1013	5	
931	1314	1	1014	1	
932	1314	1	1014	2	
933	1314	1	1014	3	
934	1314	1	1014	4	
935	1314	1	1014	5	
936	1315	1	1015	1	
937	1315	1	1015	2	
938	1315	1	1015	3	
939	1315	1	1015	4	
940	1315	1	1015	5	
941	1316	1	1016	1	
942	1316	1	1016	2	
943	1316	1	1016	3	
944	1316	1	1016	4	
945	1316	1	1016	5	
946	1317	1	1017	1	
947	1317	1	1017	2	
948	1317	1	1017	3	
949	1317	1	1017	4	
950	1317	1	1017	5	
951	1318	1	1018	1	
952	1318	1	1018	2	
953	1318	1	1018	3	
954	1318	1	1018	4	
955	1318	1	1018	5	
956	1351	1	2000	1	
957	1352	1	2000	1	
958	1501	1	1201	1	
959	1501	1	1201	2	
960	1501	1	1201	3	
961	1501	1	1201	4	
962	1501	1	1201	5	
963	1502	1	1202	1	
964	1502	1	1202	2	
965	1502	1	1202	3	
966	1502	1	1202	4	
967	1502	1	1202	5	
968	1503	1	1203	1	
969	1503	1	1203	2	
970	1503	1	1203	3	
971	1503	1	1203	4	
972	1503	1	1203	5	
973	1504	1	1204	1	
974	1504	1	1204	2	
975	1504	1	1204	3	
976	1504	1	1204	4	
977	1504	1	1204	5	
978	1505	1	1205	1	
979	1505	1	1205	2	
980	1505	1	1205	3	
981	1505	1	1205	4	
982	1505	1	1205	5	
983	1506	1	1206	1	
984	1506	1	1206	2	
985	1506	1	1206	3	
986	1506	1	1206	4	
987	1506	1	1206	5	
988	1507	1	1207	1	
989	1507	1	1207	2	
990	1507	1	1207	3	
991	1507	1	1207	4	
992	1507	1	1207	5	
993	1508	1	1208	1	
994	1508	1	1208	2	
995	1508	1	1208	3	
996	1508	1	1208	4	
997	1508	1	1208	5	
998	1509	1	1302	1	
999	1509	1	1302	2	
1000	1509	1	1302	3	
1001	1509	1	1302	4	
1002	1509	1	1302	5	
1003	1510	1	1303	1	
1004	1510	1	1303	2	
1005	1510	1	1303	3	
1006	1510	1	1303	4	
1007	1510	1	1303	5	
1008	1511	1	1304	1	
1009	1511	1	1304	2	
1010	1511	1	1304	3	
1011	1511	1	1304	4	
1012	1511	1	1304	5	
1013	1512	1	1305	1	
1014	1512	1	1305	2	
1015	1512	1	1305	3	
1016	1512	1	1305	4	
1017	1512	1	1305	5	
1018	1513	1	1306	1	
1019	1513	1	1306	2	
1020	1513	1	1306	3	
1021	1513	1	1306	4	
1022	1513	1	1306	5	
1023	1514	1	1307	1	
1024	1514	1	1307	2	
1025	1514	1	1307	3	
1026	1514	1	1307	4	
1027	1514	1	1307	5	
1028	1515	1	1308	1	
1029	1515	1	1308	2	
1030	1515	1	1308	3	
1031	1515	1	1308	4	
1032	1515	1	1308	5	
1033	1516	1	1309	1	
1034	1516	1	1309	2	
1035	1516	1	1309	3	
1036	1516	1	1309	4	
1037	1516	1	1309	5	
1038	1517	1	1310	1	
1039	1517	1	1310	2	
1040	1517	1	1310	3	
1041	1517	1	1310	4	
1042	1517	1	1310	5	
1043	1518	1	1311	1	
1044	1518	1	1311	2	
1045	1518	1	1311	3	
1046	1518	1	1311	4	
1047	1518	1	1311	5	
1048	1519	1	1312	1	
1049	1519	1	1312	2	
1050	1519	1	1312	3	
1051	1519	1	1312	4	
1052	1519	1	1312	5	
1053	1601	1	1201	1	
1054	1601	1	1201	2	
1055	1601	1	1201	3	
1056	1601	1	1201	4	
1057	1601	1	1201	5	
1058	1602	1	1202	1	
1059	1602	1	1202	2	
1060	1602	1	1202	3	
1061	1602	1	1202	4	
1062	1602	1	1202	5	
1063	1603	1	1203	1	
1064	1603	1	1203	2	
1065	1603	1	1203	3	
1066	1603	1	1203	4	
1067	1603	1	1203	5	
1068	1604	1	1204	1	
1069	1604	1	1204	2	
1070	1604	1	1204	3	
1071	1604	1	1204	4	
1072	1604	1	1204	5	
1073	1605	1	1205	1	
1074	1605	1	1205	2	
1075	1605	1	1205	3	
1076	1605	1	1205	4	
1077	1605	1	1205	5	
1078	1606	1	1206	1	
1079	1606	1	1206	2	
1080	1606	1	1206	3	
1081	1606	1	1206	4	
1082	1606	1	1206	5	
1083	1607	1	1207	1	
1084	1607	1	1207	2	
1085	1607	1	1207	3	
1086	1607	1	1207	4	
1087	1607	1	1207	5	
