//SetItemOptionInfo		아이템타입																																																																																																																									눈(1)																		
//																																																																																																																											몸통(2)		머리(8)																
//																																																																																																																											오른손(4)		가슴(11)																
//																																																																																																						남	여																				왼손(5)		바닥(12)																
//				갑옷	2개			4개			6개			프로텍터	2개			4개			6개			헬멧	2개			4개			6개			바지	2개			4개			6개			부츠	2개			4개			6개			장갑	2개			4개			6개			벨트	2개			4개			6개			셔츠	2개			4개			6개			풀옵션																				추가옵션																	남								여												
//파라메타 업데이트 버전 정보		812(TypeAdd)																																																																																																				1102	1102	//풀세트 장비 후 해당 아아이템 장비 시 추가옵션 발동																									1102												
//설명	세트그룹코드	아이템타입	풀옵션활성화수	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	풀셋추가리소스	풀셋추가리소스	아이템코트	장비위치	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	옵션종류	수치타입	기본옵션	본넘버1	효과코드1	본넘버2	효과코드2	본넘버3	효과코드3	본넘버4	효과코드4	본넘버5	효과코드5	본넘버6	효과코드6	본넘버7	효과코드7	본넘버8	효과코드8					
	wSetGCode	bysubType	bFulloptionNum	EqPos1	OptionKind1_1	useType1_1	Option1_1	OptionKind2_1	useType2_1	Option2_1	OptionKind3_1	useType3_1	Option3_1	EqPos2	OptionKind1_2	useType1_2	Option1_2	OptionKind2_2	useType2_2	Option2_2	OptionKind3_2	useType3_2	Option3_2	EqPos3	OptionKind1_3	useType1_3	Option1_3	OptionKind2_3	useType2_3	Option2_3	OptionKind3_3	useType3_3	Option3_3	EqPos4	OptionKind1_4	useType1_4	Option1_4	OptionKind2_4	useType2_4	Option2_4	OptionKind3_4	useType3_4	Option3_4	EqPos5	OptionKind1_5	useType1_5	Option1_5	OptionKind2_5	useType2_5	Option2_5	OptionKind3_5	useType3_5	Option3_5	EqPos6	OptionKind1_6	useType1_6	Option1_6	OptionKind2_6	useType2_6	Option2_6	OptionKind3_6	useType3_6	Option3_6	EqPos7	OptionKind1_7	useType1_7	Option1_7	OptionKind2_7	useType2_7	Option2_7	OptionKind3_7	useType3_7	Option3_7	EqPos8	OptionKind1_8	useType1_8	Option1_8	OptionKind2_8	useType2_8	Option2_8	OptionKind3_8	useType3_8	Option3_8	FullOptionKind1	useType1	FullOption1	FullOptionKind2	useType2	FullOption2	FullOptionKind3	useType3	FullOption3	FullOptionKind4	useType4	FullOption4	FullOptionKind5	useType5	FullOption5	FullOptionKind6	useType6	FullOption6	FullsetChangeArmorResource	FullsetChangeArmorResource2	SpecialItemCode	SpecialPos	SpecialOptionKind1	 SpecialuseType1	SpecialOption1	SpecialOptionKind2	 SpecialuseType2	SpecialOption2	SpecialOptionKind3	 SpecialuseType3	SpecialOption3	SpecialOptionKind4	 SpecialuseType4	SpecialOption4	SpecialOptionKind5	 SpecialuseType5	SpecialOption5	btBoneIdx1	sEffect1	btBoneIdx2	sEffect2	btBoneIdx3	sEffect3	btBoneIdx4	sEffect4	btBoneIdx5	sEffect5	btBoneIdx6	sEffect6	btBoneIdx7	sEffect7	btBoneIdx8	sEffect8	FieldEnd				
	6	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	m255	4	m280	5	m280	1	A644	2	m265	12	m290	0	Null	1	A646		//	버서커	엘리트1.5차	
	7	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11411	11413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	m260	12	m285	0	Null	1	A645	2	m265	12	m290	0	Null	1	A646		//	드래곤나이트	엘리트1.5차	
	8	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11414	11412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	M275	4	M300	5	M300	1	A685	2	m270	0	Null	0	Null	1	A647		//	엘리멘탈리스트	엘리트1.5차	
	9	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11411	11413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	m260	12	m285	0	Null	1	A645	2	m265	12	m290	0	Null	1	A646		//	발키리	엘리트1.5차	
	10	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11414	11412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	M275	4	M300	5	M300	1	A685	2	m270	0	Null	0	Null	1	A647		//	섀도우	엘리트1.5차	
	92	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14462	14462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A852	0	Null	0	Null	1	A853	2	A852	0	Null	0	Null	1	A853		//	미스틱	엘리트1.5차	
	95	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	M365	4	M366	5	M366	1	M367	2	Null	0	Null	0	Null	1	Null		//	헬로이드	엘리트1.5차	
	98	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Null	4	Null	5	Null	1	Null	2	M390	4	M391	5	M391	1	Null		//	위치블레이드	엘리트1.5차	
//엘리트2차아이템 세트효과																																																																																																																																													
	61	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11321	11324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	M335	4	M336	5	M336	1	M337	2	M350	4	M351	5	M351	1	M352		//	버서커	엘리트2차	
	62	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11322	11324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	M340	4	M341	5	M341	1	M342	2	M350	4	M351	5	M351	1	M352		//	드래곤나이트	엘리트2차	
	63	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11325	11323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	M345	4	M346	5	M346	1	M347	2	M355	0	Null	0	Null	1	M356		//	엘리멘탈리스트	엘리트2차	
	64	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11322	11324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	M340	4	M341	5	M341	1	M342	2	M350	4	M351	5	M351	1	M352		//	발키리	엘리트2차	
	65	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11325	11323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	M345	4	M346	5	M346	1	M347	2	M355	0	Null	0	Null	1	M356		//	섀도우	엘리트2차	
	93	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14463	14463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A856	4	A857	5	A857	1	A858	2	A856	4	A857	5	A857	1	A858		//	미스틱	엘리트2차	
	96	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	M370	4	M371	5	M371	1	M372	2	Null	4	Null	5	Null	1	Null		//	헬로이드	엘리트2차	
	99	2	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Null	4	Null	5	Null	1	Null	2	M395	4	M396	5	M396	1	Null		//	위치블레이드	엘리트2차	
	71	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A515	4	m039	5	m039	0	Null	2	A517	11	m139	0	Null	0	Null		//	버서커	엘리트1차_스킨A셋	
	72	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11420	11422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A516	12	m071	0	Null	0	Null	2	A517	11	m139	0	Null	0	Null		//	드래곤나이트	엘리트1차_스킨A셋	
	73	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11423	11421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A655	4	A656	5	A656	0	Null	2	A518	0	Null	0	Null	0	Null		//	엘리멘탈리스트	엘리트1차_스킨A셋	
	74	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11420	11422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A516	12	m071	0	Null	0	Null	2	A517	11	m139	0	Null	0	Null		//	발키리	엘리트1차_스킨A셋	
	75	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11423	11421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A655	4	A656	5	A656	0	Null	2	A518	0	Null	0	Null	0	Null		//	섀도우	엘리트1차_스킨A셋	
	81	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A515	4	m039	5	m039	0	Null	2	A517	11	m139	0	Null	0	Null		//	버서커	엘리트1차_스킨B셋	
	82	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11424	11426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A516	12	m071	0	Null	0	Null	2	A517	11	m139	0	Null	0	Null		//	드래곤나이트	엘리트1차_스킨B셋	
	83	2	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11427	11425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A655	4	A656	5	A656	0	Null	2	A518	0	Null	0	Null	0	Null		//	엘리멘탈리스트	엘리트1차_스킨B셋	
