//인터페이스 위치 설정 문서		b_X_ref_Type	1: 좌측정렬			2: 우측정렬	3: 가운데 정렬															
// 작성자 : 이영민		b_Y_ref_Type	1: 상단정렬			2: 하단정렬	3: 가운데정렬															
// 작성일자 : 오후 4:44 2008-08-13		w_offset_X	x축 기준점으로부터 떨어진값(1024*768기준)																			
//		w_Offset_Y	y축 기준점으로부터 떨어진값(1024*768기준)																			
//		Wide_w_offset_X	x축 기준점으로부터 떨어진값(1280*768기준)																			
//		Wide_w_offset_Y	y축 기준점으로부터 떨어진값(1280*768기준)																			
//Version																						
//1.0																						
																						
																						
//다이얼로그ID	인터페이스 파일명	X축정렬방식	x축offset값	와이드x축offset값	16:10와이드x축offset값	Y축정렬방식	y축offset값	와이드y축offset값	16:10와이드y축offset값	움직임여부				16:10								
//0203	20_3_system_message.iwz	2	-385	-385	-385	2	-205	-205	-205	0	0	0	0	0	0	0	0	1	0		//	시스템 메세지창
//0108	1_8_VirtualKeyboard.iwz	3	-287	-287	-287	1	97	97	97	0	0	0	0	0	0	0	0	1	0	//	소프트웨어키보드(일본)	
//	서버에서 찍어줄것	1	17			2	-116			0	0	0	0	0	0	0	0	1	0			
9910	99_10_Event_Crystal.iwz	1	24	24	24	1	83	83	83	0	0	0	0	0	0	0	0	1	0		//	수정기둥
9733	97_33_List.iwz	3	-38	-38	-38	3	-237	-237	-237	0	0	0	0	0	0	0	0	1	0		//	피의성전 점령전 출전리스트
9729	97_29_zone_mark.iwz	1	290	290	290	1	50	50	50	0	0	0	0	0	0	0	0	1	0		//	지역점령전 점령중 본인의 마크 창
9728	97_28_counter.iwz	3	-116	-116	-116	1	-100	-100	-95	0	0	0	0	0	0	0	0	1	0		//	지역점령전 각인표시 창
9727	97_27_mercenary_time.iwz	2	-309	-309	-309	1	3	3	3	0	0	0	0	0	0	0	0	1	0		//	지역점령전 시간/인원표시 창
9726	97_26_guild_notice.iwz	3	-267	-267	-267	1	78	78	78	0	0	0	0	0	0	0	0	1	0		//	지역점령전 길드 공지사항 창
9725	97_25_area_edit.iwz	3	-161	-161	-161	3	-237	-237	-237	0	0	0	0	0	0	0	0	1	0		//	지역점령전 방어벽 설정 창
9724	97_24_area_offer.iwz	3	-156	-156	-156	3	40	40	40	0	0	0	0	0	0	0	0	1	0		//	지역점령전 신청확인 창
9723	97_23_area_entry.iwz	3	-250	-250	-250	3	-264	-264	-264	0	0	0	0	0	0	0	0	1	0		//	지역점령전 신청 창
9722	97_22_area.iwz	3	-165	-165	-165	3	-237	-237	-237	0	0	0	0	0	0	0	0	1	0		//	지역점령전 입장/신청/관리 창
9721	97_21_guild_name.iwz	3	-165	-165	-165	1	150	150	150	0	0	0	0	0	0	0	0	1	0		//	지역점령전 길드마크/이름 창
9720	97_20_gm_notice.iwz	3	-267	-267	-267	1	78	78	78	0	0	0	0	0	0	0	0	1	0		//	지역점령전 GM 공지사항 창
9530	95_3_edit.iwz	3	-36	-36	-36	1	89	89	89	0	0	0	0	0	0	0	0	1	0		//	자동사냥 시스템 제어 창
9520	95_2_Support.iwz	3	-207	-207	-207	1	22	22	22	0	0	0	0	0	0	0	0	1	0		//	자동사냥 지원설정 창
9510	95_1_Battle.iwz	3	-207	-207	-207	1	22	22	22	0	0	0	0	0	0	0	0	1	0		//	자동사냥 전투설정 창
8312	83_12_QuestList.iwz	2	-300	-300	-300	2	-497	-497	-497	0	0	0	0	0	0	0	0	1	0		//	퀘스트 리스트 창
7610	76_10_Cubeslot.iwz	1	723	723	723	1	718	718	718	0	0	0	0	0	0	0	0	1	0		//	큐브 슬롯
7340	73_40_Guild_Info.iwz	3	-327	-327	-327	3	-324	-324	-324	0	0	0	0	0	0	0	0	1	0		//	길드정보 창
7332	73_32_Guild_NameChange.iwz	3	-175	-175	-175	3	-93	-93	-93	0	0	0	0	0	0	0	0	1	0		//	길드명변경UI
7325	73_25_Guild_Relation2.iwz	1	551	595	595	2	586	586	586	0	0	0	0	0	0	0	0	1	0		//	길드적대관계
7324	73_24_Guild_Relation.iwz	1	551	595	595	2	586	586	586	0	0	0	0	0	0	0	0	1	0		//	길드동맹관계
7322	73_22_Guild_RightDelegation.iwz	1	551	595	595	2	563	563	563	0	0	0	0	0	0	0	0	1	0		//	길드권한위임
7311	73_11_Guild_Relation_Ask.iwz	1	377	505	505	2	480	480	480	0	0	0	0	0	0	0	0	1	0		//	길드확인창
7310	73_10_Guild_warehuse	1	33	33	33	1	-97	-97	-97	0	0	0	0	0	0	0	0	1	0	//	길드창고	
4724	47_3_Cash_itemlist.iwz	3	183	183	183	3	-313	-313	-313	0	0	0	0	0	0	0	0	1	0		//	캐시샵 미리보기 장바구니창
4723	47_3_Cash_itemlist.iwz	3	183	183	183	3	-313	-313	-313	0	0	0	0	0	0	0	0	1	0		//	캐시샵 미리보기 장바구니창
4722	47_3_Cash_itemlist.iwz	3	183	183	183	3	-313	-313	-313	0	0	0	0	0	0	0	0	1	0		//	캐시샵 미리보기 장바구니창
4721	47_3_Cash_itemlist.iwz	3	183	183	183	3	-313	-313	-313	0	0	0	0	0	0	0	0	1	0		//	캐시샵 미리보기 장바구니창
4720	47_3_Cash_itemlist.iwz	3	183	183	183	3	-313	-313	-313	0	0	0	0	0	0	0	0	1	0		//	캐시샵 미리보기 장바구니창
4290	42_9_Action_Emote.iwz	1	6	6	6	1	111	111	111	0	0	0	0	0	0	0	0	1	0		//	감정표현 창
4280	42_8_Perkslot.iwz	2	-301	-301	-301	2	-51	-51	-51	0	0	0	0	0	0	0	0	1	0		//	퍽 슬롯
4270	42_7_Perk_Window.iwz	1	6	6	6	1	111	111	111	0	0	0	0	0	0	0	0	1	0		//	퍽 창
4260	42_6_Skill_Window.iwz	1	6	6	6	1	111	111	111	0	0	0	0	0	0	0	0	1	0		//	슽킬 창
2210	22_10_Party_Itemdivision.iwz	1	0	0	0	1	113	113	113	0	0	0	0	0	0	0	0	1	0		//	아이템분배
1220	22_Party_option.iwz	1	180	180	180	1	111	111	111	0	0	0	0	0	0	0	0	1	0		//	파티옵션 인터페이스
992	99_2_Event_Clock.iwz	2	-334	-334	-334	1	3	3	3	0	0	0	0	0	0	0	0	1	0		//	pc방 이벤트 누적시간 clock
991	99_1_Event_Itemselect.iwz	3	-135	-135	-135	1	118	118	118	0	0	0	0	0	0	0	0	1	0		//	
990	99_Event.iwz	2	-629	-629	-629	1	118	118	118	0	0	0	0	0	0	0	0	1	0		//	이벤트 윈도우
942	94_2_IGC_butten.iwz	2	-233	-233	-233	1	3	3	3	0	0	0	0	0	0	0	0	1	0		//	IGC 버튼
941	94_1_IGC_consultation	1	670	670	670	1	310	310	310	0	0	0	0	0	0	0	0	1	0		//	IGC 채팅 상담창
940	94_IGC.iwz	1	267	267	267	1	160	160	160	0	0	0	0	0	0	0	0	1	0		//	IGC 창
922	92_2_result.iwz	3	-185	-185	-185	2	-207	-207	-207	0	0	0	0	0	0	0	0	1	0		//	ac 축하 팝업창
921	92_1_AC.iwz	3	-199	-199	-199	3	-324	-324	-324	0	0	0	0	0	0	0	0	1	0		//	Area Conquest 창
920	92_AC.iwz	3	-480	-480	-480	3	-360	-360	-360	0	0	0	0	0	0	0	0	1	0		//	Area Conquest 윈도우
908	90_8_timer.iwz	2	-148	-148	-148	1	252	252	252	0	0	0	0	0	0	0	0	1	0		//	전장 타이머
907	90_7_timer.iwz	2	-148	-148	-148	1	252	252	252	0	0	0	0	0	0	0	0	1	0		//	미션랭킹 윈도우2
905	90_partysearching.iwz	2	-624	-624	-624	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	파티찾기  윈도우
901	90_1_Mission_End.iwz	3	-149	-149	-149	3	-173	-173	-173	0	0	0	0	0	0	0	0	1	0		//	
900	90_timer.iwz	2	-148	-148	-148	1	219	219	219	0	0	0	0	0	0	0	0	1	0		//	미션랭킹 윈도우
890	89_Input_Socialnum	3	-308	-308	-308	3	-145	-145	-145	0	0	0	0	0	0	0	0	1	0		//	주민등록번호 기입창
880	88_Personal_Popup.iwz	3	-308	-308	-308	3	-161	-161	-161	0	0	0	0	0	0	0	0	1	0		//	개인상점 가격변경용 윈도우
840	84_Input_Num.iwz	3	-144	-144	-144	1	471	471	471	0	0	0	0	0	0	0	0	1	0		//	숫자기입 윈도우
839	83_9_P_Missionlist.iwz	2	-955	-1090	-1090	1	107	107	107	0	0	0	0	0	0	0	0	1	0		//	리뉴얼미션퀘스트 로그
838	83_8_p_Questlist_view	2	0	0	0	1	287	287	287	0	0	0	0	0	0	0	0	1	0		//	퀘스트 진행사항
837	83_7_AutoQuestPopup.iwz	2	-231	-231	-231	1	188	188	188	0	0	0	0	0	0	0	0	1	0		//	자동 퀘스트 박스
835	83_5_P_Missionlist.iwz	2	-909	-909	-909	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	미션퀘스트 로그
834	83_4_P_Questlist.iwz	2	-909	-909	-909	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
833	83_3_P_Questdetail.iwz	2	-573	-710	-710	1	107	107	107	0	0	0	0	0	0	0	0	1	0		//	
832	83_2_N_QuestReward.iwz	2	-598	-598	-598	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
831	83_1_N_Main_Common.iwz	2	-955	-1090	-1090	1	107	107	107	0	0	0	0	0	0	0	0	1	0		//	퀘스트 관련
830	83_Mission_Reward.iwz	3	-121	-121	-121	1	71	71	71	0	0	0	0	0	0	0	0	1	0		//	미션보상 윈도우
821	82_Asking_Window2.iwz	3	-146	-146	-146	3	-192	-192	-192	0	0	0	0	0	0	0	0	1	0		//	질문 팝업(사망시)
820	82_Asking_Window.iwz	3	-146	-146	-146	3	-192	-192	-192	0	0	0	0	0	0	0	0	1	0		//	질문 팝업(조합및 기타)
800	80_loggout.iwz	3	-93	-93	-93	3	-192	-192	-192	0	0	0	0	0	0	0	0	1	0		//	
769	76_9_Cube.iwz	2	-756	-756	-756	1	43	43	43	0	0	0	0	0	0	0	0	1	0		//	큐브 시스템 창
768	76_8_SSQSystem.iwz	3	-110	-110	-110	3	-148	-148	-148	0	0	0	0	0	0	0	0	1	0		//	타락한사원 주사위UI
763	76_3_SSQSystem.iwz	2	-126	-126	-126	1	247	247	247	0	0	0	0	0	0	0	0	1	0		//	타락한사원
761	76_1_LotterySystem	2	-583	-581	-581	2	-332	-332	-332	0	0	0	0	0	0	0	0	1	0		//	복권시스템_판도라의상자
737	73_7_Guild_Rankup.iwz	3	-168	-168	-168	3	-97	-97	-97	0	0	0	0	0	0	0	0	1	0		//	길드 랭크업
736	73_6_Guild_Message.iwz	3	-148	-148	-148	3	-97	-97	-97	0	0	0	0	0	0	0	0	1	0		//	길드 공지
735	73_5_Guild_GP.IWZ	3	-148	-148	-148	3	-97	-97	-97	0	0	0	0	0	0	0	0	1	0		//	UP를 GP로 변환
734	73_4_Guild_up.iwz	3	-148	-148	-148	3	-97	-97	-97	0	0	0	0	0	0	0	0	1	0		//	길드 up 상납
733	73_3_Guild_Window2.iwz	1	15	15	15	1	-85	-85	-85	0	0	0	0	0	0	0	0	1	0		//	길드길드정보
732	73_2_Guild_Window.iwz	1	15	15	15	1	-85	-85	-85	0	0	0	0	0	0	0	0	1	0		//	길드길드원정보
731	73_1_Guild_menu.iwz	3	-147	-147	-147	3	-192	-192	-192	0	0	0	0	0	0	0	0	1	0		//	
730	73_Guild_Create.iwz	3	-147	-147	-147	3	-192	-192	-192	0	0	0	0	0	0	0	0	1	0		//	
722	72_2_Package_purchase.iwz	2	-587	-587	-587	1	232	232	232	0	0	0	0	0	0	0	0	1	0		//	상점 일괄구입 창
721	72_1_Trade_input.iwz	2	808	808	808	1	229	229	229	0	0	0	0	0	0	0	0	1	0		//	
720	72_Trade.iwz	3	-121	-121	-121	1	71	71	71	0	0	0	0	0	0	0	0	1	0		//	개인간 거래 인터페이스
718	71_8_Item_create.iwz	1	3	3	3	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	아이템조합
717	71_7_socket.iwz	2	598	598	598	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
716	71_6_Item_create.iwz	2	-598	-598	-598	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
715	71_5_material_create.iwz	2	-598	-598	-598	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
712	71_2_Rankupmenu.iwz	2	-790	-790	-790	1	317	317	317	0	0	0	0	0	0	0	0	1	0		//	랭크업 종류 인터페이스
711	71_1_Rankup.iwz	2	-790	-790	-790	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	랭크업 인터페이스
710	71_Enchant.iwz	2	-594	-594	-594	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	조합 인터페이스
667	66_7_Message_read	3	158	158	158	1	445	445	445	0	0	0	0	0	0	0	0	1	0		//	쪽시 읽기
666	66_6_Message_write	3	158	158	158	1	126	126	126	0	0	0	0	0	0	0	0	1	0		//	쪽지 작성
665	66_5_community_information	3	158	158	158	1	126	126	126	0	0	0	0	0	0	0	0	1	0		//	상세정보창
662	66_community_friend	1	19	19	19	1	126	126	126	0	0	0	0	0	0	0	0	1	0		//	친구 쪽지창
661	66_1_Message.iwz	1	76	76	76	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
660	66_Friend_Window.iwz	3	-112	-112	-112	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
650	65_Battlezone_Relay.iwz	3	-159	-159	-159	3	-246	-246	-246	0	0	0	0	0	0	0	0	1	0		//	배틀존 릴레이
648	64_8_chaos_result.iwz	3	-119	-119	-119	3	-273	-273	-273	0	0	0	0	0	0	0	0	1	0		//	전장 승무패 결과 
644	64_4_chaos_info.iwz	3	-267	-267	-267	1	92	92	92	0	0	0	0	0	0	0	0	1	0		//	전장의 거점 및 자원습득 현황
641	64_1_PK_Clock	2	-96	-96	-96	1	219	219	219	0	0	0	0	0	0	0	0	1	0		//	PK리벤지 카우시간
640	64_PVP.iwz	3	-400	-400	-400	3	-300	-300	-300	0	0	0	0	0	0	0	0	1	0		//	PVP
634	63_1_BattleZone_setting_pvp.iwz	3	223	223	223	3	-92	-92	-92	0	0	0	0	0	0	0	0	1	0		//	
633	63_1_BattleZone_setting_com.iwz	3	222	222	222	3	-93	-93	-93	0	0	0	0	0	0	0	0	1	0		//	
632	63_2_battlezone_mission_new.iwz	3	220	220	220	3	-95	-95	-95	0	0	0	0	0	0	0	0	1	0		//	배틀존 미션
631	63_1_battlezone_setting_new.iwz	3	221	221	221	3	-94	-94	-94	0	0	0	0	0	0	0	0	1	0		//	배틀존 헌팅
630	63_battlezone_ready_new.iwz	3	-480	-480	-480	3	-360	-360	-360	0	0	0	0	0	0	0	0	1	0		//	배틀존 대기실
622	62_2_Input_Password.iwz	3	-245	-245	-245	3	-136	-136	-136	0	0	0	0	0	0	0	0	1	0		//	배틀존 패스워드입력
620	62_battlezone_create_new.iwz	3	-480	-480	-480	3	-360	-360	-360	0	0	0	0	0	0	0	0	1	0		//	배틀존 생성
616	61_6_BattleZone_Reservation.iwz	3	177	177	177	3	-305	-305	-305	0	0	0	0	0	0	0	0	1	0		//	배틀존 입장예약 창
615	61_5_BattleZone_Button.iwz	2	-222	-222	-222	1	112	112	112	0	0	0	0	0	0	0	0	1	0		//	배틀존 입장 버튼UI
614	61_4_BattleZone_ready_new.iwz	3	-505	-505	-505	3	-305	-305	-305	0	0	0	0	0	0	0	0	1	0		//	배틀존 대기 창
613	61_3_BattleZone_Create_room.iwz	3	177	177	177	3	-305	-305	-305	0	0	0	0	0	0	0	0	1	0		//	배틀존 방만들기/설정변경 창
612	61_2_BattleZone_List_new.iwz	3	-505	-505	-505	3	-305	-305	-305	0	0	0	0	0	0	0	0	1	0		//	배틀존 리스트 창
610	61_battlezone_list_new.iwz	3	-480	-480	-480	3	-360	-360	-360	0	0	0	0	0	0	0	0	1	0		//	배틀존 리스트
600	60_Warehouse.iwz	2	-597	-597	-597	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	창고
520	52_Warp_Villige.iwz	3	-126	-126	-126	1	192	192	192	0	0	0	0	0	0	0	0	1	0		//	
504	50_4_mission_info.iwz	3	-232	-232	-232	1	361	361	361	0	0	0	0	0	0	0	0	1	0		//	미션 수행 목적 리스트 창
503	50_2_mission_timer.iwz	2	-328	-328	-328	1	52	52	52	0	0	0	0	0	0	0	0	1	0		//	미션트리거 시간표시 창
501	50_1_Misson_Directing	2	-291	-291	-291	2	412	412	412	0	0	0	0	0	0	0	0	1	0		//	용족의 계곡미션연출
500	50_Mission_Window.iwz	3	-121	-121	-121	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
491	49_1_keysetting.iwz	3	-160	-160	-160	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	키설정 인터페이스
490	49_Helpbox.iwz	2	-143	-143	-143	1	197	197	197	0	0	0	0	0	0	0	0	1	0		//	도움말 박스
486	48_6_seperatebuy_popup	3	-121	-121	-121	3	-91	-91	-91	0	0	0	0	0	0	0	0	1	0		//	분할수량입력
485	48_5_Personal_Vendor_List.iwz	1	3	3	3	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	개인상점목록
484	48_4_Buy_Popup.iwz	3	-81	-81	-81	1	192	192	192	0	0	0	0	0	0	0	0	1	0		//	
483	48_3_Input_Message.iwz	3	-81	-81	-81	1	212	212	212	0	0	0	0	0	0	0	0	1	0		//	
481	48_2_Pesonal_Vender_window(buy).iwz	2	-663	-663	-663	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	개인상점 구매자 인터페이스
480	48_1_Pesonal_Vender_window(sell).iwz	2	-663	-663	-663	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	개인상점 판매자 인터페이스
479	47_9_List_popup.iwz	3	145	145	145	3	-154	-154	-154	0	0	0	0	0	0	0	0	1	0		//	캐시샵  친구 및 길드 리스트 팝업창
478	47_8_Gift_popup.iwz	3	-172	-172	-172	3	-154	-154	-154	0	0	0	0	0	0	0	0	1	0		//	캐시샵  선물 받는이 확인 팝업창
473	47_3_Cash_itemlist.iwz	3	183	183	183	3	-313	-313	-313	0	0	0	0	0	0	0	0	1	0		//	캐시샵 미리보기 장바구니창
472	47_2_Cash_itemshop.iwz	3	-478	-478	-478	3	-313	-313	-313	0	0	0	0	0	0	0	0	1	0		//	캐시샵 메인창
462	46_Full_Map2.iwz	3	-480	-480	-480	3	-360	-360	-360	0	0	0	0	0	0	0	0	1	0		//	대륙지도 인터페이스
460	46_Full_Map.iwz	3	-480	-480	-480	3	-360	-360	-360	0	0	0	0	0	0	0	0	1	0		//	전체맵 인터페이스
459	45_9_Helpmessage.iwz	3	-142	-142	-142	1	174	174	174	0	0	0	0	0	0	0	0	1	0		//	도움말 창
455	45_5_Sound_Option.iwz	3	-124	-124	-124	1	174	174	174	0	0	0	0	0	0	0	0	1	0		//	사운드설정
453	45_3_option_menu.iwz	3	-102	-102	-102	1	150	150	150	0	0	0	0	0	0	0	0	1	0		//	
451	45_1_Game_Option.iwz	3	-188	-188	-188	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
450	45_Option_Window.iwz	3	-187	-187	-187	1	174	174	174	0	0	0	0	0	0	0	0	1	0		//	옵션 윈도우
440	44_Vendor_Window.iwz	2	-613	-613	-613	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	상점 윈도우
437	43_7_Tutorial.iwz	2	-39	-39	-39	2	-91	-91	-91	0	0	0	0	0	0	0	0	1	0		//	튜토리얼 단축 아이콘
436	43_6_Tutorial.iwz	3	-335	-335	-335	3	-296	-296	-296	0	0	0	0	0	0	0	0	1	0		//	튜토리얼 큰 창
435	43_5_Tutorial.iwz	1	6	6	6	1	106	106	106	0	0	0	0	0	0	0	0	1	0		//	튜토리얼 작은 창
434	43_4_Help.iwz	2	-417	-417	-417	2	-339	-339	-339	0	0	0	0	0	0	0	0	1	0		//	도움말 창
430	43_Help_Window.iwz	2	-699	-699	-699	1	118	118	118	0	0	0	0	0	0	0	0	1	0		//	도움말 윈도우
426	42_6_Skill_Window(Valkiry).iwz	1	3	3	3	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	
425	42_5_Skill_Queing.iwz	3	-56	-56	-56	2	-181	-181	-181	0	0	0	0	0	0	0	0	1	0		//	
424	42_3_Skill_WIndow(Emotion).iwz	1	3	3	3	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	스킬윈도우(이모션)
423	42_2_Skill_WIndow(Action).iwz	1	3	3	3	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	스킬윈도우(액션)
422	42_1_Skill_WIndow(Ext2).iwz	1	3	3	3	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	스킬윈도우(숙련도2)
421	42_1_Skill_WIndow(Ext1).iwz	1	3	3	3	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	스킬윈도우(숙련도1)
420	42_Skill_WIndow(Passive).iwz	1	3	3	3	1	88	88	88	0	0	0	0	0	0	0	0	1	0		//	스킬윈도우(패시브)
418	41_8_Helmet.iwz	2	-168	-168	-168	1	76	76	76	0	0	0	0	0	0	0	0	1	0		//	헬멧 보이기 감추기 체크버튼
417	41_7_Item_Range.iwz	2	-748	-748	-748	1	52	52	52	0	0	0	0	0	0	0	0	1	0		//	인벤옵션
416	41_6_Item_Inventory.iwz	2	-1006	-1006	-1006	1	323	323	323	0	0	0	0	0	0	0	0	1	0		//	인벤토리(열림) 확장
413	41_5_Riding_Inventory.iwz	2	-230	-230	-230	1	573	573	573	0	0	0	0	0	0	0	0	1	0		//	탈것 인벤토리
411	41_Item_Inventory(All).iwz	2	-230	-230	-230	1	323	323	323	0	0	0	0	0	0	0	0	1	0		//	인벤토리(열림)
410	41_1_Item_Slot_Inventory(Common).iwz	2	-230	-230	-230	1	0	0	0	0	0	0	0	0	0	0	0	1	0		//	장비 인벤토리 (엘리)
401	40_1_Status_Window.iwz	1	22	22	22	1	37	37	37	0	0	0	0	0	0	0	0	1	0		//	명예 시스템 관련 캐릭터 정보창
313	3_13_Character_Rotate.iwz	3	-87	-87	-87	2	-139	-139	-139	0	0	0	0	0	0	0	0	1	0		//	캐릭터 회전버튼
312	3_12_Character_Comment.iwz	2	312	312	312	3	-245	-245	-245	0	0	0	0	0	0	0	0	1	0		//	캐릭터 설명 창
311	3_11_Character_Create.iwz	1	8	8	8	3	-245	-245	-245	0	0	0	0	0	0	0	0	1	0		//	캐릭터 생성 창
310	3_10_Character_Creation.iwz	1	15	15	15	1	75	75	75	0	0	0	0	0	0	0	0	1	0		//	캐릭터생성 클래스 선택 버튼리스트
300	30_summon.iwz	3	-66	-66	-66	2	-135	-135	-135	0	0	0	0	0	0	0	0	1	0		//	소환수 상태 및 조작 인터페이스
291	29_Magazine.iwz	2	-397	-397	-397	2	-56	-56	-56	0	0	0	0	0	0	0	0	1	0		//	탄창 인터페이스(발키리)
290	29_Styleslot.iwz	2	-290	-290	-290	2	-51	-51	-51	0	0	0	0	0	0	0	0	1	0		//	스타일 슬롯
280	28_cast_window.iwz	3	-113	-113	-113	2	-170	-170	-170	0	0	0	0	0	0	0	0	1	0		// 	캐스팅 윈도우
273	27_3_Aggressive_List.iwz	3	128	128	128	1	10	10	10	0	0	0	0	0	0	0	0	1	0		//	어그로 리스트 
276	27_6_accruedamage_List.iwz	3	250	250	250	1	10	10	10	0	0	0	0	0	0	0	0	1	0		//	accumulated damage list
2707	27_7_player_grade.iwz	3	-180	-180	-180	1	0	0	0	0	0	0	0	0	0	0	0	1	0		//	target grade emblem
272	97_29_zone_mark.iwz	3	132	132	132	1	6	6	6	0	0	0	0	0	0	0	0	1	0		//	지역점령전 점령중 타겟 마크 창
271	27_1_Personal_Option.iwz	1	637	727	727	1	-58	-58	-58	0	0	0	0	0	0	0	0	1	0		//	
270	27_Target_Window.iwz	3	-140	-140	-140	1	-3	-3	-3	0	0	0	0	0	0	0	0	1	0		//	타겟 윈도우
261	26_1_Rader.iwz	2	-271	-271	-271	1	0	0	0	0	0	0	0	0	0	0	0	1	0		//	레이더 (큰것)
260	26_Radar.iwz	2	-175	-175	-175	1	0	0	0	0	0	0	0	0	0	0	0	1	0		//	레이더 (작은것)
250	25_Menu.iwz	1	0	0	0	2	-75	-75	-75	0	0	0	0	0	0	0	0	1	0		//	상점 아이콘 및 기타
243	24_3_Skip.iwz	2	-115	-115	-115	2	-98	-98	-98	0	0	0	0	0	0	0	0	1	0		//	튜토리얼 스킵 버튼UI
242	24_2_Out.iwz	2	-175	-175	-175	2	-61	-61	-61	0	0	0	0	0	0	0	0	1	0		//	튜토리얼 나가기
241	24_1_Menu_option.iwz	2	-137	-137	-137	2	-368	-368	-368	0	0	0	0	0	0	0	0	1	0		//	메뉴 옵션 인터페이스
240	24_Menu.iwz	2	-151	-151	-151	2	-75	-75	-75	0	0	0	0	0	0	0	0	1	0		//	메뉴 아이콘 및 기타
232	23_1_QuickSlot(Dragon).iwz	2	-437	-437	-437	2	-61	-61	-61	0	0	0	0	0	0	0	0	1	0		//	퀵슬롯(드래곤)
231	23_1_endurance.iwz	1	298	298	298	1	1	1	1	0	0	0	0	0	0	0	0	1	0		//	내구도
